Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482590000000003,LAUCN482590000000004,LAUCN482590000000005,LAUCN482590000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Kendall County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,16102,15023,1079,6.7
2010,Feb,16164,15137,1027,6.4
2010,Mar,16285,15258,1027,6.3
2010,Apr,16513,15517,996,6.0
2010,May,16387,15420,967,5.9
2010,Jun,16560,15492,1068,6.4
2010,Jul,16534,15457,1077,6.5
2010,Aug,16456,15422,1034,6.3
2010,Sep,16474,15475,999,6.1
2010,Oct,16455,15478,977,5.9
2010,Nov,16510,15481,1029,6.2
2010,Dec,16498,15530,968,5.9
2011,Jan,16699,15626,1073,6.4
2011,Feb,16701,15681,1020,6.1
2011,Mar,16790,15804,986,5.9
2011,Apr,16814,15857,957,5.7
2011,May,16806,15822,984,5.9
2011,Jun,17006,15861,1145,6.7
2011,Jul,17048,15904,1144,6.7
2011,Aug,17046,15953,1093,6.4
2011,Sep,17088,16012,1076,6.3
2011,Oct,16968,15982,986,5.8
2011,Nov,17037,16091,946,5.6
2011,Dec,17058,16139,919,5.4
2012,Jan,17220,16222,998,5.8
2012,Feb,17233,16259,974,5.7
2012,Mar,17314,16369,945,5.5
2012,Apr,17350,16468,882,5.1
2012,May,17381,16458,923,5.3
2012,Jun,17618,16571,1047,5.9
2012,Jul,17626,16566,1060,6.0
2012,Aug,17513,16531,982,5.6
2012,Sep,17646,16733,913,5.2
2012,Oct,17640,16737,903,5.1
2012,Nov,17602,16755,847,4.8
2012,Dec,17567,16703,864,4.9
2013,Jan,17973,16969,1004,5.6
2013,Feb,18016,17070,946,5.3
2013,Mar,17982,17058,924,5.1
2013,Apr,18189,17325,864,4.8
2013,May,18280,17361,919,5.0
2013,Jun,18466,17418,1048,5.7
2013,Jul,18508,17491,1017,5.5
2013,Aug,18293,17347,946,5.2
2013,Sep,18392,17457,935,5.1
2013,Oct,18244,17364,880,4.8
2013,Nov,18302,17464,838,4.6
2013,Dec,18299,17520,779,4.3
2014,Jan,18394,17556,838,4.6
2014,Feb,18593,17753,840,4.5
2014,Mar,18670,17852,818,4.4
2014,Apr,18659,17985,674,3.6
2014,May,18754,18003,751,4.0
2014,Jun,18852,18044,808,4.3
2014,Jul,18878,18023,855,4.5
2014,Aug,18667,17889,778,4.2
2014,Sep,18742,18018,724,3.9
2014,Oct,18828,18131,697,3.7
2014,Nov,18811,18122,689,3.7
2014,Dec,18575,17972,603,3.2
2015,Jan,18873,18188,685,3.6
2015,Feb,18966,18327,639,3.4
2015,Mar,19082,18469,613,3.2
2015,Apr,19157,18608,549,2.9
2015,May,19331,18701,630,3.3
2015,Jun,19274,18604,670,3.5
2015,Jul,19245,18553,692,3.6
2015,Aug,19067,18446,621,3.3
2015,Sep,19184,18552,632,3.3
2015,Oct,19249,18634,615,3.2
2015,Nov,19292,18680,612,3.2
2015,Dec,19245,18672,573,3.0
2016,Jan,19828,19211,617,3.1
2016,Feb,20142,19531,611,3.0
2016,Mar,20324,19701,623,3.1
2016,Apr,20352,19778,574,2.8
2016,May,20434,19844,590,2.9
2016,Jun,20460,19761,699,3.4
2016,Jul,20429,19703,726,3.6
2016,Aug,20408,19708,700,3.4
2016,Sep,20401,19692,709,3.5
2016,Oct,20408,19727,681,3.3
2016,Nov,20434,19800,634,3.1
2016,Dec,20427,19807,620,3.0
2017,Jan,20771,20076,695,3.3
2017,Feb,20990,20274,716,3.4
2017,Mar,21163,20478,685,3.2
2017,Apr,21102,20512,590,2.8
2017,May,21087,20463,624,3.0
2017,Jun,21185,20496,689,3.3
2017,Jul,21127,20421,706,3.3
2017,Aug,21094,20408,686,3.3
2017,Sep,21177,20558,619,2.9
2017,Oct,21114,20529,585,2.8
2017,Nov,21142,20535,607,2.9
2017,Dec,21183,20606,577,2.7
2018,Jan,21529,20883,646,3.0
2018,Feb,21777,21117,660,3.0
2018,Mar,21969,21320,649,3.0
2018,Apr,21919,21350,569,2.6
2018,May,21916,21345,571,2.6
2018,Jun,21939,21254,685,3.1
2018,Jul,21915,21252,663,3.0
2018,Aug,21812,21158,654,3.0
2018,Sep,21869,21246,623,2.8
2018,Oct,21844,21235,609,2.8
2018,Nov,21916,21284,632,2.9
2018,Dec,21898,21280,618,2.8
2019,Jan,21844,21170,674,3.1
2019,Feb,21992,21362,630,2.9
2019,Mar,22082,21467,615,2.8
2019,Apr,21943,21439,504,2.3
2019,May,21963,21434,529,2.4
2019,Jun,22075,21440,635,2.9
2019,Jul,22169,21499,670,3.0
2019,Aug,22222,21583,639,2.9
2019,Sep,22236,21640,596,2.7
2019,Oct,22382,21805,577,2.6
2019,Nov,22328,21748,580,2.6
2019,Dec,22345,21806,539,2.4
2020,Jan,22363,21732,631,2.8
2020,Feb,22490,21868,622,2.8
2020,Mar,21998,21117,881,4.0
2020,Apr,19655,17814,1841,9.4
