Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482610000000003,LAUCN482610000000004,LAUCN482610000000005,LAUCN482610000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Kenedy County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,190,175,15,7.9
2010,Feb,193,175,18,9.3
2010,Mar,202,183,19,9.4
2010,Apr,223,205,18,8.1
2010,May,220,206,14,6.4
2010,Jun,225,211,14,6.2
2010,Jul,243,228,15,6.2
2010,Aug,237,223,14,5.9
2010,Sep,237,224,13,5.5
2010,Oct,219,206,13,5.9
2010,Nov,223,208,15,6.7
2010,Dec,221,208,13,5.9
2011,Jan,229,214,15,6.6
2011,Feb,220,207,13,5.9
2011,Mar,231,218,13,5.6
2011,Apr,223,211,12,5.4
2011,May,225,212,13,5.8
2011,Jun,238,223,15,6.3
2011,Jul,245,226,19,7.8
2011,Aug,249,232,17,6.8
2011,Sep,250,230,20,8.0
2011,Oct,242,225,17,7.0
2011,Nov,251,236,15,6.0
2011,Dec,261,246,15,5.7
2012,Jan,228,215,13,5.7
2012,Feb,223,211,12,5.4
2012,Mar,234,222,12,5.1
2012,Apr,238,227,11,4.6
2012,May,244,233,11,4.5
2012,Jun,253,240,13,5.1
2012,Jul,262,248,14,5.3
2012,Aug,266,249,17,6.4
2012,Sep,271,257,14,5.2
2012,Oct,272,260,12,4.4
2012,Nov,273,262,11,4.0
2012,Dec,277,265,12,4.3
2013,Jan,270,258,12,4.4
2013,Feb,269,258,11,4.1
2013,Mar,269,258,11,4.1
2013,Apr,290,280,10,3.4
2013,May,300,289,11,3.7
2013,Jun,307,295,12,3.9
2013,Jul,313,302,11,3.5
2013,Aug,298,288,10,3.4
2013,Sep,308,292,16,5.2
2013,Oct,315,303,12,3.8
2013,Nov,305,293,12,3.9
2013,Dec,310,299,11,3.5
2014,Jan,350,338,12,3.4
2014,Feb,359,346,13,3.6
2014,Mar,363,346,17,4.7
2014,Apr,338,328,10,3.0
2014,May,340,331,9,2.6
2014,Jun,340,331,9,2.6
2014,Jul,335,327,8,2.4
2014,Aug,329,321,8,2.4
2014,Sep,335,326,9,2.7
2014,Oct,325,317,8,2.5
2014,Nov,321,313,8,2.5
2014,Dec,329,322,7,2.1
2015,Jan,325,315,10,3.1
2015,Feb,330,322,8,2.4
2015,Mar,339,330,9,2.7
2015,Apr,304,295,9,3.0
2015,May,305,296,9,3.0
2015,Jun,307,296,11,3.6
2015,Jul,255,247,8,3.1
2015,Aug,251,242,9,3.6
2015,Sep,252,244,8,3.2
2015,Oct,243,236,7,2.9
2015,Nov,239,230,9,3.8
2015,Dec,238,229,9,3.8
2016,Jan,216,207,9,4.2
2016,Feb,231,222,9,3.9
2016,Mar,240,229,11,4.6
2016,Apr,229,220,9,3.9
2016,May,236,227,9,3.8
2016,Jun,225,214,11,4.9
2016,Jul,196,185,11,5.6
2016,Aug,205,194,11,5.4
2016,Sep,197,186,11,5.6
2016,Oct,213,204,9,4.2
2016,Nov,213,203,10,4.7
2016,Dec,206,197,9,4.4
2017,Jan,227,218,9,4.0
2017,Feb,236,226,10,4.2
2017,Mar,253,242,11,4.3
2017,Apr,259,249,10,3.9
2017,May,258,250,8,3.1
2017,Jun,251,244,7,2.8
2017,Jul,242,234,8,3.3
2017,Aug,245,238,7,2.9
2017,Sep,240,233,7,2.9
2017,Oct,233,226,7,3.0
2017,Nov,230,222,8,3.5
2017,Dec,229,222,7,3.1
2018,Jan,219,212,7,3.2
2018,Feb,233,224,9,3.9
2018,Mar,254,244,10,3.9
2018,Apr,241,234,7,2.9
2018,May,256,248,8,3.1
2018,Jun,254,241,13,5.1
2018,Jul,246,236,10,4.1
2018,Aug,256,246,10,3.9
2018,Sep,253,244,9,3.6
2018,Oct,251,243,8,3.2
2018,Nov,253,245,8,3.2
2018,Dec,244,234,10,4.1
2019,Jan,237,228,9,3.8
2019,Feb,238,231,7,2.9
2019,Mar,249,241,8,3.2
2019,Apr,242,236,6,2.5
2019,May,243,237,6,2.5
2019,Jun,235,227,8,3.4
2019,Jul,207,196,11,5.3
2019,Aug,215,206,9,4.2
2019,Sep,200,192,8,4.0
2019,Oct,212,203,9,4.2
2019,Nov,200,191,9,4.5
2019,Dec,202,193,9,4.5
2020,Jan,202,193,9,4.5
2020,Feb,204,197,7,3.4
2020,Mar,208,197,11,5.3
2020,Apr,171,160,11,6.4
