Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482630000000003,LAUCN482630000000004,LAUCN482630000000005,LAUCN482630000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Kent County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,545,517,28,5.1
2010,Feb,547,523,24,4.4
2010,Mar,558,534,24,4.3
2010,Apr,537,509,28,5.2
2010,May,534,506,28,5.2
2010,Jun,567,535,32,5.6
2010,Jul,586,558,28,4.8
2010,Aug,574,547,27,4.7
2010,Sep,547,521,26,4.8
2010,Oct,566,542,24,4.2
2010,Nov,569,543,26,4.6
2010,Dec,571,548,23,4.0
2011,Jan,541,513,28,5.2
2011,Feb,532,506,26,4.9
2011,Mar,553,524,29,5.2
2011,Apr,560,535,25,4.5
2011,May,556,529,27,4.9
2011,Jun,560,534,26,4.6
2011,Jul,567,543,24,4.2
2011,Aug,580,555,25,4.3
2011,Sep,554,530,24,4.3
2011,Oct,537,513,24,4.5
2011,Nov,548,524,24,4.4
2011,Dec,561,534,27,4.8
2012,Jan,550,525,25,4.5
2012,Feb,542,520,22,4.1
2012,Mar,542,520,22,4.1
2012,Apr,561,540,21,3.7
2012,May,561,540,21,3.7
2012,Jun,565,541,24,4.2
2012,Jul,559,536,23,4.1
2012,Aug,550,527,23,4.2
2012,Sep,564,545,19,3.4
2012,Oct,552,532,20,3.6
2012,Nov,543,525,18,3.3
2012,Dec,536,516,20,3.7
2013,Jan,526,507,19,3.6
2013,Feb,533,512,21,3.9
2013,Mar,512,492,20,3.9
2013,Apr,544,527,17,3.1
2013,May,552,532,20,3.6
2013,Jun,566,543,23,4.1
2013,Jul,545,522,23,4.2
2013,Aug,534,513,21,3.9
2013,Sep,522,500,22,4.2
2013,Oct,515,494,21,4.1
2013,Nov,506,486,20,4.0
2013,Dec,517,498,19,3.7
2014,Jan,518,497,21,4.1
2014,Feb,517,497,20,3.9
2014,Mar,510,488,22,4.3
2014,Apr,518,501,17,3.3
2014,May,531,512,19,3.6
2014,Jun,539,520,19,3.5
2014,Jul,555,535,20,3.6
2014,Aug,509,490,19,3.7
2014,Sep,500,484,16,3.2
2014,Oct,497,481,16,3.2
2014,Nov,483,470,13,2.7
2014,Dec,483,472,11,2.3
2015,Jan,492,481,11,2.2
2015,Feb,502,491,11,2.2
2015,Mar,505,494,11,2.2
2015,Apr,490,480,10,2.0
2015,May,498,485,13,2.6
2015,Jun,529,517,12,2.3
2015,Jul,519,504,15,2.9
2015,Aug,505,489,16,3.2
2015,Sep,499,487,12,2.4
2015,Oct,486,474,12,2.5
2015,Nov,462,448,14,3.0
2015,Dec,479,464,15,3.1
2016,Jan,463,446,17,3.7
2016,Feb,476,459,17,3.6
2016,Mar,491,476,15,3.1
2016,Apr,491,480,11,2.2
2016,May,476,467,9,1.9
2016,Jun,505,492,13,2.6
2016,Jul,475,460,15,3.2
2016,Aug,476,462,14,2.9
2016,Sep,453,439,14,3.1
2016,Oct,438,425,13,3.0
2016,Nov,437,425,12,2.7
2016,Dec,442,430,12,2.7
2017,Jan,435,422,13,3.0
2017,Feb,438,425,13,3.0
2017,Mar,461,447,14,3.0
2017,Apr,450,438,12,2.7
2017,May,455,443,12,2.6
2017,Jun,467,456,11,2.4
2017,Jul,466,455,11,2.4
2017,Aug,477,467,10,2.1
2017,Sep,469,457,12,2.6
2017,Oct,444,435,9,2.0
2017,Nov,443,431,12,2.7
2017,Dec,438,427,11,2.5
2018,Jan,425,413,12,2.8
2018,Feb,429,417,12,2.8
2018,Mar,446,432,14,3.1
2018,Apr,484,474,10,2.1
2018,May,487,478,9,1.8
2018,Jun,482,472,10,2.1
2018,Jul,457,447,10,2.2
2018,Aug,461,451,10,2.2
2018,Sep,460,450,10,2.2
2018,Oct,446,435,11,2.5
2018,Nov,427,416,11,2.6
2018,Dec,414,404,10,2.4
2019,Jan,441,429,12,2.7
2019,Feb,447,437,10,2.2
2019,Mar,458,448,10,2.2
2019,Apr,484,475,9,1.9
2019,May,494,485,9,1.8
2019,Jun,488,476,12,2.5
2019,Jul,490,480,10,2.0
2019,Aug,502,492,10,2.0
2019,Sep,488,477,11,2.3
2019,Oct,486,475,11,2.3
2019,Nov,471,458,13,2.8
2019,Dec,480,467,13,2.7
2020,Jan,485,467,18,3.7
2020,Feb,486,471,15,3.1
2020,Mar,486,460,26,5.3
2020,Apr,409,388,21,5.1
