Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482650000000003,LAUCN482650000000004,LAUCN482650000000005,LAUCN482650000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Kerr County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,21582,20018,1564,7.2
2010,Feb,21616,20163,1453,6.7
2010,Mar,21672,20223,1449,6.7
2010,Apr,22056,20613,1443,6.5
2010,May,21672,20272,1400,6.5
2010,Jun,22290,20780,1510,6.8
2010,Jul,22491,20973,1518,6.7
2010,Aug,22118,20631,1487,6.7
2010,Sep,21892,20434,1458,6.7
2010,Oct,21888,20468,1420,6.5
2010,Nov,21945,20486,1459,6.6
2010,Dec,21801,20421,1380,6.3
2011,Jan,21648,20126,1522,7.0
2011,Feb,21543,20091,1452,6.7
2011,Mar,21564,20137,1427,6.6
2011,Apr,21774,20403,1371,6.3
2011,May,21642,20211,1431,6.6
2011,Jun,22364,20730,1634,7.3
2011,Jul,22284,20690,1594,7.2
2011,Aug,21800,20276,1524,7.0
2011,Sep,21775,20257,1518,7.0
2011,Oct,21668,20274,1394,6.4
2011,Nov,21971,20642,1329,6.0
2011,Dec,21921,20661,1260,5.7
2012,Jan,21411,20025,1386,6.5
2012,Feb,21550,20246,1304,6.1
2012,Mar,21507,20248,1259,5.9
2012,Apr,21697,20504,1193,5.5
2012,May,21750,20484,1266,5.8
2012,Jun,22150,20753,1397,6.3
2012,Jul,22136,20747,1389,6.3
2012,Aug,21684,20375,1309,6.0
2012,Sep,21619,20416,1203,5.6
2012,Oct,21675,20492,1183,5.5
2012,Nov,21692,20547,1145,5.3
2012,Dec,21510,20352,1158,5.4
2013,Jan,21215,19897,1318,6.2
2013,Feb,21301,20087,1214,5.7
2013,Mar,21158,19999,1159,5.5
2013,Apr,21443,20337,1106,5.2
2013,May,21431,20226,1205,5.6
2013,Jun,22005,20677,1328,6.0
2013,Jul,22191,20898,1293,5.8
2013,Aug,21429,20222,1207,5.6
2013,Sep,21363,20171,1192,5.6
2013,Oct,21280,20143,1137,5.3
2013,Nov,21491,20431,1060,4.9
2013,Dec,21488,20494,994,4.6
2014,Jan,21144,20114,1030,4.9
2014,Feb,21472,20431,1041,4.8
2014,Mar,21368,20363,1005,4.7
2014,Apr,21431,20598,833,3.9
2014,May,21286,20344,942,4.4
2014,Jun,21921,20927,994,4.5
2014,Jul,21998,20947,1051,4.8
2014,Aug,21433,20450,983,4.6
2014,Sep,21399,20471,928,4.3
2014,Oct,21341,20472,869,4.1
2014,Nov,21497,20649,848,3.9
2014,Dec,21179,20426,753,3.6
2015,Jan,20728,19873,855,4.1
2015,Feb,20939,20147,792,3.8
2015,Mar,21009,20248,761,3.6
2015,Apr,21100,20410,690,3.3
2015,May,21095,20310,785,3.7
2015,Jun,21524,20695,829,3.9
2015,Jul,21480,20632,848,3.9
2015,Aug,21081,20322,759,3.6
2015,Sep,21234,20459,775,3.6
2015,Oct,21250,20485,765,3.6
2015,Nov,21423,20670,753,3.5
2015,Dec,21333,20624,709,3.3
2016,Jan,20808,20044,764,3.7
2016,Feb,21424,20689,735,3.4
2016,Mar,21475,20722,753,3.5
2016,Apr,21435,20771,664,3.1
2016,May,21482,20786,696,3.2
2016,Jun,21928,21121,807,3.7
2016,Jul,21818,20955,863,4.0
2016,Aug,21149,20335,814,3.8
2016,Sep,21110,20275,835,4.0
2016,Oct,21174,20379,795,3.8
2016,Nov,21215,20466,749,3.5
2016,Dec,21169,20451,718,3.4
2017,Jan,20732,19932,800,3.9
2017,Feb,21212,20413,799,3.8
2017,Mar,21262,20519,743,3.5
2017,Apr,21196,20554,642,3.0
2017,May,21282,20585,697,3.3
2017,Jun,21662,20921,741,3.4
2017,Jul,21804,21032,772,3.5
2017,Aug,21175,20419,756,3.6
2017,Sep,21329,20616,713,3.3
2017,Oct,21244,20576,668,3.1
2017,Nov,21576,20858,718,3.3
2017,Dec,21563,20887,676,3.1
2018,Jan,21228,20476,752,3.5
2018,Feb,21584,20813,771,3.6
2018,Mar,21625,20886,739,3.4
2018,Apr,22001,21354,647,2.9
2018,May,22161,21517,644,2.9
2018,Jun,22235,21468,767,3.4
2018,Jul,22249,21513,736,3.3
2018,Aug,21532,20823,709,3.3
2018,Sep,21665,20972,693,3.2
2018,Oct,21462,20808,654,3.0
2018,Nov,21941,21305,636,2.9
2018,Dec,21917,21277,640,2.9
2019,Jan,21902,21133,769,3.5
2019,Feb,22178,21493,685,3.1
2019,Mar,22207,21536,671,3.0
2019,Apr,22032,21489,543,2.5
2019,May,22313,21736,577,2.6
2019,Jun,22332,21645,687,3.1
2019,Jul,22705,21984,721,3.2
2019,Aug,22206,21497,709,3.2
2019,Sep,22208,21553,655,2.9
2019,Oct,22150,21507,643,2.9
2019,Nov,22417,21775,642,2.9
2019,Dec,22355,21767,588,2.6
2020,Jan,22166,21411,755,3.4
2020,Feb,22498,21775,723,3.2
2020,Mar,22147,21148,999,4.5
2020,Apr,20014,17748,2266,11.3
