Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482670000000003,LAUCN482670000000004,LAUCN482670000000005,LAUCN482670000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Kimble County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,2223,2090,133,6.0
2010,Feb,2204,2077,127,5.8
2010,Mar,2264,2132,132,5.8
2010,Apr,2257,2131,126,5.6
2010,May,2253,2127,126,5.6
2010,Jun,2324,2188,136,5.9
2010,Jul,2347,2197,150,6.4
2010,Aug,2280,2132,148,6.5
2010,Sep,2274,2135,139,6.1
2010,Oct,2289,2155,134,5.9
2010,Nov,2303,2161,142,6.2
2010,Dec,2298,2155,143,6.2
2011,Jan,2221,2069,152,6.8
2011,Feb,2168,2024,144,6.6
2011,Mar,2209,2062,147,6.7
2011,Apr,2232,2095,137,6.1
2011,May,2246,2100,146,6.5
2011,Jun,2329,2164,165,7.1
2011,Jul,2271,2122,149,6.6
2011,Aug,2255,2111,144,6.4
2011,Sep,2186,2049,137,6.3
2011,Oct,2191,2071,120,5.5
2011,Nov,2226,2112,114,5.1
2011,Dec,2264,2156,108,4.8
2012,Jan,2153,2037,116,5.4
2012,Feb,2106,1997,109,5.2
2012,Mar,2144,2036,108,5.0
2012,Apr,2178,2079,99,4.5
2012,May,2188,2077,111,5.1
2012,Jun,2272,2156,116,5.1
2012,Jul,2258,2139,119,5.3
2012,Aug,2220,2111,109,4.9
2012,Sep,2186,2082,104,4.8
2012,Oct,2188,2090,98,4.5
2012,Nov,2203,2107,96,4.4
2012,Dec,2175,2077,98,4.5
2013,Jan,2108,1997,111,5.3
2013,Feb,2095,1993,102,4.9
2013,Mar,2081,1983,98,4.7
2013,Apr,2108,2015,93,4.4
2013,May,2174,2070,104,4.8
2013,Jun,2232,2110,122,5.5
2013,Jul,2282,2165,117,5.1
2013,Aug,2227,2116,111,5.0
2013,Sep,2209,2102,107,4.8
2013,Oct,2170,2064,106,4.9
2013,Nov,2106,2010,96,4.6
2013,Dec,2145,2054,91,4.2
2014,Jan,2085,1991,94,4.5
2014,Feb,2114,2018,96,4.5
2014,Mar,2138,2048,90,4.2
2014,Apr,2113,2040,73,3.5
2014,May,2167,2086,81,3.7
2014,Jun,2222,2135,87,3.9
2014,Jul,2185,2095,90,4.1
2014,Aug,2128,2045,83,3.9
2014,Sep,2092,2010,82,3.9
2014,Oct,2078,2002,76,3.7
2014,Nov,2057,1988,69,3.4
2014,Dec,2006,1946,60,3.0
2015,Jan,1966,1895,71,3.6
2015,Feb,1987,1921,66,3.3
2015,Mar,2018,1952,66,3.3
2015,Apr,2007,1945,62,3.1
2015,May,2063,1994,69,3.3
2015,Jun,2075,1998,77,3.7
2015,Jul,2054,1973,81,3.9
2015,Aug,2008,1933,75,3.7
2015,Sep,1947,1872,75,3.9
2015,Oct,1965,1892,73,3.7
2015,Nov,1949,1873,76,3.9
2015,Dec,1959,1880,79,4.0
2016,Jan,1869,1796,73,3.9
2016,Feb,1947,1871,76,3.9
2016,Mar,1964,1886,78,4.0
2016,Apr,1986,1913,73,3.7
2016,May,2000,1932,68,3.4
2016,Jun,2012,1940,72,3.6
2016,Jul,1966,1889,77,3.9
2016,Aug,1966,1893,73,3.7
2016,Sep,1896,1817,79,4.2
2016,Oct,1960,1878,82,4.2
2016,Nov,1919,1851,68,3.5
2016,Dec,1932,1862,70,3.6
2017,Jan,1839,1766,73,4.0
2017,Feb,1831,1757,74,4.0
2017,Mar,1944,1871,73,3.8
2017,Apr,1899,1836,63,3.3
2017,May,1918,1850,68,3.5
2017,Jun,1937,1866,71,3.7
2017,Jul,1895,1824,71,3.7
2017,Aug,1910,1841,69,3.6
2017,Sep,1871,1804,67,3.6
2017,Oct,1898,1839,59,3.1
2017,Nov,1874,1812,62,3.3
2017,Dec,1877,1822,55,2.9
2018,Jan,1867,1808,59,3.2
2018,Feb,1867,1806,61,3.3
2018,Mar,1920,1863,57,3.0
2018,Apr,1877,1828,49,2.6
2018,May,1916,1863,53,2.8
2018,Jun,1932,1871,61,3.2
2018,Jul,1913,1854,59,3.1
2018,Aug,1913,1853,60,3.1
2018,Sep,1843,1792,51,2.8
2018,Oct,1795,1746,49,2.7
2018,Nov,1829,1775,54,3.0
2018,Dec,1819,1762,57,3.1
2019,Jan,1785,1718,67,3.8
2019,Feb,1823,1767,56,3.1
2019,Mar,1852,1795,57,3.1
2019,Apr,1857,1811,46,2.5
2019,May,1863,1812,51,2.7
2019,Jun,1914,1852,62,3.2
2019,Jul,1936,1871,65,3.4
2019,Aug,1945,1884,61,3.1
2019,Sep,1838,1779,59,3.2
2019,Oct,1863,1809,54,2.9
2019,Nov,1833,1776,57,3.1
2019,Dec,1843,1791,52,2.8
2020,Jan,1811,1749,62,3.4
2020,Feb,1818,1757,61,3.4
2020,Mar,1819,1732,87,4.8
2020,Apr,1547,1461,86,5.6
