Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482690000000003,LAUCN482690000000004,LAUCN482690000000005,LAUCN482690000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"King County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,257,245,12,4.7
2010,Feb,255,243,12,4.7
2010,Mar,271,259,12,4.4
2010,Apr,277,266,11,4.0
2010,May,279,268,11,3.9
2010,Jun,302,291,11,3.6
2010,Jul,296,283,13,4.4
2010,Aug,280,267,13,4.6
2010,Sep,288,276,12,4.2
2010,Oct,279,268,11,3.9
2010,Nov,281,269,12,4.3
2010,Dec,274,262,12,4.4
2011,Jan,246,234,12,4.9
2011,Feb,256,244,12,4.7
2011,Mar,273,263,10,3.7
2011,Apr,289,278,11,3.8
2011,May,293,282,11,3.8
2011,Jun,321,309,12,3.7
2011,Jul,305,293,12,3.9
2011,Aug,298,287,11,3.7
2011,Sep,306,295,11,3.6
2011,Oct,291,280,11,3.8
2011,Nov,295,284,11,3.7
2011,Dec,286,275,11,3.8
2012,Jan,241,229,12,5.0
2012,Feb,234,220,14,6.0
2012,Mar,243,231,12,4.9
2012,Apr,253,242,11,4.3
2012,May,256,245,11,4.3
2012,Jun,267,256,11,4.1
2012,Jul,263,252,11,4.2
2012,Aug,249,239,10,4.0
2012,Sep,256,247,9,3.5
2012,Oct,242,233,9,3.7
2012,Nov,233,223,10,4.3
2012,Dec,227,218,9,4.0
2013,Jan,215,205,10,4.7
2013,Feb,219,208,11,5.0
2013,Mar,216,207,9,4.2
2013,Apr,235,225,10,4.3
2013,May,246,236,10,4.1
2013,Jun,260,250,10,3.8
2013,Jul,263,252,11,4.2
2013,Aug,249,239,10,4.0
2013,Sep,249,239,10,4.0
2013,Oct,245,234,11,4.5
2013,Nov,229,216,13,5.7
2013,Dec,237,224,13,5.5
2014,Jan,207,195,12,5.8
2014,Feb,217,206,11,5.1
2014,Mar,220,209,11,5.0
2014,Apr,230,220,10,4.3
2014,May,231,223,8,3.5
2014,Jun,239,230,9,3.8
2014,Jul,241,231,10,4.1
2014,Aug,232,224,8,3.4
2014,Sep,234,226,8,3.4
2014,Oct,221,214,7,3.2
2014,Nov,217,209,8,3.7
2014,Dec,211,203,8,3.8
2015,Jan,203,195,8,3.9
2015,Feb,210,203,7,3.3
2015,Mar,213,206,7,3.3
2015,Apr,219,212,7,3.2
2015,May,224,217,7,3.1
2015,Jun,225,217,8,3.6
2015,Jul,208,201,7,3.4
2015,Aug,199,193,6,3.0
2015,Sep,193,187,6,3.1
2015,Oct,175,169,6,3.4
2015,Nov,166,159,7,4.2
2015,Dec,164,157,7,4.3
2016,Jan,158,152,6,3.8
2016,Feb,180,174,6,3.3
2016,Mar,189,183,6,3.2
2016,Apr,188,182,6,3.2
2016,May,195,189,6,3.1
2016,Jun,194,188,6,3.1
2016,Jul,178,172,6,3.4
2016,Aug,187,179,8,4.3
2016,Sep,182,174,8,4.4
2016,Oct,163,155,8,4.9
2016,Nov,157,149,8,5.1
2016,Dec,158,150,8,5.1
2017,Jan,151,145,6,4.0
2017,Feb,161,155,6,3.7
2017,Mar,180,174,6,3.3
2017,Apr,171,167,4,2.3
2017,May,175,170,5,2.9
2017,Jun,177,170,7,4.0
2017,Jul,159,152,7,4.4
2017,Aug,170,164,6,3.5
2017,Sep,160,155,5,3.1
2017,Oct,160,155,5,3.1
2017,Nov,150,145,5,3.3
2017,Dec,160,155,5,3.1
2018,Jan,194,188,6,3.1
2018,Feb,198,191,7,3.5
2018,Mar,209,204,5,2.4
2018,Apr,218,212,6,2.8
2018,May,233,228,5,2.1
2018,Jun,228,222,6,2.6
2018,Jul,213,207,6,2.8
2018,Aug,220,214,6,2.7
2018,Sep,212,206,6,2.8
2018,Oct,201,195,6,3.0
2018,Nov,200,195,5,2.5
2018,Dec,199,195,4,2.0
2019,Jan,202,196,6,3.0
2019,Feb,208,202,6,2.9
2019,Mar,220,215,5,2.3
2019,Apr,236,231,5,2.1
2019,May,248,243,5,2.0
2019,Jun,231,226,5,2.2
2019,Jul,237,231,6,2.5
2019,Aug,250,244,6,2.4
2019,Sep,251,247,4,1.6
2019,Oct,245,241,4,1.6
2019,Nov,230,226,4,1.7
2019,Dec,239,235,4,1.7
2020,Jan,232,228,4,1.7
2020,Feb,238,232,6,2.5
2020,Mar,238,231,7,2.9
2020,Apr,203,198,5,2.5
