Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482710000000003,LAUCN482710000000004,LAUCN482710000000005,LAUCN482710000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Kinney County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1277,1116,161,12.6
2010,Feb,1265,1108,157,12.4
2010,Mar,1283,1130,153,11.9
2010,Apr,1274,1136,138,10.8
2010,May,1246,1114,132,10.6
2010,Jun,1279,1145,134,10.5
2010,Jul,1277,1145,132,10.3
2010,Aug,1275,1134,141,11.1
2010,Sep,1274,1137,137,10.8
2010,Oct,1264,1128,136,10.8
2010,Nov,1262,1121,141,11.2
2010,Dec,1266,1122,144,11.4
2011,Jan,1269,1121,148,11.7
2011,Feb,1259,1111,148,11.8
2011,Mar,1273,1130,143,11.2
2011,Apr,1266,1136,130,10.3
2011,May,1258,1127,131,10.4
2011,Jun,1297,1160,137,10.6
2011,Jul,1279,1147,132,10.3
2011,Aug,1287,1168,119,9.2
2011,Sep,1280,1160,120,9.4
2011,Oct,1245,1132,113,9.1
2011,Nov,1262,1154,108,8.6
2011,Dec,1278,1162,116,9.1
2012,Jan,1241,1115,126,10.2
2012,Feb,1217,1095,122,10.0
2012,Mar,1233,1107,126,10.2
2012,Apr,1231,1122,109,8.9
2012,May,1236,1129,107,8.7
2012,Jun,1279,1163,116,9.1
2012,Jul,1306,1182,124,9.5
2012,Aug,1288,1177,111,8.6
2012,Sep,1302,1202,100,7.7
2012,Oct,1295,1198,97,7.5
2012,Nov,1297,1201,96,7.4
2012,Dec,1237,1136,101,8.2
2013,Jan,1240,1106,134,10.8
2013,Feb,1226,1096,130,10.6
2013,Mar,1205,1089,116,9.6
2013,Apr,1216,1102,114,9.4
2013,May,1219,1105,114,9.4
2013,Jun,1241,1120,121,9.8
2013,Jul,1252,1135,117,9.3
2013,Aug,1205,1097,108,9.0
2013,Sep,1226,1115,111,9.1
2013,Oct,1200,1086,114,9.5
2013,Nov,1184,1075,109,9.2
2013,Dec,1208,1101,107,8.9
2014,Jan,1212,1103,109,9.0
2014,Feb,1237,1129,108,8.7
2014,Mar,1225,1131,94,7.7
2014,Apr,1233,1154,79,6.4
2014,May,1246,1170,76,6.1
2014,Jun,1262,1180,82,6.5
2014,Jul,1268,1171,97,7.6
2014,Aug,1266,1159,107,8.5
2014,Sep,1248,1156,92,7.4
2014,Oct,1224,1147,77,6.3
2014,Nov,1180,1106,74,6.3
2014,Dec,1157,1086,71,6.1
2015,Jan,1176,1091,85,7.2
2015,Feb,1190,1110,80,6.7
2015,Mar,1193,1119,74,6.2
2015,Apr,1189,1120,69,5.8
2015,May,1211,1141,70,5.8
2015,Jun,1218,1144,74,6.1
2015,Jul,1206,1124,82,6.8
2015,Aug,1181,1102,79,6.7
2015,Sep,1167,1091,76,6.5
2015,Oct,1181,1107,74,6.3
2015,Nov,1154,1078,76,6.6
2015,Dec,1152,1087,65,5.6
2016,Jan,1122,1054,68,6.1
2016,Feb,1181,1110,71,6.0
2016,Mar,1202,1136,66,5.5
2016,Apr,1210,1143,67,5.5
2016,May,1190,1128,62,5.2
2016,Jun,1177,1111,66,5.6
2016,Jul,1171,1098,73,6.2
2016,Aug,1166,1097,69,5.9
2016,Sep,1123,1055,68,6.1
2016,Oct,1115,1050,65,5.8
2016,Nov,1109,1047,62,5.6
2016,Dec,1099,1033,66,6.0
2017,Jan,1125,1049,76,6.8
2017,Feb,1142,1059,83,7.3
2017,Mar,1174,1104,70,6.0
2017,Apr,1174,1111,63,5.4
2017,May,1223,1159,64,5.2
2017,Jun,1222,1159,63,5.2
2017,Jul,1163,1101,62,5.3
2017,Aug,1189,1124,65,5.5
2017,Sep,1138,1080,58,5.1
2017,Oct,1156,1103,53,4.6
2017,Nov,1134,1076,58,5.1
2017,Dec,1141,1081,60,5.3
2018,Jan,1376,1308,68,4.9
2018,Feb,1358,1290,68,5.0
2018,Mar,1399,1329,70,5.0
2018,Apr,1395,1328,67,4.8
2018,May,1445,1384,61,4.2
2018,Jun,1401,1337,64,4.6
2018,Jul,1340,1283,57,4.3
2018,Aug,1332,1279,53,4.0
2018,Sep,1342,1293,49,3.7
2018,Oct,1291,1243,48,3.7
2018,Nov,1274,1226,48,3.8
2018,Dec,1266,1214,52,4.1
2019,Jan,1292,1231,61,4.7
2019,Feb,1311,1252,59,4.5
2019,Mar,1399,1342,57,4.1
2019,Apr,1372,1326,46,3.4
2019,May,1378,1333,45,3.3
2019,Jun,1390,1341,49,3.5
2019,Jul,1384,1333,51,3.7
2019,Aug,1423,1378,45,3.2
2019,Sep,1399,1358,41,2.9
2019,Oct,1406,1361,45,3.2
2019,Nov,1381,1331,50,3.6
2019,Dec,1385,1333,52,3.8
2020,Jan,1407,1336,71,5.0
2020,Feb,1403,1339,64,4.6
2020,Mar,1417,1328,89,6.3
2020,Apr,1193,1107,86,7.2
