Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482730000000003,LAUCN482730000000004,LAUCN482730000000005,LAUCN482730000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Kleberg County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,14780,13498,1282,8.7
2010,Feb,14991,13752,1239,8.3
2010,Mar,15022,13792,1230,8.2
2010,Apr,15245,14051,1194,7.8
2010,May,15134,13928,1206,8.0
2010,Jun,15199,13847,1352,8.9
2010,Jul,14888,13575,1313,8.8
2010,Aug,14799,13520,1279,8.6
2010,Sep,15064,13818,1246,8.3
2010,Oct,15080,13863,1217,8.1
2010,Nov,15106,13818,1288,8.5
2010,Dec,15048,13821,1227,8.2
2011,Jan,15064,13751,1313,8.7
2011,Feb,15227,13969,1258,8.3
2011,Mar,15232,14046,1186,7.8
2011,Apr,15361,14221,1140,7.4
2011,May,15489,14261,1228,7.9
2011,Jun,15494,14100,1394,9.0
2011,Jul,15267,13913,1354,8.9
2011,Aug,15253,13926,1327,8.7
2011,Sep,15486,14258,1228,7.9
2011,Oct,15550,14380,1170,7.5
2011,Nov,15619,14511,1108,7.1
2011,Dec,15627,14536,1091,7.0
2012,Jan,15264,14094,1170,7.7
2012,Feb,15684,14568,1116,7.1
2012,Mar,15571,14513,1058,6.8
2012,Apr,15520,14539,981,6.3
2012,May,15558,14533,1025,6.6
2012,Jun,15426,14229,1197,7.8
2012,Jul,15226,14037,1189,7.8
2012,Aug,15167,14060,1107,7.3
2012,Sep,15269,14290,979,6.4
2012,Oct,15533,14561,972,6.3
2012,Nov,15424,14466,958,6.2
2012,Dec,15372,14407,965,6.3
2013,Jan,15029,13938,1091,7.3
2013,Feb,15398,14385,1013,6.6
2013,Mar,15345,14365,980,6.4
2013,Apr,15594,14666,928,6.0
2013,May,15748,14730,1018,6.5
2013,Jun,15307,14142,1165,7.6
2013,Jul,15606,14479,1127,7.2
2013,Aug,15300,14244,1056,6.9
2013,Sep,15748,14778,970,6.2
2013,Oct,15435,14502,933,6.0
2013,Nov,15420,14537,883,5.7
2013,Dec,15403,14571,832,5.4
2014,Jan,15313,14463,850,5.6
2014,Feb,15511,14627,884,5.7
2014,Mar,15635,14757,878,5.6
2014,Apr,15544,14793,751,4.8
2014,May,15467,14629,838,5.4
2014,Jun,15155,14212,943,6.2
2014,Jul,15144,14179,965,6.4
2014,Aug,15083,14166,917,6.1
2014,Sep,15168,14360,808,5.3
2014,Oct,15360,14611,749,4.9
2014,Nov,15083,14344,739,4.9
2014,Dec,14878,14213,665,4.5
2015,Jan,14592,13821,771,5.3
2015,Feb,14914,14160,754,5.1
2015,Mar,14909,14130,779,5.2
2015,Apr,14722,13954,768,5.2
2015,May,14564,13714,850,5.8
2015,Jun,14373,13433,940,6.5
2015,Jul,13987,13023,964,6.9
2015,Aug,13854,12929,925,6.7
2015,Sep,14029,13165,864,6.2
2015,Oct,14306,13442,864,6.0
2015,Nov,14264,13401,863,6.1
2015,Dec,14267,13432,835,5.9
2016,Jan,13895,13006,889,6.4
2016,Feb,14335,13447,888,6.2
2016,Mar,14514,13574,940,6.5
2016,Apr,14468,13549,919,6.4
2016,May,14406,13500,906,6.3
2016,Jun,14022,12972,1050,7.5
2016,Jul,13722,12677,1045,7.6
2016,Aug,13758,12717,1041,7.6
2016,Sep,13982,12997,985,7.0
2016,Oct,14121,13200,921,6.5
2016,Nov,14113,13239,874,6.2
2016,Dec,13892,13001,891,6.4
2017,Jan,13212,12242,970,7.3
2017,Feb,13639,12728,911,6.7
2017,Mar,13915,13060,855,6.1
2017,Apr,13862,13074,788,5.7
2017,May,13658,12902,756,5.5
2017,Jun,13216,12369,847,6.4
2017,Jul,12929,12070,859,6.6
2017,Aug,12917,12077,840,6.5
2017,Sep,13140,12439,701,5.3
2017,Oct,13429,12787,642,4.8
2017,Nov,13400,12731,669,5.0
2017,Dec,13436,12771,665,4.9
2018,Jan,13137,12419,718,5.5
2018,Feb,13520,12829,691,5.1
2018,Mar,13784,13112,672,4.9
2018,Apr,13354,12704,650,4.9
2018,May,13617,12991,626,4.6
2018,Jun,13197,12474,723,5.5
2018,Jul,13046,12339,707,5.4
2018,Aug,13058,12400,658,5.0
2018,Sep,13091,12470,621,4.7
2018,Oct,13331,12740,591,4.4
2018,Nov,13330,12740,590,4.4
2018,Dec,13273,12662,611,4.6
2019,Jan,13221,12558,663,5.0
2019,Feb,13628,13009,619,4.5
2019,Mar,13717,13148,569,4.1
2019,Apr,13473,12988,485,3.6
2019,May,13673,13158,515,3.8
2019,Jun,13321,12692,629,4.7
2019,Jul,13138,12486,652,5.0
2019,Aug,13455,12817,638,4.7
2019,Sep,13392,12815,577,4.3
2019,Oct,13731,13157,574,4.2
2019,Nov,13628,13043,585,4.3
2019,Dec,13571,13020,551,4.1
2020,Jan,13331,12700,631,4.7
2020,Feb,13679,13060,619,4.5
2020,Mar,13679,12798,881,6.4
2020,Apr,12218,10683,1535,12.6
