Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482750000000003,LAUCN482750000000004,LAUCN482750000000005,LAUCN482750000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Knox County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1803,1687,116,6.4
2010,Feb,1806,1692,114,6.3
2010,Mar,1840,1732,108,5.9
2010,Apr,1938,1830,108,5.6
2010,May,1929,1814,115,6.0
2010,Jun,1984,1863,121,6.1
2010,Jul,1970,1853,117,5.9
2010,Aug,1945,1824,121,6.2
2010,Sep,1935,1825,110,5.7
2010,Oct,1957,1848,109,5.6
2010,Nov,1912,1802,110,5.8
2010,Dec,1897,1798,99,5.2
2011,Jan,1845,1738,107,5.8
2011,Feb,1819,1706,113,6.2
2011,Mar,1872,1757,115,6.1
2011,Apr,1913,1799,114,6.0
2011,May,1892,1773,119,6.3
2011,Jun,1955,1834,121,6.2
2011,Jul,1963,1847,116,5.9
2011,Aug,1983,1871,112,5.6
2011,Sep,1957,1851,106,5.4
2011,Oct,1870,1767,103,5.5
2011,Nov,1892,1796,96,5.1
2011,Dec,1910,1812,98,5.1
2012,Jan,1814,1706,108,6.0
2012,Feb,1782,1685,97,5.4
2012,Mar,1816,1722,94,5.2
2012,Apr,1818,1727,91,5.0
2012,May,1839,1744,95,5.2
2012,Jun,1845,1742,103,5.6
2012,Jul,1858,1751,107,5.8
2012,Aug,1828,1728,100,5.5
2012,Sep,1823,1733,90,4.9
2012,Oct,1818,1727,91,5.0
2012,Nov,1796,1714,82,4.6
2012,Dec,1774,1688,86,4.8
2013,Jan,1695,1587,108,6.4
2013,Feb,1680,1588,92,5.5
2013,Mar,1702,1612,90,5.3
2013,Apr,1753,1669,84,4.8
2013,May,1801,1706,95,5.3
2013,Jun,1827,1725,102,5.6
2013,Jul,1816,1713,103,5.7
2013,Aug,1766,1669,97,5.5
2013,Sep,1781,1687,94,5.3
2013,Oct,1777,1685,92,5.2
2013,Nov,1686,1599,87,5.2
2013,Dec,1748,1669,79,4.5
2014,Jan,1722,1635,87,5.1
2014,Feb,1762,1673,89,5.1
2014,Mar,1774,1687,87,4.9
2014,Apr,1748,1676,72,4.1
2014,May,1783,1707,76,4.3
2014,Jun,1788,1711,77,4.3
2014,Jul,1764,1683,81,4.6
2014,Aug,1709,1631,78,4.6
2014,Sep,1729,1656,73,4.2
2014,Oct,1737,1673,64,3.7
2014,Nov,1703,1642,61,3.6
2014,Dec,1673,1622,51,3.0
2015,Jan,1691,1629,62,3.7
2015,Feb,1719,1664,55,3.2
2015,Mar,1736,1679,57,3.3
2015,Apr,1712,1655,57,3.3
2015,May,1734,1672,62,3.6
2015,Jun,1765,1695,70,4.0
2015,Jul,1691,1623,68,4.0
2015,Aug,1629,1562,67,4.1
2015,Sep,1661,1594,67,4.0
2015,Oct,1652,1586,66,4.0
2015,Nov,1591,1529,62,3.9
2015,Dec,1606,1541,65,4.0
2016,Jan,1530,1468,62,4.1
2016,Feb,1605,1540,65,4.0
2016,Mar,1633,1568,65,4.0
2016,Apr,1629,1572,57,3.5
2016,May,1677,1617,60,3.6
2016,Jun,1637,1560,77,4.7
2016,Jul,1558,1481,77,4.9
2016,Aug,1538,1461,77,5.0
2016,Sep,1502,1434,68,4.5
2016,Oct,1476,1411,65,4.4
2016,Nov,1448,1389,59,4.1
2016,Dec,1465,1407,58,4.0
2017,Jan,1412,1351,61,4.3
2017,Feb,1468,1398,70,4.8
2017,Mar,1540,1484,56,3.6
2017,Apr,1532,1474,58,3.8
2017,May,1532,1477,55,3.6
2017,Jun,1503,1437,66,4.4
2017,Jul,1454,1391,63,4.3
2017,Aug,1497,1433,64,4.3
2017,Sep,1452,1394,58,4.0
2017,Oct,1486,1437,49,3.3
2017,Nov,1450,1394,56,3.9
2017,Dec,1472,1424,48,3.3
2018,Jan,1421,1365,56,3.9
2018,Feb,1455,1401,54,3.7
2018,Mar,1504,1451,53,3.5
2018,Apr,1448,1396,52,3.6
2018,May,1504,1450,54,3.6
2018,Jun,1512,1451,61,4.0
2018,Jul,1439,1383,56,3.9
2018,Aug,1475,1420,55,3.7
2018,Sep,1449,1400,49,3.4
2018,Oct,1434,1389,45,3.1
2018,Nov,1406,1362,44,3.1
2018,Dec,1373,1330,43,3.1
2019,Jan,1398,1340,58,4.1
2019,Feb,1429,1378,51,3.6
2019,Mar,1461,1411,50,3.4
2019,Apr,1444,1403,41,2.8
2019,May,1471,1430,41,2.8
2019,Jun,1460,1412,48,3.3
2019,Jul,1441,1391,50,3.5
2019,Aug,1490,1439,51,3.4
2019,Sep,1439,1394,45,3.1
2019,Oct,1470,1427,43,2.9
2019,Nov,1402,1358,44,3.1
2019,Dec,1421,1380,41,2.9
2020,Jan,1415,1360,55,3.9
2020,Feb,1428,1377,51,3.6
2020,Mar,1437,1359,78,5.4
2020,Apr,1241,1153,88,7.1
