Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482830000000003,LAUCN482830000000004,LAUCN482830000000005,LAUCN482830000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"La Salle County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,2562,2300,262,10.2
2010,Feb,2570,2309,261,10.2
2010,Mar,2616,2366,250,9.6
2010,Apr,2662,2434,228,8.6
2010,May,2659,2426,233,8.8
2010,Jun,2725,2473,252,9.2
2010,Jul,2797,2536,261,9.3
2010,Aug,2767,2520,247,8.9
2010,Sep,2792,2555,237,8.5
2010,Oct,2807,2584,223,7.9
2010,Nov,2834,2605,229,8.1
2010,Dec,2864,2635,229,8.0
2011,Jan,2885,2647,238,8.2
2011,Feb,2896,2673,223,7.7
2011,Mar,3049,2831,218,7.1
2011,Apr,3018,2799,219,7.3
2011,May,3086,2867,219,7.1
2011,Jun,3126,2892,234,7.5
2011,Jul,3199,2979,220,6.9
2011,Aug,3260,3053,207,6.3
2011,Sep,3273,3074,199,6.1
2011,Oct,3255,3063,192,5.9
2011,Nov,3279,3099,180,5.5
2011,Dec,3310,3135,175,5.3
2012,Jan,3320,3141,179,5.4
2012,Feb,3429,3254,175,5.1
2012,Mar,3496,3327,169,4.8
2012,Apr,3535,3378,157,4.4
2012,May,3675,3510,165,4.5
2012,Jun,3729,3553,176,4.7
2012,Jul,3843,3661,182,4.7
2012,Aug,3801,3639,162,4.3
2012,Sep,3822,3676,146,3.8
2012,Oct,3775,3632,143,3.8
2012,Nov,3743,3599,144,3.8
2012,Dec,3875,3717,158,4.1
2013,Jan,4054,3876,178,4.4
2013,Feb,4057,3888,169,4.2
2013,Mar,3989,3833,156,3.9
2013,Apr,4037,3890,147,3.6
2013,May,4095,3933,162,4.0
2013,Jun,4153,3973,180,4.3
2013,Jul,4230,4067,163,3.9
2013,Aug,4275,4125,150,3.5
2013,Sep,4309,4162,147,3.4
2013,Oct,4315,4166,149,3.5
2013,Nov,4287,4144,143,3.3
2013,Dec,4323,4186,137,3.2
2014,Jan,4458,4317,141,3.2
2014,Feb,4473,4321,152,3.4
2014,Mar,4457,4306,151,3.4
2014,Apr,4396,4268,128,2.9
2014,May,4462,4317,145,3.2
2014,Jun,4535,4378,157,3.5
2014,Jul,4664,4508,156,3.3
2014,Aug,4677,4531,146,3.1
2014,Sep,4714,4576,138,2.9
2014,Oct,4741,4611,130,2.7
2014,Nov,4765,4644,121,2.5
2014,Dec,4647,4516,131,2.8
2015,Jan,4751,4601,150,3.2
2015,Feb,4370,4205,165,3.8
2015,Mar,4360,4185,175,4.0
2015,Apr,4346,4174,172,4.0
2015,May,4353,4171,182,4.2
2015,Jun,4450,4256,194,4.4
2015,Jul,4489,4295,194,4.3
2015,Aug,4198,4013,185,4.4
2015,Sep,4066,3894,172,4.2
2015,Oct,4008,3822,186,4.6
2015,Nov,3939,3757,182,4.6
2015,Dec,3906,3735,171,4.4
2016,Jan,3966,3788,178,4.5
2016,Feb,3992,3809,183,4.6
2016,Mar,3976,3779,197,5.0
2016,Apr,3924,3719,205,5.2
2016,May,3927,3729,198,5.0
2016,Jun,3822,3603,219,5.7
2016,Jul,3947,3724,223,5.6
2016,Aug,3906,3691,215,5.5
2016,Sep,3853,3638,215,5.6
2016,Oct,3768,3572,196,5.2
2016,Nov,3769,3587,182,4.8
2016,Dec,3760,3578,182,4.8
2017,Jan,3868,3663,205,5.3
2017,Feb,3912,3714,198,5.1
2017,Mar,3967,3794,173,4.4
2017,Apr,4094,3937,157,3.8
2017,May,4394,4240,154,3.5
2017,Jun,4532,4376,156,3.4
2017,Jul,4442,4278,164,3.7
2017,Aug,4289,4136,153,3.6
2017,Sep,4310,4180,130,3.0
2017,Oct,4197,4078,119,2.8
2017,Nov,4209,4090,119,2.8
2017,Dec,4257,4142,115,2.7
2018,Jan,4414,4281,133,3.0
2018,Feb,4498,4376,122,2.7
2018,Mar,4523,4411,112,2.5
2018,Apr,4575,4467,108,2.4
2018,May,4503,4397,106,2.4
2018,Jun,4638,4519,119,2.6
2018,Jul,4785,4668,117,2.4
2018,Aug,4729,4610,119,2.5
2018,Sep,4660,4562,98,2.1
2018,Oct,4586,4490,96,2.1
2018,Nov,4571,4473,98,2.1
2018,Dec,4540,4448,92,2.0
2019,Jan,4611,4500,111,2.4
2019,Feb,4480,4377,103,2.3
2019,Mar,4406,4300,106,2.4
2019,Apr,4351,4268,83,1.9
2019,May,4376,4285,91,2.1
2019,Jun,4335,4229,106,2.4
2019,Jul,4529,4421,108,2.4
2019,Aug,4423,4305,118,2.7
2019,Sep,4354,4241,113,2.6
2019,Oct,4332,4221,111,2.6
2019,Nov,4302,4185,117,2.7
2019,Dec,4312,4204,108,2.5
2020,Jan,4384,4263,121,2.8
2020,Feb,4429,4293,136,3.1
2020,Mar,4383,4194,189,4.3
2020,Apr,3749,3446,303,8.1
