Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482770000000003,LAUCN482770000000004,LAUCN482770000000005,LAUCN482770000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Lamar County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,23020,20925,2095,9.1
2010,Feb,23217,21068,2149,9.3
2010,Mar,23237,21140,2097,9.0
2010,Apr,23359,21318,2041,8.7
2010,May,23428,21362,2066,8.8
2010,Jun,23420,21200,2220,9.5
2010,Jul,23252,21129,2123,9.1
2010,Aug,23217,21100,2117,9.1
2010,Sep,23380,21100,2280,9.8
2010,Oct,23430,21204,2226,9.5
2010,Nov,23367,21079,2288,9.8
2010,Dec,23268,20996,2272,9.8
2011,Jan,23223,20836,2387,10.3
2011,Feb,23332,21028,2304,9.9
2011,Mar,23517,21282,2235,9.5
2011,Apr,23403,21266,2137,9.1
2011,May,23498,21246,2252,9.6
2011,Jun,23524,21057,2467,10.5
2011,Jul,23550,21093,2457,10.4
2011,Aug,23445,21071,2374,10.1
2011,Sep,23496,21116,2380,10.1
2011,Oct,23269,21068,2201,9.5
2011,Nov,23189,21101,2088,9.0
2011,Dec,23149,20970,2179,9.4
2012,Jan,22669,20430,2239,9.9
2012,Feb,22775,20529,2246,9.9
2012,Mar,22748,20579,2169,9.5
2012,Apr,22677,20707,1970,8.7
2012,May,22804,20781,2023,8.9
2012,Jun,22943,20759,2184,9.5
2012,Jul,22928,20632,2296,10.0
2012,Aug,22541,20524,2017,8.9
2012,Sep,22730,20708,2022,8.9
2012,Oct,22335,20338,1997,8.9
2012,Nov,22338,20417,1921,8.6
2012,Dec,22261,20323,1938,8.7
2013,Jan,22269,20171,2098,9.4
2013,Feb,22449,20473,1976,8.8
2013,Mar,22333,20491,1842,8.2
2013,Apr,22355,20581,1774,7.9
2013,May,22466,20634,1832,8.2
2013,Jun,22505,20534,1971,8.8
2013,Jul,22417,20531,1886,8.4
2013,Aug,22198,20395,1803,8.1
2013,Sep,22274,20555,1719,7.7
2013,Oct,22126,20430,1696,7.7
2013,Nov,22147,20545,1602,7.2
2013,Dec,22128,20623,1505,6.8
2014,Jan,22031,20500,1531,6.9
2014,Feb,22320,20790,1530,6.9
2014,Mar,22389,20899,1490,6.7
2014,Apr,22297,21006,1291,5.8
2014,May,22273,20922,1351,6.1
2014,Jun,22164,20757,1407,6.3
2014,Jul,22382,20915,1467,6.6
2014,Aug,22012,20617,1395,6.3
2014,Sep,22096,20810,1286,5.8
2014,Oct,22080,20880,1200,5.4
2014,Nov,22064,20871,1193,5.4
2014,Dec,21930,20854,1076,4.9
2015,Jan,21965,20795,1170,5.3
2015,Feb,22175,21062,1113,5.0
2015,Mar,22143,21072,1071,4.8
2015,Apr,22263,21274,989,4.4
2015,May,22353,21282,1071,4.8
2015,Jun,22343,21226,1117,5.0
2015,Jul,22314,21184,1130,5.1
2015,Aug,22056,20997,1059,4.8
2015,Sep,22177,21124,1053,4.7
2015,Oct,22082,21081,1001,4.5
2015,Nov,22162,21183,979,4.4
2015,Dec,22200,21259,941,4.2
2016,Jan,22561,21579,982,4.4
2016,Feb,22943,21990,953,4.2
2016,Mar,23117,22155,962,4.2
2016,Apr,23031,22090,941,4.1
2016,May,23107,22152,955,4.1
2016,Jun,23420,22224,1196,5.1
2016,Jul,23500,22292,1208,5.1
2016,Aug,23545,22339,1206,5.1
2016,Sep,23620,22412,1208,5.1
2016,Oct,23444,22308,1136,4.8
2016,Nov,23126,22052,1074,4.6
2016,Dec,23208,22155,1053,4.5
2017,Jan,23654,22504,1150,4.9
2017,Feb,23770,22630,1140,4.8
2017,Mar,23800,22735,1065,4.5
2017,Apr,23825,22888,937,3.9
2017,May,23656,22714,942,4.0
2017,Jun,23846,22851,995,4.2
2017,Jul,23637,22641,996,4.2
2017,Aug,23416,22397,1019,4.4
2017,Sep,23684,22755,929,3.9
2017,Oct,23956,23081,875,3.7
2017,Nov,23912,22957,955,4.0
2017,Dec,23904,22961,943,3.9
2018,Jan,23640,22622,1018,4.3
2018,Feb,23912,22906,1006,4.2
2018,Mar,24048,23044,1004,4.2
2018,Apr,23941,23057,884,3.7
2018,May,23961,23124,837,3.5
2018,Jun,23859,22895,964,4.0
2018,Jul,23590,22698,892,3.8
2018,Aug,23754,22908,846,3.6
2018,Sep,23675,22863,812,3.4
2018,Oct,23627,22827,800,3.4
2018,Nov,23671,22859,812,3.4
2018,Dec,23529,22687,842,3.6
2019,Jan,23675,22726,949,4.0
2019,Feb,23939,23050,889,3.7
2019,Mar,24023,23202,821,3.4
2019,Apr,23910,23194,716,3.0
2019,May,23807,23080,727,3.1
2019,Jun,23784,22952,832,3.5
2019,Jul,23980,23124,856,3.6
2019,Aug,24235,23403,832,3.4
2019,Sep,24371,23581,790,3.2
2019,Oct,24378,23605,773,3.2
2019,Nov,24302,23505,797,3.3
2019,Dec,24216,23469,747,3.1
2020,Jan,24252,23412,840,3.5
2020,Feb,24476,23678,798,3.3
2020,Mar,24216,23133,1083,4.5
2020,Apr,21929,19614,2315,10.6
