Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482790000000003,LAUCN482790000000004,LAUCN482790000000005,LAUCN482790000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Lamb County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,6581,6021,560,8.5
2010,Feb,6559,5991,568,8.7
2010,Mar,6713,6170,543,8.1
2010,Apr,6880,6365,515,7.5
2010,May,6846,6336,510,7.4
2010,Jun,7030,6480,550,7.8
2010,Jul,6956,6416,540,7.8
2010,Aug,6819,6302,517,7.6
2010,Sep,6855,6372,483,7.0
2010,Oct,6803,6344,459,6.7
2010,Nov,6742,6272,470,7.0
2010,Dec,6776,6321,455,6.7
2011,Jan,6694,6163,531,7.9
2011,Feb,6626,6093,533,8.0
2011,Mar,6704,6193,511,7.6
2011,Apr,6671,6183,488,7.3
2011,May,6647,6159,488,7.3
2011,Jun,6887,6333,554,8.0
2011,Jul,6781,6227,554,8.2
2011,Aug,6827,6304,523,7.7
2011,Sep,6777,6255,522,7.7
2011,Oct,6644,6169,475,7.1
2011,Nov,6711,6264,447,6.7
2011,Dec,6796,6310,486,7.2
2012,Jan,6463,5967,496,7.7
2012,Feb,6746,5836,910,13.5
2012,Mar,6814,5863,951,14.0
2012,Apr,6428,6004,424,6.6
2012,May,6448,6010,438,6.8
2012,Jun,6527,6053,474,7.3
2012,Jul,6532,6056,476,7.3
2012,Aug,6394,5946,448,7.0
2012,Sep,6421,6017,404,6.3
2012,Oct,6352,5963,389,6.1
2012,Nov,6295,5914,381,6.1
2012,Dec,6173,5779,394,6.4
2013,Jan,6058,5602,456,7.5
2013,Feb,6042,5594,448,7.4
2013,Mar,5980,5545,435,7.3
2013,Apr,6125,5706,419,6.8
2013,May,6238,5793,445,7.1
2013,Jun,6357,5872,485,7.6
2013,Jul,6417,5961,456,7.1
2013,Aug,6221,5796,425,6.8
2013,Sep,6246,5846,400,6.4
2013,Oct,6142,5748,394,6.4
2013,Nov,5938,5589,349,5.9
2013,Dec,6013,5674,339,5.6
2014,Jan,6026,5663,363,6.0
2014,Feb,6152,5796,356,5.8
2014,Mar,6167,5821,346,5.6
2014,Apr,6174,5873,301,4.9
2014,May,6205,5874,331,5.3
2014,Jun,6276,5937,339,5.4
2014,Jul,6419,5704,715,11.1
2014,Aug,5927,5608,319,5.4
2014,Sep,5855,5540,315,5.4
2014,Oct,5853,5567,286,4.9
2014,Nov,5775,5491,284,4.9
2014,Dec,5613,5351,262,4.7
2015,Jan,5680,5123,557,9.8
2015,Feb,5743,5193,550,9.6
2015,Mar,5725,5186,539,9.4
2015,Apr,5618,5132,486,8.7
2015,May,5653,5160,493,8.7
2015,Jun,5674,5155,519,9.1
2015,Jul,5505,4997,508,9.2
2015,Aug,5368,4873,495,9.2
2015,Sep,5391,4919,472,8.8
2015,Oct,5321,4867,454,8.5
2015,Nov,5203,4779,424,8.1
2015,Dec,5223,4830,393,7.5
2016,Jan,5118,4726,392,7.7
2016,Feb,5353,4985,368,6.9
2016,Mar,5427,5065,362,6.7
2016,Apr,5400,5062,338,6.3
2016,May,5478,5150,328,6.0
2016,Jun,5392,5034,358,6.6
2016,Jul,5203,4850,353,6.8
2016,Aug,5175,4826,349,6.7
2016,Sep,5101,4767,334,6.5
2016,Oct,5124,4813,311,6.1
2016,Nov,5078,4784,294,5.8
2016,Dec,5090,4797,293,5.8
2017,Jan,5033,4714,319,6.3
2017,Feb,5143,4808,335,6.5
2017,Mar,5334,5035,299,5.6
2017,Apr,5281,5013,268,5.1
2017,May,5287,5017,270,5.1
2017,Jun,5305,5012,293,5.5
2017,Jul,5134,4851,283,5.5
2017,Aug,5171,4901,270,5.2
2017,Sep,5122,4879,243,4.7
2017,Oct,5203,4987,216,4.2
2017,Nov,5122,4905,217,4.2
2017,Dec,5152,4953,199,3.9
2018,Jan,5135,4906,229,4.5
2018,Feb,5239,4995,244,4.7
2018,Mar,5439,5191,248,4.6
2018,Apr,5261,5038,223,4.2
2018,May,5371,5154,217,4.0
2018,Jun,5318,5057,261,4.9
2018,Jul,5237,4988,249,4.8
2018,Aug,5304,5075,229,4.3
2018,Sep,5210,4986,224,4.3
2018,Oct,5059,4851,208,4.1
2018,Nov,5014,4818,196,3.9
2018,Dec,4932,4720,212,4.3
2019,Jan,5169,4928,241,4.7
2019,Feb,5280,5052,228,4.3
2019,Mar,5378,5158,220,4.1
2019,Apr,5293,5115,178,3.4
2019,May,5340,5164,176,3.3
2019,Jun,5330,5116,214,4.0
2019,Jul,5288,5073,215,4.1
2019,Aug,5432,5224,208,3.8
2019,Sep,5340,5142,198,3.7
2019,Oct,5392,5192,200,3.7
2019,Nov,5226,5046,180,3.4
2019,Dec,5264,5085,179,3.4
2020,Jan,5338,5121,217,4.1
2020,Feb,5381,5178,203,3.8
2020,Mar,5372,5081,291,5.4
2020,Apr,4603,4291,312,6.8
