Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482810000000003,LAUCN482810000000004,LAUCN482810000000005,LAUCN482810000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Lampasas County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,8843,8189,654,7.4
2010,Feb,8868,8244,624,7.0
2010,Mar,8915,8294,621,7.0
2010,Apr,9045,8444,601,6.6
2010,May,9013,8409,604,6.7
2010,Jun,9076,8403,673,7.4
2010,Jul,9078,8422,656,7.2
2010,Aug,9046,8418,628,6.9
2010,Sep,9080,8450,630,6.9
2010,Oct,9060,8415,645,7.1
2010,Nov,9112,8424,688,7.6
2010,Dec,9102,8435,667,7.3
2011,Jan,9122,8408,714,7.8
2011,Feb,9115,8443,672,7.4
2011,Mar,9123,8459,664,7.3
2011,Apr,9112,8465,647,7.1
2011,May,9126,8451,675,7.4
2011,Jun,9167,8423,744,8.1
2011,Jul,9148,8413,735,8.0
2011,Aug,9138,8418,720,7.9
2011,Sep,9192,8469,723,7.9
2011,Oct,9147,8457,690,7.5
2011,Nov,9149,8482,667,7.3
2011,Dec,9125,8482,643,7.0
2012,Jan,9023,8339,684,7.6
2012,Feb,9008,8358,650,7.2
2012,Mar,9035,8397,638,7.1
2012,Apr,9025,8419,606,6.7
2012,May,9057,8412,645,7.1
2012,Jun,9138,8417,721,7.9
2012,Jul,9177,8469,708,7.7
2012,Aug,9103,8458,645,7.1
2012,Sep,9155,8542,613,6.7
2012,Oct,9171,8546,625,6.8
2012,Nov,9112,8502,610,6.7
2012,Dec,9095,8475,620,6.8
2013,Jan,9055,8371,684,7.6
2013,Feb,9037,8383,654,7.2
2013,Mar,9013,8389,624,6.9
2013,Apr,9104,8488,616,6.8
2013,May,9167,8511,656,7.2
2013,Jun,9182,8464,718,7.8
2013,Jul,9235,8529,706,7.6
2013,Aug,9165,8492,673,7.3
2013,Sep,9213,8547,666,7.2
2013,Oct,9129,8479,650,7.1
2013,Nov,9145,8531,614,6.7
2013,Dec,9125,8545,580,6.4
2014,Jan,9013,8423,590,6.5
2014,Feb,9049,8465,584,6.5
2014,Mar,9018,8466,552,6.1
2014,Apr,9033,8552,481,5.3
2014,May,9055,8543,512,5.7
2014,Jun,9021,8484,537,6.0
2014,Jul,8989,8447,542,6.0
2014,Aug,8902,8395,507,5.7
2014,Sep,8930,8457,473,5.3
2014,Oct,8952,8498,454,5.1
2014,Nov,8924,8499,425,4.8
2014,Dec,8847,8464,383,4.3
2015,Jan,8918,8472,446,5.0
2015,Feb,8953,8551,402,4.5
2015,Mar,8990,8596,394,4.4
2015,Apr,9023,8666,357,4.0
2015,May,9089,8699,390,4.3
2015,Jun,9041,8620,421,4.7
2015,Jul,9063,8638,425,4.7
2015,Aug,9016,8621,395,4.4
2015,Sep,9057,8668,389,4.3
2015,Oct,9127,8728,399,4.4
2015,Nov,9184,8806,378,4.1
2015,Dec,9216,8851,365,4.0
2016,Jan,9021,8652,369,4.1
2016,Feb,9127,8764,363,4.0
2016,Mar,9170,8799,371,4.0
2016,Apr,9167,8827,340,3.7
2016,May,9190,8841,349,3.8
2016,Jun,9194,8778,416,4.5
2016,Jul,9174,8753,421,4.6
2016,Aug,9154,8746,408,4.5
2016,Sep,9171,8757,414,4.5
2016,Oct,9165,8777,388,4.2
2016,Nov,9181,8822,359,3.9
2016,Dec,9166,8809,357,3.9
2017,Jan,9137,8758,379,4.1
2017,Feb,9212,8816,396,4.3
2017,Mar,9226,8868,358,3.9
2017,Apr,9253,8938,315,3.4
2017,May,9264,8941,323,3.5
2017,Jun,9228,8887,341,3.7
2017,Jul,9192,8838,354,3.9
2017,Aug,9199,8838,361,3.9
2017,Sep,9206,8872,334,3.6
2017,Oct,9182,8872,310,3.4
2017,Nov,9238,8905,333,3.6
2017,Dec,9223,8898,325,3.5
2018,Jan,9116,8771,345,3.8
2018,Feb,9177,8832,345,3.8
2018,Mar,9176,8835,341,3.7
2018,Apr,9165,8854,311,3.4
2018,May,9164,8851,313,3.4
2018,Jun,9129,8762,367,4.0
2018,Jul,9133,8777,356,3.9
2018,Aug,9092,8734,358,3.9
2018,Sep,9151,8809,342,3.7
2018,Oct,9160,8819,341,3.7
2018,Nov,9172,8845,327,3.6
2018,Dec,9167,8836,331,3.6
2019,Jan,9150,8792,358,3.9
2019,Feb,9190,8861,329,3.6
2019,Mar,9177,8866,311,3.4
2019,Apr,9158,8906,252,2.8
2019,May,9151,8893,258,2.8
2019,Jun,9162,8843,319,3.5
2019,Jul,9207,8876,331,3.6
2019,Aug,9202,8885,317,3.4
2019,Sep,9235,8948,287,3.1
2019,Oct,9283,8998,285,3.1
2019,Nov,9329,9028,301,3.2
2019,Dec,9305,9024,281,3.0
2020,Jan,9322,9002,320,3.4
2020,Feb,9375,9063,312,3.3
2020,Mar,9223,8787,436,4.7
2020,Apr,8199,7527,672,8.2
