Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482850000000003,LAUCN482850000000004,LAUCN482850000000005,LAUCN482850000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Lavaca County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,9548,8894,654,6.8
2010,Feb,9478,8844,634,6.7
2010,Mar,9530,8910,620,6.5
2010,Apr,9680,9033,647,6.7
2010,May,9626,8933,693,7.2
2010,Jun,9771,9053,718,7.3
2010,Jul,9848,9107,741,7.5
2010,Aug,9811,9099,712,7.3
2010,Sep,9794,9108,686,7.0
2010,Oct,9807,9159,648,6.6
2010,Nov,9777,9108,669,6.8
2010,Dec,9762,9146,616,6.3
2011,Jan,9531,8897,634,6.7
2011,Feb,9448,8864,584,6.2
2011,Mar,9605,9020,585,6.1
2011,Apr,9564,9001,563,5.9
2011,May,9564,8989,575,6.0
2011,Jun,9761,9119,642,6.6
2011,Jul,9734,9112,622,6.4
2011,Aug,9662,9069,593,6.1
2011,Sep,9635,9058,577,6.0
2011,Oct,9641,9117,524,5.4
2011,Nov,9674,9179,495,5.1
2011,Dec,9637,9166,471,4.9
2012,Jan,9596,9099,497,5.2
2012,Feb,9543,9075,468,4.9
2012,Mar,9524,9072,452,4.7
2012,Apr,9571,9141,430,4.5
2012,May,9554,9097,457,4.8
2012,Jun,9704,9195,509,5.2
2012,Jul,9568,9047,521,5.4
2012,Aug,9379,8908,471,5.0
2012,Sep,9379,8935,444,4.7
2012,Oct,9376,8951,425,4.5
2012,Nov,9313,8903,410,4.4
2012,Dec,9275,8866,409,4.4
2013,Jan,9182,8699,483,5.3
2013,Feb,9121,8683,438,4.8
2013,Mar,9149,8723,426,4.7
2013,Apr,9184,8781,403,4.4
2013,May,9272,8835,437,4.7
2013,Jun,9403,8905,498,5.3
2013,Jul,9393,8918,475,5.1
2013,Aug,9217,8782,435,4.7
2013,Sep,9263,8830,433,4.7
2013,Oct,9200,8787,413,4.5
2013,Nov,9175,8788,387,4.2
2013,Dec,9199,8836,363,3.9
2014,Jan,9079,8697,382,4.2
2014,Feb,9014,8628,386,4.3
2014,Mar,8908,8533,375,4.2
2014,Apr,9040,8735,305,3.4
2014,May,9024,8674,350,3.9
2014,Jun,9173,8792,381,4.2
2014,Jul,9053,8653,400,4.4
2014,Aug,9020,8636,384,4.3
2014,Sep,8952,8603,349,3.9
2014,Oct,8911,8590,321,3.6
2014,Nov,8854,8549,305,3.4
2014,Dec,8792,8511,281,3.2
2015,Jan,8752,8440,312,3.6
2015,Feb,8700,8401,299,3.4
2015,Mar,8748,8456,292,3.3
2015,Apr,8829,8528,301,3.4
2015,May,8943,8608,335,3.7
2015,Jun,9020,8660,360,4.0
2015,Jul,8906,8529,377,4.2
2015,Aug,8752,8404,348,4.0
2015,Sep,8735,8378,357,4.1
2015,Oct,8840,8488,352,4.0
2015,Nov,8778,8439,339,3.9
2015,Dec,8672,8352,320,3.7
2016,Jan,8601,8277,324,3.8
2016,Feb,8711,8371,340,3.9
2016,Mar,8766,8408,358,4.1
2016,Apr,8760,8421,339,3.9
2016,May,8819,8477,342,3.9
2016,Jun,8857,8466,391,4.4
2016,Jul,8735,8327,408,4.7
2016,Aug,8688,8292,396,4.6
2016,Sep,8714,8307,407,4.7
2016,Oct,8771,8388,383,4.4
2016,Nov,8724,8354,370,4.2
2016,Dec,8714,8355,359,4.1
2017,Jan,8628,8248,380,4.4
2017,Feb,8718,8362,356,4.1
2017,Mar,8757,8424,333,3.8
2017,Apr,8772,8476,296,3.4
2017,May,8808,8506,302,3.4
2017,Jun,8917,8599,318,3.6
2017,Jul,8878,8549,329,3.7
2017,Aug,8837,8510,327,3.7
2017,Sep,8603,8308,295,3.4
2017,Oct,8624,8351,273,3.2
2017,Nov,8625,8333,292,3.4
2017,Dec,8646,8372,274,3.2
2018,Jan,8698,8394,304,3.5
2018,Feb,8734,8446,288,3.3
2018,Mar,8791,8504,287,3.3
2018,Apr,8850,8588,262,3.0
2018,May,8883,8625,258,2.9
2018,Jun,8917,8625,292,3.3
2018,Jul,8884,8599,285,3.2
2018,Aug,8785,8510,275,3.1
2018,Sep,8757,8497,260,3.0
2018,Oct,8741,8495,246,2.8
2018,Nov,8754,8502,252,2.9
2018,Dec,8628,8379,249,2.9
2019,Jan,8628,8338,290,3.4
2019,Feb,8602,8337,265,3.1
2019,Mar,8623,8356,267,3.1
2019,Apr,8604,8380,224,2.6
2019,May,8602,8362,240,2.8
2019,Jun,8695,8413,282,3.2
2019,Jul,8680,8398,282,3.2
2019,Aug,8671,8396,275,3.2
2019,Sep,8508,8257,251,3.0
2019,Oct,8538,8299,239,2.8
2019,Nov,8472,8229,243,2.9
2019,Dec,8455,8233,222,2.6
2020,Jan,8413,8159,254,3.0
2020,Feb,8422,8178,244,2.9
2020,Mar,8319,7963,356,4.3
2020,Apr,7167,6642,525,7.3
