Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482870000000003,LAUCN482870000000004,LAUCN482870000000005,LAUCN482870000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Lee County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,7656,7049,607,7.9
2010,Feb,7614,7025,589,7.7
2010,Mar,7778,7185,593,7.6
2010,Apr,7923,7322,601,7.6
2010,May,8167,7554,613,7.5
2010,Jun,8481,7830,651,7.7
2010,Jul,8653,7998,655,7.6
2010,Aug,8518,7902,616,7.2
2010,Sep,8542,7954,588,6.9
2010,Oct,8553,8008,545,6.4
2010,Nov,8470,7909,561,6.6
2010,Dec,8364,7830,534,6.4
2011,Jan,8460,7879,581,6.9
2011,Feb,8463,7891,572,6.8
2011,Mar,8539,7975,564,6.6
2011,Apr,8752,8216,536,6.1
2011,May,8813,8260,553,6.3
2011,Jun,8963,8344,619,6.9
2011,Jul,9193,8572,621,6.8
2011,Aug,9197,8576,621,6.8
2011,Sep,9178,8570,608,6.6
2011,Oct,9062,8502,560,6.2
2011,Nov,8922,8396,526,5.9
2011,Dec,8896,8378,518,5.8
2012,Jan,8848,8314,534,6.0
2012,Feb,8761,8241,520,5.9
2012,Mar,8923,8429,494,5.5
2012,Apr,8816,8353,463,5.3
2012,May,8894,8398,496,5.6
2012,Jun,9244,8689,555,6.0
2012,Jul,9268,8717,551,5.9
2012,Aug,9431,8935,496,5.3
2012,Sep,9576,9112,464,4.8
2012,Oct,9447,8988,459,4.9
2012,Nov,9170,8727,443,4.8
2012,Dec,9274,8837,437,4.7
2013,Jan,9295,8784,511,5.5
2013,Feb,9352,8863,489,5.2
2013,Mar,9242,8774,468,5.1
2013,Apr,9204,8750,454,4.9
2013,May,9039,8573,466,5.2
2013,Jun,9089,8573,516,5.7
2013,Jul,9407,8909,498,5.3
2013,Aug,9269,8786,483,5.2
2013,Sep,9173,8711,462,5.0
2013,Oct,8970,8520,450,5.0
2013,Nov,8909,8499,410,4.6
2013,Dec,8732,8338,394,4.5
2014,Jan,8828,8393,435,4.9
2014,Feb,8853,8434,419,4.7
2014,Mar,8954,8547,407,4.5
2014,Apr,9185,8827,358,3.9
2014,May,9289,8924,365,3.9
2014,Jun,9407,9013,394,4.2
2014,Jul,9687,9282,405,4.2
2014,Aug,9544,9163,381,4.0
2014,Sep,9554,9197,357,3.7
2014,Oct,9696,9369,327,3.4
2014,Nov,9685,9365,320,3.3
2014,Dec,9529,9236,293,3.1
2015,Jan,9560,9231,329,3.4
2015,Feb,9568,9267,301,3.1
2015,Mar,9353,9042,311,3.3
2015,Apr,9298,9011,287,3.1
2015,May,9245,8911,334,3.6
2015,Jun,9274,8910,364,3.9
2015,Jul,9072,8687,385,4.2
2015,Aug,9104,8763,341,3.7
2015,Sep,9345,9016,329,3.5
2015,Oct,9274,8946,328,3.5
2015,Nov,9265,8928,337,3.6
2015,Dec,9279,8965,314,3.4
2016,Jan,9366,9046,320,3.4
2016,Feb,9355,9037,318,3.4
2016,Mar,9323,8996,327,3.5
2016,Apr,9196,8889,307,3.3
2016,May,9212,8890,322,3.5
2016,Jun,9398,9019,379,4.0
2016,Jul,9346,8956,390,4.2
2016,Aug,9294,8914,380,4.1
2016,Sep,9264,8878,386,4.2
2016,Oct,9214,8844,370,4.0
2016,Nov,9141,8789,352,3.9
2016,Dec,9244,8901,343,3.7
2017,Jan,9272,8910,362,3.9
2017,Feb,9361,8989,372,4.0
2017,Mar,9335,8995,340,3.6
2017,Apr,9228,8931,297,3.2
2017,May,9591,9294,297,3.1
2017,Jun,9925,9604,321,3.2
2017,Jul,9944,9604,340,3.4
2017,Aug,9928,9607,321,3.2
2017,Sep,9820,9543,277,2.8
2017,Oct,9577,9318,259,2.7
2017,Nov,9292,8992,300,3.2
2017,Dec,9211,8918,293,3.2
2018,Jan,9146,8823,323,3.5
2018,Feb,9582,9242,340,3.5
2018,Mar,9616,9286,330,3.4
2018,Apr,9525,9248,277,2.9
2018,May,9447,9191,256,2.7
2018,Jun,9252,8944,308,3.3
2018,Jul,9331,9033,298,3.2
2018,Aug,9427,9152,275,2.9
2018,Sep,9433,9169,264,2.8
2018,Oct,9532,9278,254,2.7
2018,Nov,9674,9412,262,2.7
2018,Dec,9707,9441,266,2.7
2019,Jan,9723,9409,314,3.2
2019,Feb,9998,9717,281,2.8
2019,Mar,10264,9987,277,2.7
2019,Apr,10413,10195,218,2.1
2019,May,10400,10167,233,2.2
2019,Jun,10166,9880,286,2.8
2019,Jul,10065,9770,295,2.9
2019,Aug,10144,9866,278,2.7
2019,Sep,10137,9879,258,2.5
2019,Oct,10110,9850,260,2.6
2019,Nov,10023,9756,267,2.7
2019,Dec,10003,9749,254,2.5
2020,Jan,10004,9721,283,2.8
2020,Feb,10079,9801,278,2.8
2020,Mar,9967,9550,417,4.2
2020,Apr,8653,8029,624,7.2
