Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482890000000003,LAUCN482890000000004,LAUCN482890000000005,LAUCN482890000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Leon County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,6982,6282,700,10.0
2010,Feb,7018,6364,654,9.3
2010,Mar,7248,6594,654,9.0
2010,Apr,7362,6728,634,8.6
2010,May,7357,6732,625,8.5
2010,Jun,7473,6808,665,8.9
2010,Jul,7335,6683,652,8.9
2010,Aug,7311,6654,657,9.0
2010,Sep,7329,6719,610,8.3
2010,Oct,7303,6698,605,8.3
2010,Nov,7215,6571,644,8.9
2010,Dec,7223,6605,618,8.6
2011,Jan,7134,6491,643,9.0
2011,Feb,7073,6451,622,8.8
2011,Mar,7178,6556,622,8.7
2011,Apr,7103,6509,594,8.4
2011,May,7231,6629,602,8.3
2011,Jun,7391,6716,675,9.1
2011,Jul,7366,6684,682,9.3
2011,Aug,7232,6571,661,9.1
2011,Sep,7243,6600,643,8.9
2011,Oct,7033,6442,591,8.4
2011,Nov,6963,6400,563,8.1
2011,Dec,6948,6399,549,7.9
2012,Jan,6886,6304,582,8.5
2012,Feb,6822,6280,542,7.9
2012,Mar,6846,6325,521,7.6
2012,Apr,6870,6393,477,6.9
2012,May,6894,6406,488,7.1
2012,Jun,7063,6506,557,7.9
2012,Jul,7025,6476,549,7.8
2012,Aug,6909,6388,521,7.5
2012,Sep,7000,6512,488,7.0
2012,Oct,7046,6574,472,6.7
2012,Nov,7064,6596,468,6.6
2012,Dec,7034,6546,488,6.9
2013,Jan,6867,6319,548,8.0
2013,Feb,6802,6293,509,7.5
2013,Mar,6771,6287,484,7.1
2013,Apr,6952,6504,448,6.4
2013,May,7011,6523,488,7.0
2013,Jun,7106,6572,534,7.5
2013,Jul,6906,6384,522,7.6
2013,Aug,6909,6418,491,7.1
2013,Sep,7042,6570,472,6.7
2013,Oct,6970,6528,442,6.3
2013,Nov,7075,6647,428,6.0
2013,Dec,7168,6767,401,5.6
2014,Jan,7100,6694,406,5.7
2014,Feb,7065,6650,415,5.9
2014,Mar,7141,6749,392,5.5
2014,Apr,7147,6799,348,4.9
2014,May,7210,6824,386,5.4
2014,Jun,7271,6865,406,5.6
2014,Jul,7282,6853,429,5.9
2014,Aug,7389,6973,416,5.6
2014,Sep,7413,7020,393,5.3
2014,Oct,7371,7018,353,4.8
2014,Nov,7174,6834,340,4.7
2014,Dec,7175,6855,320,4.5
2015,Jan,7283,6924,359,4.9
2015,Feb,7220,6883,337,4.7
2015,Mar,7201,6861,340,4.7
2015,Apr,7079,6728,351,5.0
2015,May,7048,6677,371,5.3
2015,Jun,6955,6558,397,5.7
2015,Jul,6870,6475,395,5.7
2015,Aug,6756,6373,383,5.7
2015,Sep,6799,6429,370,5.4
2015,Oct,6731,6371,360,5.3
2015,Nov,6658,6278,380,5.7
2015,Dec,6600,6216,384,5.8
2016,Jan,6445,6042,403,6.3
2016,Feb,6628,6210,418,6.3
2016,Mar,6662,6247,415,6.2
2016,Apr,6630,6240,390,5.9
2016,May,6691,6295,396,5.9
2016,Jun,6615,6161,454,6.9
2016,Jul,6473,6019,454,7.0
2016,Aug,6496,6047,449,6.9
2016,Sep,6385,5937,448,7.0
2016,Oct,6386,5961,425,6.7
2016,Nov,6351,5959,392,6.2
2016,Dec,6332,5928,404,6.4
2017,Jan,6373,5892,481,7.5
2017,Feb,6378,5909,469,7.4
2017,Mar,6379,5964,415,6.5
2017,Apr,6221,5832,389,6.3
2017,May,6113,5739,374,6.1
2017,Jun,6158,5759,399,6.5
2017,Jul,5989,5596,393,6.6
2017,Aug,6067,5657,410,6.8
2017,Sep,6066,5713,353,5.8
2017,Oct,6194,5865,329,5.3
2017,Nov,6125,5786,339,5.5
2017,Dec,6199,5855,344,5.5
2018,Jan,6079,5721,358,5.9
2018,Feb,6106,5751,355,5.8
2018,Mar,6179,5830,349,5.6
2018,Apr,6115,5804,311,5.1
2018,May,6126,5839,287,4.7
2018,Jun,6164,5834,330,5.4
2018,Jul,6119,5817,302,4.9
2018,Aug,6169,5879,290,4.7
2018,Sep,6144,5877,267,4.3
2018,Oct,6112,5855,257,4.2
2018,Nov,6089,5821,268,4.4
2018,Dec,6131,5853,278,4.5
2019,Jan,6256,5942,314,5.0
2019,Feb,6271,5992,279,4.4
2019,Mar,6301,6038,263,4.2
2019,Apr,6239,6026,213,3.4
2019,May,6229,5984,245,3.9
2019,Jun,6339,6047,292,4.6
2019,Jul,6379,6074,305,4.8
2019,Aug,6415,6114,301,4.7
2019,Sep,6390,6100,290,4.5
2019,Oct,6400,6122,278,4.3
2019,Nov,6325,6058,267,4.2
2019,Dec,6350,6089,261,4.1
2020,Jan,6320,6007,313,5.0
2020,Feb,6352,6055,297,4.7
2020,Mar,6322,5907,415,6.6
2020,Apr,5534,4959,575,10.4
