Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482910000000003,LAUCN482910000000004,LAUCN482910000000005,LAUCN482910000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Liberty County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,30068,26407,3661,12.2
2010,Feb,30154,26559,3595,11.9
2010,Mar,30301,26713,3588,11.8
2010,Apr,30589,27134,3455,11.3
2010,May,30596,27054,3542,11.6
2010,Jun,30674,27020,3654,11.9
2010,Jul,30844,27173,3671,11.9
2010,Aug,30773,27165,3608,11.7
2010,Sep,30848,27295,3553,11.5
2010,Oct,30684,27277,3407,11.1
2010,Nov,30913,27302,3611,11.7
2010,Dec,30915,27378,3537,11.4
2011,Jan,30499,26823,3676,12.1
2011,Feb,30501,26951,3550,11.6
2011,Mar,30563,27141,3422,11.2
2011,Apr,30522,27271,3251,10.7
2011,May,30615,27261,3354,11.0
2011,Jun,30942,27270,3672,11.9
2011,Jul,30929,27343,3586,11.6
2011,Aug,30874,27381,3493,11.3
2011,Sep,30995,27594,3401,11.0
2011,Oct,30911,27689,3222,10.4
2011,Nov,30989,27817,3172,10.2
2011,Dec,31072,27918,3154,10.2
2012,Jan,30469,27280,3189,10.5
2012,Feb,30533,27458,3075,10.1
2012,Mar,30599,27644,2955,9.7
2012,Apr,30552,27742,2810,9.2
2012,May,30793,27837,2956,9.6
2012,Jun,31147,27878,3269,10.5
2012,Jul,31157,27969,3188,10.2
2012,Aug,30905,27883,3022,9.8
2012,Sep,31062,28242,2820,9.1
2012,Oct,31118,28386,2732,8.8
2012,Nov,31033,28370,2663,8.6
2012,Dec,31205,28397,2808,9.0
2013,Jan,30842,27755,3087,10.0
2013,Feb,30825,27964,2861,9.3
2013,Mar,30735,28021,2714,8.8
2013,Apr,30828,28232,2596,8.4
2013,May,31071,28304,2767,8.9
2013,Jun,31252,28266,2986,9.6
2013,Jul,31310,28390,2920,9.3
2013,Aug,31079,28254,2825,9.1
2013,Sep,31153,28423,2730,8.8
2013,Oct,31027,28352,2675,8.6
2013,Nov,31105,28553,2552,8.2
2013,Dec,31098,28667,2431,7.8
2014,Jan,30875,28299,2576,8.3
2014,Feb,31001,28511,2490,8.0
2014,Mar,31079,28654,2425,7.8
2014,Apr,30854,28770,2084,6.8
2014,May,30977,28790,2187,7.1
2014,Jun,31121,28761,2360,7.6
2014,Jul,31275,28844,2431,7.8
2014,Aug,31063,28733,2330,7.5
2014,Sep,31016,28919,2097,6.8
2014,Oct,31028,29098,1930,6.2
2014,Nov,31011,29095,1916,6.2
2014,Dec,30917,29073,1844,6.0
2015,Jan,30884,28768,2116,6.9
2015,Feb,30931,28897,2034,6.6
2015,Mar,30953,28908,2045,6.6
2015,Apr,30888,28962,1926,6.2
2015,May,31001,28929,2072,6.7
2015,Jun,31042,28799,2243,7.2
2015,Jul,31090,28768,2322,7.5
2015,Aug,30933,28651,2282,7.4
2015,Sep,30836,28678,2158,7.0
2015,Oct,30909,28786,2123,6.9
2015,Nov,30971,28803,2168,7.0
2015,Dec,30976,28866,2110,6.8
2016,Jan,31228,29016,2212,7.1
2016,Feb,31426,29268,2158,6.9
2016,Mar,31550,29302,2248,7.1
2016,Apr,31479,29292,2187,6.9
2016,May,31389,29249,2140,6.8
2016,Jun,31700,29130,2570,8.1
2016,Jul,31776,29130,2646,8.3
2016,Aug,31642,29007,2635,8.3
2016,Sep,31641,29076,2565,8.1
2016,Oct,31441,29123,2318,7.4
2016,Nov,31479,29169,2310,7.3
2016,Dec,31550,29112,2438,7.7
2017,Jan,31919,29198,2721,8.5
2017,Feb,32059,29484,2575,8.0
2017,Mar,32102,29693,2409,7.5
2017,Apr,32027,29781,2246,7.0
2017,May,31878,29717,2161,6.8
2017,Jun,32028,29699,2329,7.3
2017,Jul,31996,29707,2289,7.2
2017,Aug,31989,29602,2387,7.5
2017,Sep,32031,29784,2247,7.0
2017,Oct,31767,29846,1921,6.0
2017,Nov,31951,29952,1999,6.3
2017,Dec,32006,29963,2043,6.4
2018,Jan,32531,30286,2245,6.9
2018,Feb,32907,30742,2165,6.6
2018,Mar,32809,30819,1990,6.1
2018,Apr,32658,30821,1837,5.6
2018,May,32619,30843,1776,5.4
2018,Jun,32829,30784,2045,6.2
2018,Jul,32871,30856,2015,6.1
2018,Aug,32525,30634,1891,5.8
2018,Sep,32628,30864,1764,5.4
2018,Oct,32636,31048,1588,4.9
2018,Nov,32757,31139,1618,4.9
2018,Dec,32859,31132,1727,5.3
2019,Jan,32940,31006,1934,5.9
2019,Feb,33063,31358,1705,5.2
2019,Mar,32958,31362,1596,4.8
2019,Apr,32676,31318,1358,4.2
2019,May,32747,31323,1424,4.3
2019,Jun,33081,31302,1779,5.4
2019,Jul,33217,31374,1843,5.5
2019,Aug,33067,31301,1766,5.3
2019,Sep,33174,31565,1609,4.9
2019,Oct,33286,31715,1571,4.7
2019,Nov,33452,31787,1665,5.0
2019,Dec,33552,31774,1778,5.3
2020,Jan,33604,31605,1999,5.9
2020,Feb,33852,32002,1850,5.5
2020,Mar,33566,30924,2642,7.9
2020,Apr,30911,26171,4740,15.3
