Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482930000000003,LAUCN482930000000004,LAUCN482930000000005,LAUCN482930000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Limestone County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,9752,8929,823,8.4
2010,Feb,9717,8963,754,7.8
2010,Mar,9908,9139,769,7.8
2010,Apr,10065,9308,757,7.5
2010,May,10048,9288,760,7.6
2010,Jun,10167,9335,832,8.2
2010,Jul,10159,9338,821,8.1
2010,Aug,9964,9151,813,8.2
2010,Sep,9953,9159,794,8.0
2010,Oct,9866,9115,751,7.6
2010,Nov,9862,9087,775,7.9
2010,Dec,9793,9048,745,7.6
2011,Jan,9605,8785,820,8.5
2011,Feb,9578,8780,798,8.3
2011,Mar,9601,8808,793,8.3
2011,Apr,9633,8859,774,8.0
2011,May,9650,8857,793,8.2
2011,Jun,9771,8902,869,8.9
2011,Jul,9598,8724,874,9.1
2011,Aug,9503,8663,840,8.8
2011,Sep,9513,8695,818,8.6
2011,Oct,9528,8777,751,7.9
2011,Nov,9476,8770,706,7.5
2011,Dec,9451,8773,678,7.2
2012,Jan,9655,8930,725,7.5
2012,Feb,9560,8854,706,7.4
2012,Mar,9564,8896,668,7.0
2012,Apr,9506,8885,621,6.5
2012,May,9595,8939,656,6.8
2012,Jun,9716,8985,731,7.5
2012,Jul,9669,8934,735,7.6
2012,Aug,9614,8943,671,7.0
2012,Sep,9631,9011,620,6.4
2012,Oct,9592,8983,609,6.3
2012,Nov,9605,9015,590,6.1
2012,Dec,9557,8961,596,6.2
2013,Jan,9500,8839,661,7.0
2013,Feb,9462,8854,608,6.4
2013,Mar,9401,8831,570,6.1
2013,Apr,9356,8809,547,5.8
2013,May,9503,8895,608,6.4
2013,Jun,9551,8878,673,7.0
2013,Jul,9579,8911,668,7.0
2013,Aug,9578,8850,728,7.6
2013,Sep,9554,8854,700,7.3
2013,Oct,9451,8761,690,7.3
2013,Nov,9433,8806,627,6.6
2013,Dec,9432,8847,585,6.2
2014,Jan,9301,8665,636,6.8
2014,Feb,9297,8688,609,6.6
2014,Mar,9303,8715,588,6.3
2014,Apr,9249,8756,493,5.3
2014,May,9309,8757,552,5.9
2014,Jun,9332,8755,577,6.2
2014,Jul,9284,8687,597,6.4
2014,Aug,9159,8603,556,6.1
2014,Sep,9149,8643,506,5.5
2014,Oct,9106,8639,467,5.1
2014,Nov,9083,8626,457,5.0
2014,Dec,8981,8570,411,4.6
2015,Jan,8907,8454,453,5.1
2015,Feb,8818,8392,426,4.8
2015,Mar,8673,8264,409,4.7
2015,Apr,8643,8250,393,4.5
2015,May,8648,8226,422,4.9
2015,Jun,8640,8188,452,5.2
2015,Jul,8556,8112,444,5.2
2015,Aug,8421,8005,416,4.9
2015,Sep,8442,8020,422,5.0
2015,Oct,8459,8026,433,5.1
2015,Nov,8394,7945,449,5.3
2015,Dec,8362,7930,432,5.2
2016,Jan,8250,7787,463,5.6
2016,Feb,8333,7877,456,5.5
2016,Mar,8397,7933,464,5.5
2016,Apr,8359,7927,432,5.2
2016,May,8413,7967,446,5.3
2016,Jun,8415,7911,504,6.0
2016,Jul,8335,7819,516,6.2
2016,Aug,8302,7813,489,5.9
2016,Sep,8285,7794,491,5.9
2016,Oct,8261,7804,457,5.5
2016,Nov,8272,7838,434,5.2
2016,Dec,8243,7810,433,5.3
2017,Jan,8301,7781,520,6.3
2017,Feb,8381,7860,521,6.2
2017,Mar,8425,7929,496,5.9
2017,Apr,8387,7943,444,5.3
2017,May,8345,7911,434,5.2
2017,Jun,8418,7943,475,5.6
2017,Jul,8262,7773,489,5.9
2017,Aug,8282,7796,486,5.9
2017,Sep,8293,7848,445,5.4
2017,Oct,8227,7821,406,4.9
2017,Nov,8248,7820,428,5.2
2017,Dec,8214,7805,409,5.0
2018,Jan,8461,8021,440,5.2
2018,Feb,8532,8110,422,4.9
2018,Mar,8519,8099,420,4.9
2018,Apr,8399,8028,371,4.4
2018,May,8463,8105,358,4.2
2018,Jun,8565,8147,418,4.9
2018,Jul,8377,7965,412,4.9
2018,Aug,8326,7942,384,4.6
2018,Sep,8275,7910,365,4.4
2018,Oct,8325,7977,348,4.2
2018,Nov,8299,7946,353,4.3
2018,Dec,8336,7981,355,4.3
2019,Jan,8555,8157,398,4.7
2019,Feb,8615,8260,355,4.1
2019,Mar,8632,8301,331,3.8
2019,Apr,8480,8197,283,3.3
2019,May,8498,8208,290,3.4
2019,Jun,8608,8255,353,4.1
2019,Jul,8588,8232,356,4.1
2019,Aug,8638,8290,348,4.0
2019,Sep,8616,8299,317,3.7
2019,Oct,8649,8331,318,3.7
2019,Nov,8622,8292,330,3.8
2019,Dec,8617,8298,319,3.7
2020,Jan,8668,8304,364,4.2
2020,Feb,8726,8372,354,4.1
2020,Mar,8629,8143,486,5.6
2020,Apr,7523,6845,678,9.0
