Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482950000000003,LAUCN482950000000004,LAUCN482950000000005,LAUCN482950000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Lipscomb County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1637,1517,120,7.3
2010,Feb,1624,1515,109,6.7
2010,Mar,1668,1563,105,6.3
2010,Apr,1647,1547,100,6.1
2010,May,1651,1554,97,5.9
2010,Jun,1723,1616,107,6.2
2010,Jul,1669,1568,101,6.1
2010,Aug,1640,1548,92,5.6
2010,Sep,1691,1600,91,5.4
2010,Oct,1672,1586,86,5.1
2010,Nov,1653,1569,84,5.1
2010,Dec,1705,1626,79,4.6
2011,Jan,1707,1621,86,5.0
2011,Feb,1679,1600,79,4.7
2011,Mar,1728,1651,77,4.5
2011,Apr,1690,1618,72,4.3
2011,May,1697,1623,74,4.4
2011,Jun,1790,1703,87,4.9
2011,Jul,1754,1667,87,5.0
2011,Aug,1768,1684,84,4.8
2011,Sep,1794,1708,86,4.8
2011,Oct,1757,1677,80,4.6
2011,Nov,1763,1687,76,4.3
2011,Dec,1791,1721,70,3.9
2012,Jan,1728,1653,75,4.3
2012,Feb,1723,1655,68,3.9
2012,Mar,1757,1692,65,3.7
2012,Apr,1745,1683,62,3.6
2012,May,1765,1697,68,3.9
2012,Jun,1838,1762,76,4.1
2012,Jul,1775,1696,79,4.5
2012,Aug,1737,1667,70,4.0
2012,Sep,1795,1732,63,3.5
2012,Oct,1739,1676,63,3.6
2012,Nov,1739,1680,59,3.4
2012,Dec,1749,1685,64,3.7
2013,Jan,1708,1636,72,4.2
2013,Feb,1713,1647,66,3.9
2013,Mar,1713,1650,63,3.7
2013,Apr,1715,1652,63,3.7
2013,May,1729,1660,69,4.0
2013,Jun,1787,1707,80,4.5
2013,Jul,1742,1667,75,4.3
2013,Aug,1707,1637,70,4.1
2013,Sep,1730,1661,69,4.0
2013,Oct,1715,1647,68,4.0
2013,Nov,1682,1620,62,3.7
2013,Dec,1711,1654,57,3.3
2014,Jan,1709,1650,59,3.5
2014,Feb,1728,1667,61,3.5
2014,Mar,1753,1694,59,3.4
2014,Apr,1756,1706,50,2.8
2014,May,1770,1714,56,3.2
2014,Jun,1787,1727,60,3.4
2014,Jul,1748,1684,64,3.7
2014,Aug,1729,1665,64,3.7
2014,Sep,1753,1689,64,3.7
2014,Oct,1763,1705,58,3.3
2014,Nov,1761,1702,59,3.4
2014,Dec,1750,1698,52,3.0
2015,Jan,1747,1690,57,3.3
2015,Feb,1760,1697,63,3.6
2015,Mar,1789,1724,65,3.6
2015,Apr,1759,1693,66,3.8
2015,May,1765,1694,71,4.0
2015,Jun,1786,1711,75,4.2
2015,Jul,1719,1649,70,4.1
2015,Aug,1700,1631,69,4.1
2015,Sep,1675,1608,67,4.0
2015,Oct,1678,1612,66,3.9
2015,Nov,1648,1581,67,4.1
2015,Dec,1660,1594,66,4.0
2016,Jan,1626,1560,66,4.1
2016,Feb,1661,1595,66,4.0
2016,Mar,1688,1615,73,4.3
2016,Apr,1708,1632,76,4.4
2016,May,1704,1626,78,4.6
2016,Jun,1688,1604,84,5.0
2016,Jul,1656,1574,82,5.0
2016,Aug,1641,1563,78,4.8
2016,Sep,1610,1537,73,4.5
2016,Oct,1619,1550,69,4.3
2016,Nov,1605,1540,65,4.0
2016,Dec,1602,1539,63,3.9
2017,Jan,1610,1544,66,4.1
2017,Feb,1617,1552,65,4.0
2017,Mar,1648,1591,57,3.5
2017,Apr,1644,1592,52,3.2
2017,May,1634,1585,49,3.0
2017,Jun,1645,1593,52,3.2
2017,Jul,1626,1573,53,3.3
2017,Aug,1614,1566,48,3.0
2017,Sep,1597,1550,47,2.9
2017,Oct,1639,1595,44,2.7
2017,Nov,1608,1563,45,2.8
2017,Dec,1616,1573,43,2.7
2018,Jan,1647,1598,49,3.0
2018,Feb,1644,1599,45,2.7
2018,Mar,1679,1631,48,2.9
2018,Apr,1666,1623,43,2.6
2018,May,1659,1619,40,2.4
2018,Jun,1678,1628,50,3.0
2018,Jul,1672,1622,50,3.0
2018,Aug,1648,1602,46,2.8
2018,Sep,1624,1582,42,2.6
2018,Oct,1649,1608,41,2.5
2018,Nov,1628,1590,38,2.3
2018,Dec,1629,1586,43,2.6
2019,Jan,1683,1636,47,2.8
2019,Feb,1682,1634,48,2.9
2019,Mar,1660,1613,47,2.8
2019,Apr,1700,1664,36,2.1
2019,May,1678,1640,38,2.3
2019,Jun,1656,1607,49,3.0
2019,Jul,1613,1562,51,3.2
2019,Aug,1623,1576,47,2.9
2019,Sep,1625,1585,40,2.5
2019,Oct,1636,1595,41,2.5
2019,Nov,1606,1567,39,2.4
2019,Dec,1634,1599,35,2.1
2020,Jan,1645,1598,47,2.9
2020,Feb,1644,1600,44,2.7
2020,Mar,1634,1575,59,3.6
2020,Apr,1353,1281,72,5.3
