Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482970000000003,LAUCN482970000000004,LAUCN482970000000005,LAUCN482970000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Live Oak County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,4462,4088,374,8.4
2010,Feb,4439,4081,358,8.1
2010,Mar,4544,4183,361,7.9
2010,Apr,4538,4196,342,7.5
2010,May,4544,4213,331,7.3
2010,Jun,4624,4262,362,7.8
2010,Jul,4672,4313,359,7.7
2010,Aug,4688,4355,333,7.1
2010,Sep,4745,4432,313,6.6
2010,Oct,4717,4404,313,6.6
2010,Nov,4771,4445,326,6.8
2010,Dec,4828,4533,295,6.1
2011,Jan,5007,4685,322,6.4
2011,Feb,4931,4635,296,6.0
2011,Mar,4968,4669,299,6.0
2011,Apr,4982,4685,297,6.0
2011,May,5077,4756,321,6.3
2011,Jun,5343,4987,356,6.7
2011,Jul,5320,4971,349,6.6
2011,Aug,5380,5049,331,6.2
2011,Sep,5477,5156,321,5.9
2011,Oct,5446,5152,294,5.4
2011,Nov,5422,5144,278,5.1
2011,Dec,5460,5188,272,5.0
2012,Jan,5587,5313,274,4.9
2012,Feb,5512,5243,269,4.9
2012,Mar,5457,5195,262,4.8
2012,Apr,5469,5223,246,4.5
2012,May,5647,5388,259,4.6
2012,Jun,5906,5615,291,4.9
2012,Jul,5911,5617,294,5.0
2012,Aug,5851,5584,267,4.6
2012,Sep,5931,5679,252,4.2
2012,Oct,6008,5763,245,4.1
2012,Nov,5955,5710,245,4.1
2012,Dec,5984,5731,253,4.2
2013,Jan,5888,5597,291,4.9
2013,Feb,5934,5664,270,4.6
2013,Mar,5966,5706,260,4.4
2013,Apr,5939,5697,242,4.1
2013,May,6030,5763,267,4.4
2013,Jun,6124,5827,297,4.8
2013,Jul,6115,5826,289,4.7
2013,Aug,6068,5808,260,4.3
2013,Sep,6086,5823,263,4.3
2013,Oct,6064,5816,248,4.1
2013,Nov,6059,5822,237,3.9
2013,Dec,6109,5881,228,3.7
2014,Jan,6041,5802,239,4.0
2014,Feb,6068,5837,231,3.8
2014,Mar,6136,5906,230,3.7
2014,Apr,6173,5978,195,3.2
2014,May,6204,5989,215,3.5
2014,Jun,6270,6041,229,3.7
2014,Jul,6294,6049,245,3.9
2014,Aug,6235,5998,237,3.8
2014,Sep,6260,6049,211,3.4
2014,Oct,6005,5807,198,3.3
2014,Nov,5988,5788,200,3.3
2014,Dec,5795,5606,189,3.3
2015,Jan,5955,5739,216,3.6
2015,Feb,5980,5764,216,3.6
2015,Mar,5959,5737,222,3.7
2015,Apr,5873,5663,210,3.6
2015,May,5869,5627,242,4.1
2015,Jun,5886,5630,256,4.3
2015,Jul,5919,5659,260,4.4
2015,Aug,5866,5625,241,4.1
2015,Sep,5886,5640,246,4.2
2015,Oct,5876,5636,240,4.1
2015,Nov,5824,5585,239,4.1
2015,Dec,5789,5550,239,4.1
2016,Jan,5370,5101,269,5.0
2016,Feb,5284,5000,284,5.4
2016,Mar,5279,4977,302,5.7
2016,Apr,5273,4960,313,5.9
2016,May,5235,4941,294,5.6
2016,Jun,5206,4871,335,6.4
2016,Jul,5190,4847,343,6.6
2016,Aug,5207,4866,341,6.5
2016,Sep,5151,4822,329,6.4
2016,Oct,5107,4800,307,6.0
2016,Nov,5055,4762,293,5.8
2016,Dec,5058,4773,285,5.6
2017,Jan,5186,4876,310,6.0
2017,Feb,5267,4974,293,5.6
2017,Mar,5295,5034,261,4.9
2017,Apr,5325,5086,239,4.5
2017,May,5390,5145,245,4.5
2017,Jun,5524,5265,259,4.7
2017,Jul,5490,5241,249,4.5
2017,Aug,5460,5201,259,4.7
2017,Sep,5501,5266,235,4.3
2017,Oct,5549,5322,227,4.1
2017,Nov,5566,5334,232,4.2
2017,Dec,5455,5234,221,4.1
2018,Jan,5203,4961,242,4.7
2018,Feb,5278,5061,217,4.1
2018,Mar,5282,5078,204,3.9
2018,Apr,5123,4942,181,3.5
2018,May,5133,4948,185,3.6
2018,Jun,5112,4898,214,4.2
2018,Jul,5095,4890,205,4.0
2018,Aug,5116,4925,191,3.7
2018,Sep,5107,4925,182,3.6
2018,Oct,5229,5059,170,3.3
2018,Nov,5281,5109,172,3.3
2018,Dec,5221,5052,169,3.2
2019,Jan,5397,5202,195,3.6
2019,Feb,5377,5198,179,3.3
2019,Mar,5531,5359,172,3.1
2019,Apr,5433,5285,148,2.7
2019,May,5471,5316,155,2.8
2019,Jun,5566,5379,187,3.4
2019,Jul,5698,5508,190,3.3
2019,Aug,5687,5509,178,3.1
2019,Sep,5656,5489,167,3.0
2019,Oct,5670,5508,162,2.9
2019,Nov,5650,5479,171,3.0
2019,Dec,5625,5466,159,2.8
2020,Jan,5699,5504,195,3.4
2020,Feb,5705,5519,186,3.3
2020,Mar,5643,5380,263,4.7
2020,Apr,4938,4481,457,9.3
