Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN482990000000003,LAUCN482990000000004,LAUCN482990000000005,LAUCN482990000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Llano County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,7860,7147,713,9.1
2010,Feb,7791,7107,684,8.8
2010,Mar,7941,7275,666,8.4
2010,Apr,8089,7435,654,8.1
2010,May,7985,7372,613,7.7
2010,Jun,8195,7556,639,7.8
2010,Jul,8165,7510,655,8.0
2010,Aug,8086,7459,627,7.8
2010,Sep,7988,7372,616,7.7
2010,Oct,7948,7327,621,7.8
2010,Nov,7946,7308,638,8.0
2010,Dec,7933,7331,602,7.6
2011,Jan,7917,7270,647,8.2
2011,Feb,7920,7305,615,7.8
2011,Mar,8102,7489,613,7.6
2011,Apr,8051,7450,601,7.5
2011,May,8060,7451,609,7.6
2011,Jun,8194,7526,668,8.2
2011,Jul,8218,7549,669,8.1
2011,Aug,8080,7426,654,8.1
2011,Sep,8054,7400,654,8.1
2011,Oct,7890,7292,598,7.6
2011,Nov,7860,7295,565,7.2
2011,Dec,7830,7279,551,7.0
2012,Jan,7892,7298,594,7.5
2012,Feb,7873,7308,565,7.2
2012,Mar,7997,7438,559,7.0
2012,Apr,8004,7482,522,6.5
2012,May,8115,7560,555,6.8
2012,Jun,8355,7767,588,7.0
2012,Jul,8289,7697,592,7.1
2012,Aug,8182,7630,552,6.7
2012,Sep,8136,7608,528,6.5
2012,Oct,8043,7538,505,6.3
2012,Nov,7998,7502,496,6.2
2012,Dec,7920,7402,518,6.5
2013,Jan,7978,7385,593,7.4
2013,Feb,7922,7381,541,6.8
2013,Mar,8077,7552,525,6.5
2013,Apr,8165,7657,508,6.2
2013,May,8239,7703,536,6.5
2013,Jun,8371,7799,572,6.8
2013,Jul,8318,7748,570,6.9
2013,Aug,8225,7711,514,6.2
2013,Sep,8090,7572,518,6.4
2013,Oct,7985,7495,490,6.1
2013,Nov,7989,7529,460,5.8
2013,Dec,7951,7521,430,5.4
2014,Jan,7973,7511,462,5.8
2014,Feb,8022,7568,454,5.7
2014,Mar,8143,7691,452,5.6
2014,Apr,8107,7726,381,4.7
2014,May,8217,7794,423,5.1
2014,Jun,8282,7850,432,5.2
2014,Jul,8257,7795,462,5.6
2014,Aug,8151,7702,449,5.5
2014,Sep,8066,7647,419,5.2
2014,Oct,8074,7694,380,4.7
2014,Nov,8015,7649,366,4.6
2014,Dec,7871,7532,339,4.3
2015,Jan,7985,7607,378,4.7
2015,Feb,7945,7586,359,4.5
2015,Mar,8090,7745,345,4.3
2015,Apr,8191,7867,324,4.0
2015,May,8273,7926,347,4.2
2015,Jun,8369,8017,352,4.2
2015,Jul,8367,8002,365,4.4
2015,Aug,8197,7868,329,4.0
2015,Sep,8135,7791,344,4.2
2015,Oct,8106,7767,339,4.2
2015,Nov,8103,7761,342,4.2
2015,Dec,8040,7719,321,4.0
2016,Jan,7982,7637,345,4.3
2016,Feb,8062,7724,338,4.2
2016,Mar,8225,7880,345,4.2
2016,Apr,8290,7972,318,3.8
2016,May,8382,8062,320,3.8
2016,Jun,8543,8180,363,4.2
2016,Jul,8557,8172,385,4.5
2016,Aug,8418,8057,361,4.3
2016,Sep,8264,7901,363,4.4
2016,Oct,8297,7947,350,4.2
2016,Nov,8241,7913,328,4.0
2016,Dec,8210,7888,322,3.9
2017,Jan,8249,7884,365,4.4
2017,Feb,8263,7898,365,4.4
2017,Mar,8342,8007,335,4.0
2017,Apr,8361,8078,283,3.4
2017,May,8423,8125,298,3.5
2017,Jun,8543,8229,314,3.7
2017,Jul,8520,8178,342,4.0
2017,Aug,8471,8146,325,3.8
2017,Sep,8350,8042,308,3.7
2017,Oct,8322,8037,285,3.4
2017,Nov,8249,7945,304,3.7
2017,Dec,8301,8005,296,3.6
2018,Jan,8306,7983,323,3.9
2018,Feb,8372,8042,330,3.9
2018,Mar,8510,8179,331,3.9
2018,Apr,8535,8242,293,3.4
2018,May,8670,8377,293,3.4
2018,Jun,8733,8398,335,3.8
2018,Jul,8739,8416,323,3.7
2018,Aug,8614,8295,319,3.7
2018,Sep,8519,8206,313,3.7
2018,Oct,8440,8147,293,3.5
2018,Nov,8433,8135,298,3.5
2018,Dec,8353,8042,311,3.7
2019,Jan,8426,8075,351,4.2
2019,Feb,8489,8168,321,3.8
2019,Mar,8550,8239,311,3.6
2019,Apr,8501,8245,256,3.0
2019,May,8624,8357,267,3.1
2019,Jun,8764,8457,307,3.5
2019,Jul,8936,8608,328,3.7
2019,Aug,8951,8623,328,3.7
2019,Sep,8796,8503,293,3.3
2019,Oct,8731,8456,275,3.1
2019,Nov,8700,8424,276,3.2
2019,Dec,8678,8399,279,3.2
2020,Jan,8685,8375,310,3.6
2020,Feb,8742,8442,300,3.4
2020,Mar,8721,8285,436,5.0
2020,Apr,7593,6881,712,9.4
