Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483010000000003,LAUCN483010000000004,LAUCN483010000000005,LAUCN483010000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Loving County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,78,74,4,5.1
2010,Feb,61,57,4,6.6
2010,Mar,71,67,4,5.6
2010,Apr,80,76,4,5.0
2010,May,82,78,4,4.9
2010,Jun,79,75,4,5.1
2010,Jul,70,66,4,5.7
2010,Aug,67,63,4,6.0
2010,Sep,67,63,4,6.0
2010,Oct,65,61,4,6.2
2010,Nov,65,61,4,6.2
2010,Dec,62,58,4,6.5
2011,Jan,60,56,4,6.7
2011,Feb,64,60,4,6.3
2011,Mar,64,60,4,6.3
2011,Apr,66,62,4,6.1
2011,May,59,55,4,6.8
2011,Jun,61,57,4,6.6
2011,Jul,72,68,4,5.6
2011,Aug,64,60,4,6.3
2011,Sep,68,64,4,5.9
2011,Oct,66,62,4,6.1
2011,Nov,73,69,4,5.5
2011,Dec,77,73,4,5.2
2012,Jan,69,65,4,5.8
2012,Feb,73,69,4,5.5
2012,Mar,73,69,4,5.5
2012,Apr,61,56,5,8.2
2012,May,63,58,5,7.9
2012,Jun,64,59,5,7.8
2012,Jul,67,62,5,7.5
2012,Aug,65,61,4,6.2
2012,Sep,64,60,4,6.3
2012,Oct,71,67,4,5.6
2012,Nov,70,66,4,5.7
2012,Dec,72,68,4,5.6
2013,Jan,77,73,4,5.2
2013,Feb,77,73,4,5.2
2013,Mar,72,68,4,5.6
2013,Apr,83,79,4,4.8
2013,May,84,79,5,6.0
2013,Jun,83,78,5,6.0
2013,Jul,74,69,5,6.8
2013,Aug,71,66,5,7.0
2013,Sep,75,70,5,6.7
2013,Oct,74,70,4,5.4
2013,Nov,67,63,4,6.0
2013,Dec,72,68,4,5.6
2014,Jan,69,65,4,5.8
2014,Feb,70,66,4,5.7
2014,Mar,70,66,4,5.7
2014,Apr,78,74,4,5.1
2014,May,80,77,3,3.8
2014,Jun,83,79,4,4.8
2014,Jul,80,76,4,5.0
2014,Aug,81,77,4,4.9
2014,Sep,81,77,4,4.9
2014,Oct,85,81,4,4.7
2014,Nov,78,74,4,5.1
2014,Dec,86,82,4,4.7
2015,Jan,80,76,4,5.0
2015,Feb,76,72,4,5.3
2015,Mar,72,68,4,5.6
2015,Apr,81,78,3,3.7
2015,May,77,74,3,3.9
2015,Jun,73,70,3,4.1
2015,Jul,72,68,4,5.6
2015,Aug,72,68,4,5.6
2015,Sep,76,72,4,5.3
2015,Oct,80,76,4,5.0
2015,Nov,84,80,4,4.8
2015,Dec,82,78,4,4.9
2016,Jan,90,86,4,4.4
2016,Feb,90,86,4,4.4
2016,Mar,94,90,4,4.3
2016,Apr,82,78,4,4.9
2016,May,84,80,4,4.8
2016,Jun,84,80,4,4.8
2016,Jul,79,75,4,5.1
2016,Aug,78,74,4,5.1
2016,Sep,76,72,4,5.3
2016,Oct,89,84,5,5.6
2016,Nov,96,91,5,5.2
2016,Dec,96,91,5,5.2
2017,Jan,114,108,6,5.3
2017,Feb,115,109,6,5.2
2017,Mar,111,105,6,5.4
2017,Apr,102,96,6,5.9
2017,May,105,100,5,4.8
2017,Jun,98,94,4,4.1
2017,Jul,95,91,4,4.2
2017,Aug,91,87,4,4.4
2017,Sep,90,86,4,4.4
2017,Oct,94,90,4,4.3
2017,Nov,92,88,4,4.3
2017,Dec,94,90,4,4.3
2018,Jan,224,220,4,1.8
2018,Feb,265,261,4,1.5
2018,Mar,299,295,4,1.3
2018,Apr,277,273,4,1.4
2018,May,280,276,4,1.4
2018,Jun,259,255,4,1.5
2018,Jul,263,259,4,1.5
2018,Aug,258,254,4,1.6
2018,Sep,251,247,4,1.6
2018,Oct,271,267,4,1.5
2018,Nov,257,253,4,1.6
2018,Dec,314,310,4,1.3
2019,Jan,316,311,5,1.6
2019,Feb,359,355,4,1.1
2019,Mar,404,400,4,1.0
2019,Apr,502,498,4,0.8
2019,May,560,556,4,0.7
2019,Jun,584,580,4,0.7
2019,Jul,590,586,4,0.7
2019,Aug,599,595,4,0.7
2019,Sep,615,611,4,0.7
2019,Oct,640,636,4,0.6
2019,Nov,654,650,4,0.6
2019,Dec,681,677,4,0.6
2020,Jan,663,659,4,0.6
2020,Feb,685,681,4,0.6
2020,Mar,711,705,6,0.8
2020,Apr,602,594,8,1.3
