Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483030000000003,LAUCN483030000000004,LAUCN483030000000005,LAUCN483030000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Lubbock County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,140692,131671,9021,6.4
2010,Feb,140784,131919,8865,6.3
2010,Mar,141291,132601,8690,6.2
2010,Apr,143424,134874,8550,6.0
2010,May,142671,134304,8367,5.9
2010,Jun,143701,133843,9858,6.9
2010,Jul,143806,133830,9976,6.9
2010,Aug,143589,134222,9367,6.5
2010,Sep,144102,135233,8869,6.2
2010,Oct,145047,136412,8635,6.0
2010,Nov,145629,136648,8981,6.2
2010,Dec,145331,136903,8428,5.8
2011,Jan,145520,136539,8981,6.2
2011,Feb,145157,136537,8620,5.9
2011,Mar,145751,137487,8264,5.7
2011,Apr,145415,137310,8105,5.6
2011,May,145354,137018,8336,5.7
2011,Jun,146222,136008,10214,7.0
2011,Jul,145757,135631,10126,6.9
2011,Aug,145625,136285,9340,6.4
2011,Sep,145850,136796,9054,6.2
2011,Oct,146352,137926,8426,5.8
2011,Nov,146776,138849,7927,5.4
2011,Dec,146051,138388,7663,5.2
2012,Jan,144340,136172,8168,5.7
2012,Feb,144732,136811,7921,5.5
2012,Mar,144816,136740,8076,5.6
2012,Apr,144914,137745,7169,4.9
2012,May,145463,137833,7630,5.2
2012,Jun,146367,137301,9066,6.2
2012,Jul,145992,136887,9105,6.2
2012,Aug,145263,137119,8144,5.6
2012,Sep,145872,138613,7259,5.0
2012,Oct,146731,139611,7120,4.9
2012,Nov,146834,139978,6856,4.7
2012,Dec,146215,139287,6928,4.7
2013,Jan,145756,137845,7911,5.4
2013,Feb,146184,138829,7355,5.0
2013,Mar,145940,138454,7486,5.1
2013,Apr,147197,140483,6714,4.6
2013,May,148179,140860,7319,4.9
2013,Jun,148197,139504,8693,5.9
2013,Jul,148694,140293,8401,5.6
2013,Aug,148052,140662,7390,5.0
2013,Sep,148378,141287,7091,4.8
2013,Oct,147234,140470,6764,4.6
2013,Nov,148273,141896,6377,4.3
2013,Dec,147302,141358,5944,4.0
2014,Jan,146814,140563,6251,4.3
2014,Feb,148304,141961,6343,4.3
2014,Mar,148263,142183,6080,4.1
2014,Apr,148031,142918,5113,3.5
2014,May,148559,142851,5708,3.8
2014,Jun,147953,141295,6658,4.5
2014,Jul,148667,141607,7060,4.7
2014,Aug,147787,141553,6234,4.2
2014,Sep,147621,142015,5606,3.8
2014,Oct,148442,143207,5235,3.5
2014,Nov,148276,143187,5089,3.4
2014,Dec,146952,142437,4515,3.1
2015,Jan,148258,142950,5308,3.6
2015,Feb,149252,144262,4990,3.3
2015,Mar,149404,144613,4791,3.2
2015,Apr,149090,144641,4449,3.0
2015,May,149457,144461,4996,3.3
2015,Jun,149112,143233,5879,3.9
2015,Jul,149636,143675,5961,4.0
2015,Aug,149399,144165,5234,3.5
2015,Sep,149600,144530,5070,3.4
2015,Oct,150129,145195,4934,3.3
2015,Nov,151111,146282,4829,3.2
2015,Dec,150817,146285,4532,3.0
2016,Jan,149764,144829,4935,3.3
2016,Feb,152278,147321,4957,3.3
2016,Mar,153091,148089,5002,3.3
2016,Apr,153431,148863,4568,3.0
2016,May,153756,149091,4665,3.0
2016,Jun,153841,147786,6055,3.9
2016,Jul,153543,147332,6211,4.0
2016,Aug,153750,148110,5640,3.7
2016,Sep,153731,148291,5440,3.5
2016,Oct,154603,149456,5147,3.3
2016,Nov,155537,150669,4868,3.1
2016,Dec,154718,149883,4835,3.1
2017,Jan,154132,148928,5204,3.4
2017,Feb,155759,150428,5331,3.4
2017,Mar,156060,150569,5491,3.5
2017,Apr,156208,151769,4439,2.8
2017,May,155844,151222,4622,3.0
2017,Jun,155458,149788,5670,3.6
2017,Jul,156206,150531,5675,3.6
2017,Aug,156306,150762,5544,3.5
2017,Sep,156689,152110,4579,2.9
2017,Oct,156265,152060,4205,2.7
2017,Nov,156974,152542,4432,2.8
2017,Dec,155999,151677,4322,2.8
2018,Jan,154973,150159,4814,3.1
2018,Feb,156837,151945,4892,3.1
2018,Mar,157036,151708,5328,3.4
2018,Apr,156792,152543,4249,2.7
2018,May,156825,152615,4210,2.7
2018,Jun,156693,151076,5617,3.6
2018,Jul,157034,151589,5445,3.5
2018,Aug,156063,151121,4942,3.2
2018,Sep,156351,151773,4578,2.9
2018,Oct,156320,151981,4339,2.8
2018,Nov,157068,152808,4260,2.7
2018,Dec,156411,152022,4389,2.8
2019,Jan,156900,152017,4883,3.1
2019,Feb,158005,153479,4526,2.9
2019,Mar,157893,153053,4840,3.1
2019,Apr,157842,154221,3621,2.3
2019,May,157583,153767,3816,2.4
2019,Jun,157835,152715,5120,3.2
2019,Jul,158287,152951,5336,3.4
2019,Aug,158118,153394,4724,3.0
2019,Sep,158475,154172,4303,2.7
2019,Oct,158917,154691,4226,2.7
2019,Nov,159358,155193,4165,2.6
2019,Dec,158392,154507,3885,2.5
2020,Jan,157875,153285,4590,2.9
2020,Feb,159088,154721,4367,2.7
2020,Mar,156202,150119,6083,3.9
2020,Apr,140603,126550,14053,10.0
