Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483050000000003,LAUCN483050000000004,LAUCN483050000000005,LAUCN483050000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Lynn County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,2944,2736,208,7.1
2010,Feb,2955,2745,210,7.1
2010,Mar,3018,2810,208,6.9
2010,Apr,3107,2896,211,6.8
2010,May,3073,2863,210,6.8
2010,Jun,3143,2920,223,7.1
2010,Jul,3132,2913,219,7.0
2010,Aug,3086,2880,206,6.7
2010,Sep,3100,2904,196,6.3
2010,Oct,3100,2920,180,5.8
2010,Nov,3087,2904,183,5.9
2010,Dec,3081,2912,169,5.5
2011,Jan,2997,2813,184,6.1
2011,Feb,2980,2789,191,6.4
2011,Mar,3051,2858,193,6.3
2011,Apr,3054,2864,190,6.2
2011,May,3056,2853,203,6.6
2011,Jun,3137,2902,235,7.5
2011,Jul,3136,2897,239,7.6
2011,Aug,3175,2942,233,7.3
2011,Sep,3141,2922,219,7.0
2011,Oct,3067,2871,196,6.4
2011,Nov,3100,2922,178,5.7
2011,Dec,3116,2938,178,5.7
2012,Jan,2910,2716,194,6.7
2012,Feb,2894,2695,199,6.9
2012,Mar,2931,2731,200,6.8
2012,Apr,2968,2786,182,6.1
2012,May,2977,2791,186,6.2
2012,Jun,3030,2825,205,6.8
2012,Jul,3005,2810,195,6.5
2012,Aug,2966,2785,181,6.1
2012,Sep,2977,2819,158,5.3
2012,Oct,2951,2801,150,5.1
2012,Nov,2940,2797,143,4.9
2012,Dec,2896,2748,148,5.1
2013,Jan,2784,2608,176,6.3
2013,Feb,2793,2630,163,5.8
2013,Mar,2775,2614,161,5.8
2013,Apr,2852,2704,148,5.2
2013,May,2906,2747,159,5.5
2013,Jun,2935,2761,174,5.9
2013,Jul,2952,2784,168,5.7
2013,Aug,2877,2726,151,5.2
2013,Sep,2903,2758,145,5.0
2013,Oct,2884,2750,134,4.6
2013,Nov,2813,2692,121,4.3
2013,Dec,2839,2724,115,4.1
2014,Jan,2795,2666,129,4.6
2014,Feb,2887,2742,145,5.0
2014,Mar,2880,2749,131,4.5
2014,Apr,2898,2788,110,3.8
2014,May,2930,2809,121,4.1
2014,Jun,2928,2783,145,5.0
2014,Jul,2915,2767,148,5.1
2014,Aug,2858,2718,140,4.9
2014,Sep,2869,2742,127,4.4
2014,Oct,2860,2749,111,3.9
2014,Nov,2809,2704,105,3.7
2014,Dec,2761,2668,93,3.4
2015,Jan,2703,2597,106,3.9
2015,Feb,2785,2673,112,4.0
2015,Mar,2835,2721,114,4.0
2015,Apr,2789,2685,104,3.7
2015,May,2829,2713,116,4.1
2015,Jun,2822,2687,135,4.8
2015,Jul,2771,2645,126,4.5
2015,Aug,2721,2605,116,4.3
2015,Sep,2752,2637,115,4.2
2015,Oct,2751,2645,106,3.9
2015,Nov,2698,2600,98,3.6
2015,Dec,2703,2615,88,3.3
2016,Jan,2588,2495,93,3.6
2016,Feb,2741,2638,103,3.8
2016,Mar,2792,2688,104,3.7
2016,Apr,2795,2698,97,3.5
2016,May,2848,2746,102,3.6
2016,Jun,2790,2664,126,4.5
2016,Jul,2698,2569,129,4.8
2016,Aug,2734,2614,120,4.4
2016,Sep,2704,2586,118,4.4
2016,Oct,2696,2591,105,3.9
2016,Nov,2692,2588,104,3.9
2016,Dec,2668,2571,97,3.6
2017,Jan,2694,2583,111,4.1
2017,Feb,2756,2649,107,3.9
2017,Mar,2859,2750,109,3.8
2017,Apr,2841,2746,95,3.3
2017,May,2849,2748,101,3.5
2017,Jun,2808,2692,116,4.1
2017,Jul,2728,2609,119,4.4
2017,Aug,2777,2657,120,4.3
2017,Sep,2727,2628,99,3.6
2017,Oct,2773,2687,86,3.1
2017,Nov,2733,2639,94,3.4
2017,Dec,2734,2644,90,3.3
2018,Jan,2672,2576,96,3.6
2018,Feb,2737,2635,102,3.7
2018,Mar,2824,2724,100,3.5
2018,Apr,2773,2682,91,3.3
2018,May,2821,2738,83,2.9
2018,Jun,2777,2673,104,3.7
2018,Jul,2733,2637,96,3.5
2018,Aug,2780,2692,88,3.2
2018,Sep,2753,2672,81,2.9
2018,Oct,2726,2651,75,2.8
2018,Nov,2712,2638,74,2.7
2018,Dec,2663,2589,74,2.8
2019,Jan,2674,2590,84,3.1
2019,Feb,2743,2657,86,3.1
2019,Mar,2798,2712,86,3.1
2019,Apr,2773,2700,73,2.6
2019,May,2797,2727,70,2.5
2019,Jun,2769,2679,90,3.3
2019,Jul,2766,2677,89,3.2
2019,Aug,2841,2755,86,3.0
2019,Sep,2787,2702,85,3.0
2019,Oct,2826,2746,80,2.8
2019,Nov,2754,2677,77,2.8
2019,Dec,2768,2690,78,2.8
2020,Jan,2756,2660,96,3.5
2020,Feb,2805,2705,100,3.6
2020,Mar,2789,2650,139,5.0
2020,Apr,2415,2251,164,6.8
