Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483130000000003,LAUCN483130000000004,LAUCN483130000000005,LAUCN483130000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Madison County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,4614,4210,404,8.8
2010,Feb,4653,4272,381,8.2
2010,Mar,4772,4377,395,8.3
2010,Apr,4826,4434,392,8.1
2010,May,4786,4401,385,8.0
2010,Jun,4839,4413,426,8.8
2010,Jul,4780,4352,428,9.0
2010,Aug,4741,4306,435,9.2
2010,Sep,4794,4398,396,8.3
2010,Oct,4759,4374,385,8.1
2010,Nov,4737,4341,396,8.4
2010,Dec,4731,4359,372,7.9
2011,Jan,4581,4176,405,8.8
2011,Feb,4553,4166,387,8.5
2011,Mar,4639,4256,383,8.3
2011,Apr,4649,4295,354,7.6
2011,May,4719,4334,385,8.2
2011,Jun,4766,4323,443,9.3
2011,Jul,4726,4292,434,9.2
2011,Aug,4720,4303,417,8.8
2011,Sep,4735,4340,395,8.3
2011,Oct,4674,4308,366,7.8
2011,Nov,4703,4355,348,7.4
2011,Dec,4716,4386,330,7.0
2012,Jan,4533,4184,349,7.7
2012,Feb,4542,4209,333,7.3
2012,Mar,4597,4276,321,7.0
2012,Apr,4613,4316,297,6.4
2012,May,4629,4316,313,6.8
2012,Jun,4748,4371,377,7.9
2012,Jul,4693,4325,368,7.8
2012,Aug,4685,4339,346,7.4
2012,Sep,4739,4418,321,6.8
2012,Oct,4713,4404,309,6.6
2012,Nov,4687,4383,304,6.5
2012,Dec,4659,4354,305,6.5
2013,Jan,4732,4386,346,7.3
2013,Feb,4748,4428,320,6.7
2013,Mar,4759,4445,314,6.6
2013,Apr,4817,4511,306,6.4
2013,May,4895,4580,315,6.4
2013,Jun,4937,4582,355,7.2
2013,Jul,4874,4530,344,7.1
2013,Aug,4800,4488,312,6.5
2013,Sep,4866,4570,296,6.1
2013,Oct,4844,4546,298,6.2
2013,Nov,4787,4502,285,6.0
2013,Dec,4786,4530,256,5.3
2014,Jan,4909,4651,258,5.3
2014,Feb,5046,4780,266,5.3
2014,Mar,5105,4845,260,5.1
2014,Apr,4972,4747,225,4.5
2014,May,5078,4835,243,4.8
2014,Jun,5132,4863,269,5.2
2014,Jul,5107,4820,287,5.6
2014,Aug,5057,4796,261,5.2
2014,Sep,5084,4852,232,4.6
2014,Oct,5009,4790,219,4.4
2014,Nov,4970,4750,220,4.4
2014,Dec,4908,4702,206,4.2
2015,Jan,5076,4850,226,4.5
2015,Feb,5115,4895,220,4.3
2015,Mar,5195,4982,213,4.1
2015,Apr,5090,4893,197,3.9
2015,May,5186,4964,222,4.3
2015,Jun,5164,4917,247,4.8
2015,Jul,5151,4913,238,4.6
2015,Aug,5076,4865,211,4.2
2015,Sep,5214,5004,210,4.0
2015,Oct,5124,4913,211,4.1
2015,Nov,5032,4806,226,4.5
2015,Dec,4986,4771,215,4.3
2016,Jan,4825,4595,230,4.8
2016,Feb,4859,4633,226,4.7
2016,Mar,4872,4634,238,4.9
2016,Apr,4791,4570,221,4.6
2016,May,4845,4614,231,4.8
2016,Jun,4785,4504,281,5.9
2016,Jul,4703,4424,279,5.9
2016,Aug,4685,4431,254,5.4
2016,Sep,4688,4439,249,5.3
2016,Oct,4721,4493,228,4.8
2016,Nov,4728,4495,233,4.9
2016,Dec,4694,4457,237,5.0
2017,Jan,4592,4330,262,5.7
2017,Feb,4688,4453,235,5.0
2017,Mar,4828,4590,238,4.9
2017,Apr,4792,4574,218,4.5
2017,May,4753,4544,209,4.4
2017,Jun,4657,4416,241,5.2
2017,Jul,4606,4365,241,5.2
2017,Aug,4685,4441,244,5.2
2017,Sep,4697,4492,205,4.4
2017,Oct,4653,4471,182,3.9
2017,Nov,4623,4435,188,4.1
2017,Dec,4657,4467,190,4.1
2018,Jan,4560,4352,208,4.6
2018,Feb,4613,4407,206,4.5
2018,Mar,4681,4469,212,4.5
2018,Apr,4567,4382,185,4.1
2018,May,4611,4427,184,4.0
2018,Jun,4576,4348,228,5.0
2018,Jul,4517,4289,228,5.0
2018,Aug,4499,4293,206,4.6
2018,Sep,4509,4321,188,4.2
2018,Oct,4540,4356,184,4.1
2018,Nov,4568,4387,181,4.0
2018,Dec,4535,4352,183,4.0
2019,Jan,4518,4314,204,4.5
2019,Feb,4581,4395,186,4.1
2019,Mar,4630,4449,181,3.9
2019,Apr,4565,4411,154,3.4
2019,May,4546,4377,169,3.7
2019,Jun,4548,4320,228,5.0
2019,Jul,4482,4247,235,5.2
2019,Aug,4585,4357,228,5.0
2019,Sep,4561,4361,200,4.4
2019,Oct,4580,4397,183,4.0
2019,Nov,4532,4351,181,4.0
2019,Dec,4533,4357,176,3.9
2020,Jan,4457,4262,195,4.4
2020,Feb,4499,4317,182,4.0
2020,Mar,4486,4226,260,5.8
2020,Apr,3930,3573,357,9.1
