Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483150000000003,LAUCN483150000000004,LAUCN483150000000005,LAUCN483150000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Marion County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,4456,3842,614,13.8
2010,Feb,4470,3858,612,13.7
2010,Mar,4501,3926,575,12.8
2010,Apr,4541,4003,538,11.8
2010,May,4503,3988,515,11.4
2010,Jun,4532,4010,522,11.5
2010,Jul,4520,3983,537,11.9
2010,Aug,4532,4007,525,11.6
2010,Sep,4522,4025,497,11.0
2010,Oct,4553,4080,473,10.4
2010,Nov,4444,3954,490,11.0
2010,Dec,4455,3982,473,10.6
2011,Jan,4464,3976,488,10.9
2011,Feb,4463,3999,464,10.4
2011,Mar,4483,4035,448,10.0
2011,Apr,4388,3952,436,9.9
2011,May,4439,3979,460,10.4
2011,Jun,4443,3947,496,11.2
2011,Jul,4397,3898,499,11.3
2011,Aug,4375,3887,488,11.2
2011,Sep,4406,3929,477,10.8
2011,Oct,4453,4011,442,9.9
2011,Nov,4375,3955,420,9.6
2011,Dec,4387,3974,413,9.4
2012,Jan,4325,3878,447,10.3
2012,Feb,4308,3896,412,9.6
2012,Mar,4329,3916,413,9.5
2012,Apr,4335,3952,383,8.8
2012,May,4351,3955,396,9.1
2012,Jun,4355,3942,413,9.5
2012,Jul,4346,3939,407,9.4
2012,Aug,4333,3944,389,9.0
2012,Sep,4346,3966,380,8.7
2012,Oct,4397,4030,367,8.3
2012,Nov,4379,4012,367,8.4
2012,Dec,4414,4023,391,8.9
2013,Jan,4443,4021,422,9.5
2013,Feb,4427,4037,390,8.8
2013,Mar,4437,4068,369,8.3
2013,Apr,4506,4160,346,7.7
2013,May,4600,4240,360,7.8
2013,Jun,4594,4204,390,8.5
2013,Jul,4587,4222,365,8.0
2013,Aug,4579,4214,365,8.0
2013,Sep,4562,4201,361,7.9
2013,Oct,4604,4242,362,7.9
2013,Nov,4597,4259,338,7.4
2013,Dec,4551,4227,324,7.1
2014,Jan,4510,4170,340,7.5
2014,Feb,4487,4162,325,7.2
2014,Mar,4506,4194,312,6.9
2014,Apr,4491,4222,269,6.0
2014,May,4501,4213,288,6.4
2014,Jun,4482,4179,303,6.8
2014,Jul,4524,4216,308,6.8
2014,Aug,4506,4211,295,6.5
2014,Sep,4455,4189,266,6.0
2014,Oct,4480,4225,255,5.7
2014,Nov,4451,4188,263,5.9
2014,Dec,4438,4188,250,5.6
2015,Jan,4481,4201,280,6.2
2015,Feb,4417,4147,270,6.1
2015,Mar,4393,4125,268,6.1
2015,Apr,4421,4147,274,6.2
2015,May,4407,4123,284,6.4
2015,Jun,4434,4125,309,7.0
2015,Jul,4478,4152,326,7.3
2015,Aug,4415,4112,303,6.9
2015,Sep,4378,4087,291,6.6
2015,Oct,4384,4112,272,6.2
2015,Nov,4396,4115,281,6.4
2015,Dec,4364,4093,271,6.2
2016,Jan,4372,4090,282,6.5
2016,Feb,4357,4086,271,6.2
2016,Mar,4406,4120,286,6.5
2016,Apr,4344,4042,302,7.0
2016,May,4342,4047,295,6.8
2016,Jun,4355,4012,343,7.9
2016,Jul,4359,4026,333,7.6
2016,Aug,4351,4017,334,7.7
2016,Sep,4309,3975,334,7.8
2016,Oct,4313,4018,295,6.8
2016,Nov,4312,4022,290,6.7
2016,Dec,4255,3974,281,6.6
2017,Jan,4305,4002,303,7.0
2017,Feb,4303,4010,293,6.8
2017,Mar,4244,3977,267,6.3
2017,Apr,4277,4024,253,5.9
2017,May,4277,4033,244,5.7
2017,Jun,4291,4040,251,5.8
2017,Jul,4377,4130,247,5.6
2017,Aug,4414,4164,250,5.7
2017,Sep,4436,4213,223,5.0
2017,Oct,4391,4185,206,4.7
2017,Nov,4363,4153,210,4.8
2017,Dec,4358,4152,206,4.7
2018,Jan,4293,4076,217,5.1
2018,Feb,4326,4112,214,4.9
2018,Mar,4302,4098,204,4.7
2018,Apr,4284,4102,182,4.2
2018,May,4257,4087,170,4.0
2018,Jun,4267,4070,197,4.6
2018,Jul,4257,4061,196,4.6
2018,Aug,4200,4003,197,4.7
2018,Sep,4199,4023,176,4.2
2018,Oct,4201,4030,171,4.1
2018,Nov,4226,4056,170,4.0
2018,Dec,4216,4026,190,4.5
2019,Jan,4254,4039,215,5.1
2019,Feb,4221,4027,194,4.6
2019,Mar,4258,4069,189,4.4
2019,Apr,4246,4092,154,3.6
2019,May,4206,4055,151,3.6
2019,Jun,4217,4041,176,4.2
2019,Jul,4249,4068,181,4.3
2019,Aug,4239,4053,186,4.4
2019,Sep,4227,4059,168,4.0
2019,Oct,4257,4084,173,4.1
2019,Nov,4250,4064,186,4.4
2019,Dec,4238,4045,193,4.6
2020,Jan,4234,4013,221,5.2
2020,Feb,4215,4015,200,4.7
2020,Mar,4196,3907,289,6.9
2020,Apr,3780,3293,487,12.9
