Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483170000000003,LAUCN483170000000004,LAUCN483170000000005,LAUCN483170000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Martin County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,2075,1942,133,6.4
2010,Feb,2091,1964,127,6.1
2010,Mar,2132,2002,130,6.1
2010,Apr,2192,2064,128,5.8
2010,May,2171,2049,122,5.6
2010,Jun,2232,2087,145,6.5
2010,Jul,2248,2106,142,6.3
2010,Aug,2226,2092,134,6.0
2010,Sep,2243,2110,133,5.9
2010,Oct,2242,2115,127,5.7
2010,Nov,2244,2111,133,5.9
2010,Dec,2248,2123,125,5.6
2011,Jan,2254,2119,135,6.0
2011,Feb,2249,2118,131,5.8
2011,Mar,2288,2158,130,5.7
2011,Apr,2314,2185,129,5.6
2011,May,2320,2189,131,5.6
2011,Jun,2369,2223,146,6.2
2011,Jul,2408,2264,144,6.0
2011,Aug,2412,2275,137,5.7
2011,Sep,2407,2274,133,5.5
2011,Oct,2373,2249,124,5.2
2011,Nov,2398,2280,118,4.9
2011,Dec,2415,2302,113,4.7
2012,Jan,2329,2213,116,5.0
2012,Feb,2331,2216,115,4.9
2012,Mar,2349,2244,105,4.5
2012,Apr,2388,2288,100,4.2
2012,May,2408,2301,107,4.4
2012,Jun,2449,2327,122,5.0
2012,Jul,2481,2353,128,5.2
2012,Aug,2462,2347,115,4.7
2012,Sep,2468,2364,104,4.2
2012,Oct,2456,2354,102,4.2
2012,Nov,2441,2346,95,3.9
2012,Dec,2425,2326,99,4.1
2013,Jan,2478,2362,116,4.7
2013,Feb,2477,2373,104,4.2
2013,Mar,2469,2364,105,4.3
2013,Apr,2541,2439,102,4.0
2013,May,2566,2457,109,4.2
2013,Jun,2603,2477,126,4.8
2013,Jul,2621,2504,117,4.5
2013,Aug,2572,2457,115,4.5
2013,Sep,2595,2483,112,4.3
2013,Oct,2580,2471,109,4.2
2013,Nov,2552,2455,97,3.8
2013,Dec,2567,2478,89,3.5
2014,Jan,2587,2491,96,3.7
2014,Feb,2634,2533,101,3.8
2014,Mar,2647,2550,97,3.7
2014,Apr,2677,2598,79,3.0
2014,May,2701,2608,93,3.4
2014,Jun,2719,2620,99,3.6
2014,Jul,2751,2644,107,3.9
2014,Aug,2709,2611,98,3.6
2014,Sep,2731,2642,89,3.3
2014,Oct,2733,2652,81,3.0
2014,Nov,2710,2629,81,3.0
2014,Dec,2682,2612,70,2.6
2015,Jan,2662,2580,82,3.1
2015,Feb,2651,2572,79,3.0
2015,Mar,2646,2569,77,2.9
2015,Apr,2624,2546,78,3.0
2015,May,2634,2541,93,3.5
2015,Jun,2621,2522,99,3.8
2015,Jul,2588,2483,105,4.1
2015,Aug,2531,2434,97,3.8
2015,Sep,2536,2439,97,3.8
2015,Oct,2532,2431,101,4.0
2015,Nov,2497,2402,95,3.8
2015,Dec,2487,2404,83,3.3
2016,Jan,2467,2374,93,3.8
2016,Feb,2526,2424,102,4.0
2016,Mar,2537,2433,104,4.1
2016,Apr,2512,2413,99,3.9
2016,May,2521,2419,102,4.0
2016,Jun,2496,2371,125,5.0
2016,Jul,2461,2334,127,5.2
2016,Aug,2465,2342,123,5.0
2016,Sep,2440,2329,111,4.5
2016,Oct,2448,2337,111,4.5
2016,Nov,2447,2345,102,4.2
2016,Dec,2453,2345,108,4.4
2017,Jan,2385,2279,106,4.4
2017,Feb,2430,2327,103,4.2
2017,Mar,2487,2393,94,3.8
2017,Apr,2500,2420,80,3.2
2017,May,2526,2443,83,3.3
2017,Jun,2531,2445,86,3.4
2017,Jul,2522,2436,86,3.4
2017,Aug,2549,2470,79,3.1
2017,Sep,2548,2478,70,2.7
2017,Oct,2602,2538,64,2.5
2017,Nov,2598,2532,66,2.5
2017,Dec,2621,2561,60,2.3
2018,Jan,2598,2535,63,2.4
2018,Feb,2659,2594,65,2.4
2018,Mar,2726,2663,63,2.3
2018,Apr,2736,2680,56,2.0
2018,May,2781,2720,61,2.2
2018,Jun,2783,2705,78,2.8
2018,Jul,2803,2734,69,2.5
2018,Aug,2824,2749,75,2.7
2018,Sep,2837,2760,77,2.7
2018,Oct,2838,2767,71,2.5
2018,Nov,2834,2766,68,2.4
2018,Dec,2828,2755,73,2.6
2019,Jan,2822,2737,85,3.0
2019,Feb,2859,2786,73,2.6
2019,Mar,2879,2812,67,2.3
2019,Apr,2871,2818,53,1.8
2019,May,2881,2825,56,1.9
2019,Jun,2883,2806,77,2.7
2019,Jul,2914,2835,79,2.7
2019,Aug,2938,2856,82,2.8
2019,Sep,2898,2823,75,2.6
2019,Oct,2935,2850,85,2.9
2019,Nov,2891,2808,83,2.9
2019,Dec,2899,2816,83,2.9
2020,Jan,2887,2801,86,3.0
2020,Feb,2906,2821,85,2.9
2020,Mar,2850,2737,113,4.0
2020,Apr,2433,2258,175,7.2
