Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483190000000003,LAUCN483190000000004,LAUCN483190000000005,LAUCN483190000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Mason County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1945,1815,130,6.7
2010,Feb,1927,1807,120,6.2
2010,Mar,1996,1867,129,6.5
2010,Apr,2019,1895,124,6.1
2010,May,1985,1863,122,6.1
2010,Jun,2054,1920,134,6.5
2010,Jul,2018,1891,127,6.3
2010,Aug,1994,1876,118,5.9
2010,Sep,1986,1859,127,6.4
2010,Oct,1995,1872,123,6.2
2010,Nov,1988,1860,128,6.4
2010,Dec,1994,1871,123,6.2
2011,Jan,1969,1843,126,6.4
2011,Feb,1943,1821,122,6.3
2011,Mar,1961,1846,115,5.9
2011,Apr,1950,1839,111,5.7
2011,May,1939,1825,114,5.9
2011,Jun,2012,1880,132,6.6
2011,Jul,1980,1854,126,6.4
2011,Aug,2010,1883,127,6.3
2011,Sep,1983,1860,123,6.2
2011,Oct,1918,1810,108,5.6
2011,Nov,1947,1844,103,5.3
2011,Dec,1968,1863,105,5.3
2012,Jan,1949,1839,110,5.6
2012,Feb,1918,1810,108,5.6
2012,Mar,1942,1839,103,5.3
2012,Apr,1975,1878,97,4.9
2012,May,1966,1864,102,5.2
2012,Jun,2022,1911,111,5.5
2012,Jul,2012,1896,116,5.8
2012,Aug,1936,1830,106,5.5
2012,Sep,1959,1859,100,5.1
2012,Oct,1994,1901,93,4.7
2012,Nov,1996,1905,91,4.6
2012,Dec,1966,1872,94,4.8
2013,Jan,1946,1839,107,5.5
2013,Feb,1938,1834,104,5.4
2013,Mar,1903,1804,99,5.2
2013,Apr,1973,1876,97,4.9
2013,May,2005,1893,112,5.6
2013,Jun,2031,1900,131,6.5
2013,Jul,2038,1911,127,6.2
2013,Aug,1975,1862,113,5.7
2013,Sep,1948,1842,106,5.4
2013,Oct,1932,1829,103,5.3
2013,Nov,1896,1800,96,5.1
2013,Dec,1925,1836,89,4.6
2014,Jan,1897,1796,101,5.3
2014,Feb,1921,1825,96,5.0
2014,Mar,1927,1830,97,5.0
2014,Apr,1915,1832,83,4.3
2014,May,1927,1836,91,4.7
2014,Jun,1959,1868,91,4.6
2014,Jul,1923,1827,96,5.0
2014,Aug,1876,1787,89,4.7
2014,Sep,1871,1790,81,4.3
2014,Oct,1888,1814,74,3.9
2014,Nov,1862,1788,74,4.0
2014,Dec,1824,1755,69,3.8
2015,Jan,1789,1712,77,4.3
2015,Feb,1798,1730,68,3.8
2015,Mar,1820,1754,66,3.6
2015,Apr,1822,1756,66,3.6
2015,May,1862,1785,77,4.1
2015,Jun,1859,1782,77,4.1
2015,Jul,1854,1776,78,4.2
2015,Aug,1769,1700,69,3.9
2015,Sep,1791,1722,69,3.9
2015,Oct,1771,1710,61,3.4
2015,Nov,1759,1699,60,3.4
2015,Dec,1753,1696,57,3.3
2016,Jan,1700,1639,61,3.6
2016,Feb,1778,1718,60,3.4
2016,Mar,1818,1754,64,3.5
2016,Apr,1832,1779,53,2.9
2016,May,1876,1819,57,3.0
2016,Jun,1867,1798,69,3.7
2016,Jul,1792,1724,68,3.8
2016,Aug,1813,1749,64,3.5
2016,Sep,1750,1674,76,4.3
2016,Oct,1742,1669,73,4.2
2016,Nov,1751,1685,66,3.8
2016,Dec,1758,1695,63,3.6
2017,Jan,1741,1669,72,4.1
2017,Feb,1841,1767,74,4.0
2017,Mar,1894,1830,64,3.4
2017,Apr,1882,1827,55,2.9
2017,May,1883,1820,63,3.3
2017,Jun,1881,1817,64,3.4
2017,Jul,1788,1723,65,3.6
2017,Aug,1791,1729,62,3.5
2017,Sep,1735,1681,54,3.1
2017,Oct,1790,1742,48,2.7
2017,Nov,1762,1706,56,3.2
2017,Dec,1773,1721,52,2.9
2018,Jan,1776,1717,59,3.3
2018,Feb,1782,1724,58,3.3
2018,Mar,1825,1772,53,2.9
2018,Apr,1808,1760,48,2.7
2018,May,1817,1768,49,2.7
2018,Jun,1820,1759,61,3.4
2018,Jul,1787,1734,53,3.0
2018,Aug,1800,1741,59,3.3
2018,Sep,1721,1669,52,3.0
2018,Oct,1719,1667,52,3.0
2018,Nov,1725,1671,54,3.1
2018,Dec,1709,1653,56,3.3
2019,Jan,1723,1656,67,3.9
2019,Feb,1780,1715,65,3.7
2019,Mar,1795,1736,59,3.3
2019,Apr,1768,1719,49,2.8
2019,May,1783,1732,51,2.9
2019,Jun,1816,1755,61,3.4
2019,Jul,1772,1706,66,3.7
2019,Aug,1809,1752,57,3.2
2019,Sep,1753,1699,54,3.1
2019,Oct,1767,1716,51,2.9
2019,Nov,1744,1690,54,3.1
2019,Dec,1758,1703,55,3.1
2020,Jan,1753,1690,63,3.6
2020,Feb,1782,1722,60,3.4
2020,Mar,1768,1681,87,4.9
2020,Apr,1502,1392,110,7.3
