Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483210000000003,LAUCN483210000000004,LAUCN483210000000005,LAUCN483210000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Matagorda County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,17759,15586,2173,12.2
2010,Feb,17972,15844,2128,11.8
2010,Mar,18585,16581,2004,10.8
2010,Apr,18902,17031,1871,9.9
2010,May,18207,16273,1934,10.6
2010,Jun,18450,16260,2190,11.9
2010,Jul,18284,16024,2260,12.4
2010,Aug,18082,15897,2185,12.1
2010,Sep,18033,15962,2071,11.5
2010,Oct,17830,15847,1983,11.1
2010,Nov,17901,15819,2082,11.6
2010,Dec,17891,15776,2115,11.8
2011,Jan,17444,15223,2221,12.7
2011,Feb,17473,15360,2113,12.1
2011,Mar,17954,15928,2026,11.3
2011,Apr,18056,16150,1906,10.6
2011,May,17848,15817,2031,11.4
2011,Jun,17948,15721,2227,12.4
2011,Jul,17704,15497,2207,12.5
2011,Aug,17686,15508,2178,12.3
2011,Sep,17602,15568,2034,11.6
2011,Oct,17964,16048,1916,10.7
2011,Nov,18104,16195,1909,10.5
2011,Dec,17747,15772,1975,11.1
2012,Jan,16998,15036,1962,11.5
2012,Feb,16918,15043,1875,11.1
2012,Mar,16993,15225,1768,10.4
2012,Apr,17060,15406,1654,9.7
2012,May,17164,15464,1700,9.9
2012,Jun,17334,15446,1888,10.9
2012,Jul,17187,15340,1847,10.7
2012,Aug,16973,15201,1772,10.4
2012,Sep,17081,15461,1620,9.5
2012,Oct,17509,15983,1526,8.7
2012,Nov,17290,15792,1498,8.7
2012,Dec,16762,15090,1672,10.0
2013,Jan,16640,14869,1771,10.6
2013,Feb,16582,14996,1586,9.6
2013,Mar,16614,15009,1605,9.7
2013,Apr,16679,15121,1558,9.3
2013,May,16908,15259,1649,9.8
2013,Jun,17045,15268,1777,10.4
2013,Jul,17105,15318,1787,10.4
2013,Aug,16743,15024,1719,10.3
2013,Sep,16707,15086,1621,9.7
2013,Oct,16899,15311,1588,9.4
2013,Nov,17262,15764,1498,8.7
2013,Dec,17022,15555,1467,8.6
2014,Jan,16703,15145,1558,9.3
2014,Feb,16964,15504,1460,8.6
2014,Mar,17304,15940,1364,7.9
2014,Apr,16886,15694,1192,7.1
2014,May,16683,15452,1231,7.4
2014,Jun,16775,15363,1412,8.4
2014,Jul,16609,15158,1451,8.7
2014,Aug,16506,15103,1403,8.5
2014,Sep,16570,15328,1242,7.5
2014,Oct,16475,15345,1130,6.9
2014,Nov,16491,15348,1143,6.9
2014,Dec,16418,15288,1130,6.9
2015,Jan,16869,15637,1232,7.3
2015,Feb,17078,15947,1131,6.6
2015,Mar,17445,16377,1068,6.1
2015,Apr,17664,16643,1021,5.8
2015,May,17221,16127,1094,6.4
2015,Jun,17284,16107,1177,6.8
2015,Jul,17107,15862,1245,7.3
2015,Aug,16984,15776,1208,7.1
2015,Sep,16993,15845,1148,6.8
2015,Oct,17540,16404,1136,6.5
2015,Nov,17029,15841,1188,7.0
2015,Dec,16931,15707,1224,7.2
2016,Jan,16604,15399,1205,7.3
2016,Feb,16817,15647,1170,7.0
2016,Mar,17200,16010,1190,6.9
2016,Apr,17048,15887,1161,6.8
2016,May,16993,15849,1144,6.7
2016,Jun,16992,15695,1297,7.6
2016,Jul,16664,15388,1276,7.7
2016,Aug,16607,15320,1287,7.7
2016,Sep,16875,15572,1303,7.7
2016,Oct,17221,16009,1212,7.0
2016,Nov,16790,15556,1234,7.3
2016,Dec,16679,15374,1305,7.8
2017,Jan,16685,15246,1439,8.6
2017,Feb,16934,15588,1346,7.9
2017,Mar,17492,16246,1246,7.1
2017,Apr,17065,15910,1155,6.8
2017,May,16765,15646,1119,6.7
2017,Jun,17114,15866,1248,7.3
2017,Jul,16811,15548,1263,7.5
2017,Aug,16810,15533,1277,7.6
2017,Sep,16865,15583,1282,7.6
2017,Oct,16757,15641,1116,6.7
2017,Nov,16771,15630,1141,6.8
2017,Dec,16764,15613,1151,6.9
2018,Jan,16681,15421,1260,7.6
2018,Feb,16933,15747,1186,7.0
2018,Mar,17335,16266,1069,6.2
2018,Apr,17166,16199,967,5.6
2018,May,16853,15891,962,5.7
2018,Jun,16930,15821,1109,6.6
2018,Jul,16651,15583,1068,6.4
2018,Aug,16636,15626,1010,6.1
2018,Sep,16716,15763,953,5.7
2018,Oct,16939,16066,873,5.2
2018,Nov,16457,15581,876,5.3
2018,Dec,16322,15400,922,5.6
2019,Jan,16524,15484,1040,6.3
2019,Feb,16607,15671,936,5.6
2019,Mar,16701,15841,860,5.1
2019,Apr,16642,15867,775,4.7
2019,May,16711,15897,814,4.9
2019,Jun,16747,15743,1004,6.0
2019,Jul,16694,15643,1051,6.3
2019,Aug,16722,15669,1053,6.3
2019,Sep,16756,15803,953,5.7
2019,Oct,16993,16111,882,5.2
2019,Nov,16749,15792,957,5.7
2019,Dec,16695,15669,1026,6.1
2020,Jan,16683,15558,1125,6.7
2020,Feb,16751,15781,970,5.8
2020,Mar,16970,15648,1322,7.8
2020,Apr,15477,13240,2237,14.5
