Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483230000000003,LAUCN483230000000004,LAUCN483230000000005,LAUCN483230000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Maverick County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,23913,19740,4173,17.5
2010,Feb,24014,19828,4186,17.4
2010,Mar,24015,19974,4041,16.8
2010,Apr,23822,20078,3744,15.7
2010,May,23395,19933,3462,14.8
2010,Jun,23391,19884,3507,15.0
2010,Jul,22832,19476,3356,14.7
2010,Aug,22744,19494,3250,14.3
2010,Sep,23112,20056,3056,13.2
2010,Oct,23290,20167,3123,13.4
2010,Nov,23844,20426,3418,14.3
2010,Dec,23925,20455,3470,14.5
2011,Jan,24602,20428,4174,17.0
2011,Feb,24578,20496,4082,16.6
2011,Mar,24408,20572,3836,15.7
2011,Apr,24304,20754,3550,14.6
2011,May,23965,20676,3289,13.7
2011,Jun,24025,20602,3423,14.2
2011,Jul,23415,20174,3241,13.8
2011,Aug,23265,20212,3053,13.1
2011,Sep,23525,20643,2882,12.3
2011,Oct,23543,20672,2871,12.2
2011,Nov,23482,20649,2833,12.1
2011,Dec,23855,20837,3018,12.7
2012,Jan,24083,20613,3470,14.4
2012,Feb,23919,20473,3446,14.4
2012,Mar,23797,20512,3285,13.8
2012,Apr,23555,20521,3034,12.9
2012,May,23507,20616,2891,12.3
2012,Jun,23504,20526,2978,12.7
2012,Jul,22948,20047,2901,12.6
2012,Aug,22492,19819,2673,11.9
2012,Sep,22892,20410,2482,10.8
2012,Oct,23122,20539,2583,11.2
2012,Nov,23179,20620,2559,11.0
2012,Dec,23473,20640,2833,12.1
2013,Jan,24271,20643,3628,14.9
2013,Feb,24095,20645,3450,14.3
2013,Mar,23843,20708,3135,13.1
2013,Apr,23900,20860,3040,12.7
2013,May,23828,20863,2965,12.4
2013,Jun,23765,20697,3068,12.9
2013,Jul,23028,20185,2843,12.3
2013,Aug,22788,20067,2721,11.9
2013,Sep,23093,20560,2533,11.0
2013,Oct,23502,20862,2640,11.2
2013,Nov,23921,21211,2710,11.3
2013,Dec,23968,21238,2730,11.4
2014,Jan,24516,21179,3337,13.6
2014,Feb,24473,21162,3311,13.5
2014,Mar,24279,21161,3118,12.8
2014,Apr,23706,21020,2686,11.3
2014,May,23641,21090,2551,10.8
2014,Jun,23332,20808,2524,10.8
2014,Jul,22584,20126,2458,10.9
2014,Aug,22435,20076,2359,10.5
2014,Sep,22820,20691,2129,9.3
2014,Oct,22965,20933,2032,8.8
2014,Nov,23072,20962,2110,9.1
2014,Dec,23256,21099,2157,9.3
2015,Jan,23781,20960,2821,11.9
2015,Feb,23683,20957,2726,11.5
2015,Mar,23780,21087,2693,11.3
2015,Apr,23671,21293,2378,10.0
2015,May,23781,21446,2335,9.8
2015,Jun,23836,21303,2533,10.6
2015,Jul,23160,20703,2457,10.6
2015,Aug,22983,20575,2408,10.5
2015,Sep,23306,21013,2293,9.8
2015,Oct,23608,21238,2370,10.0
2015,Nov,23953,21417,2536,10.6
2015,Dec,24178,21561,2617,10.8
2016,Jan,24643,21603,3040,12.3
2016,Feb,24762,21694,3068,12.4
2016,Mar,24910,21799,3111,12.5
2016,Apr,24695,21673,3022,12.2
2016,May,24319,21661,2658,10.9
2016,Jun,24242,21419,2823,11.6
2016,Jul,23640,20909,2731,11.6
2016,Aug,23513,20866,2647,11.3
2016,Sep,23727,21233,2494,10.5
2016,Oct,23748,21426,2322,9.8
2016,Nov,24152,21893,2259,9.4
2016,Dec,24310,21879,2431,10.0
2017,Jan,24798,21890,2908,11.7
2017,Feb,24741,21867,2874,11.6
2017,Mar,24587,21890,2697,11.0
2017,Apr,24563,21983,2580,10.5
2017,May,24086,21814,2272,9.4
2017,Jun,23924,21594,2330,9.7
2017,Jul,23188,21084,2104,9.1
2017,Aug,23140,21094,2046,8.8
2017,Sep,23243,21544,1699,7.3
2017,Oct,23358,21747,1611,6.9
2017,Nov,23631,21912,1719,7.3
2017,Dec,23818,21855,1963,8.2
2018,Jan,24192,21842,2350,9.7
2018,Feb,24149,21754,2395,9.9
2018,Mar,24213,21887,2326,9.6
2018,Apr,24160,21977,2183,9.0
2018,May,23864,21913,1951,8.2
2018,Jun,23728,21710,2018,8.5
2018,Jul,23107,21215,1892,8.2
2018,Aug,22629,21057,1572,6.9
2018,Sep,23323,21861,1462,6.3
2018,Oct,23188,21693,1495,6.4
2018,Nov,23441,21910,1531,6.5
2018,Dec,23622,21820,1802,7.6
2019,Jan,24286,22124,2162,8.9
2019,Feb,24221,22053,2168,9.0
2019,Mar,24190,22243,1947,8.0
2019,Apr,24085,22358,1727,7.2
2019,May,23940,22264,1676,7.0
2019,Jun,23888,22080,1808,7.6
2019,Jul,22865,21083,1782,7.8
2019,Aug,23059,21464,1595,6.9
2019,Sep,23399,21917,1482,6.3
2019,Oct,23629,22094,1535,6.5
2019,Nov,23914,22238,1676,7.0
2019,Dec,24169,22243,1926,8.0
2020,Jan,24614,22212,2402,9.8
2020,Feb,24547,22190,2357,9.6
2020,Mar,24809,21696,3113,12.5
2020,Apr,22568,18093,4475,19.8
