Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483070000000003,LAUCN483070000000004,LAUCN483070000000005,LAUCN483070000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"McCulloch County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,3836,3528,308,8.0
2010,Feb,3824,3551,273,7.1
2010,Mar,3959,3615,344,8.7
2010,Apr,4010,3699,311,7.8
2010,May,4002,3725,277,6.9
2010,Jun,4151,3849,302,7.3
2010,Jul,4181,3871,310,7.4
2010,Aug,4212,3931,281,6.7
2010,Sep,4219,3951,268,6.4
2010,Oct,4210,3957,253,6.0
2010,Nov,4250,3987,263,6.2
2010,Dec,4309,4055,254,5.9
2011,Jan,4225,3961,264,6.2
2011,Feb,4203,3955,248,5.9
2011,Mar,4296,4049,247,5.7
2011,Apr,4190,3954,236,5.6
2011,May,4252,3999,253,6.0
2011,Jun,4455,4162,293,6.6
2011,Jul,4421,4142,279,6.3
2011,Aug,4462,4188,274,6.1
2011,Sep,4455,4191,264,5.9
2011,Oct,4426,4170,256,5.8
2011,Nov,4450,4203,247,5.6
2011,Dec,4479,4244,235,5.2
2012,Jan,4400,4155,245,5.6
2012,Feb,4368,4130,238,5.4
2012,Mar,4381,4152,229,5.2
2012,Apr,4397,4172,225,5.1
2012,May,4403,4163,240,5.5
2012,Jun,4477,4219,258,5.8
2012,Jul,4449,4191,258,5.8
2012,Aug,4407,4164,243,5.5
2012,Sep,4422,4193,229,5.2
2012,Oct,4388,4153,235,5.4
2012,Nov,4385,4165,220,5.0
2012,Dec,4353,4128,225,5.2
2013,Jan,4335,4086,249,5.7
2013,Feb,4303,4081,222,5.2
2013,Mar,4259,4055,204,4.8
2013,Apr,4280,4087,193,4.5
2013,May,4308,4098,210,4.9
2013,Jun,4322,4084,238,5.5
2013,Jul,4340,4084,256,5.9
2013,Aug,4287,4046,241,5.6
2013,Sep,4306,4058,248,5.8
2013,Oct,4206,3973,233,5.5
2013,Nov,4157,3947,210,5.1
2013,Dec,4168,3968,200,4.8
2014,Jan,4018,3815,203,5.1
2014,Feb,4094,3891,203,5.0
2014,Mar,4084,3893,191,4.7
2014,Apr,4091,3932,159,3.9
2014,May,4082,3909,173,4.2
2014,Jun,4114,3932,182,4.4
2014,Jul,4159,3965,194,4.7
2014,Aug,4142,3962,180,4.3
2014,Sep,4189,4024,165,3.9
2014,Oct,4181,4025,156,3.7
2014,Nov,4148,4003,145,3.5
2014,Dec,4107,3980,127,3.1
2015,Jan,4047,3898,149,3.7
2015,Feb,4059,3898,161,4.0
2015,Mar,4072,3919,153,3.8
2015,Apr,4019,3876,143,3.6
2015,May,3994,3819,175,4.4
2015,Jun,3971,3761,210,5.3
2015,Jul,3935,3717,218,5.5
2015,Aug,3877,3639,238,6.1
2015,Sep,3841,3627,214,5.6
2015,Oct,3812,3601,211,5.5
2015,Nov,3716,3517,199,5.4
2015,Dec,3736,3553,183,4.9
2016,Jan,3692,3506,186,5.0
2016,Feb,3772,3596,176,4.7
2016,Mar,3771,3607,164,4.3
2016,Apr,3753,3597,156,4.2
2016,May,3752,3597,155,4.1
2016,Jun,3737,3563,174,4.7
2016,Jul,3688,3511,177,4.8
2016,Aug,3714,3540,174,4.7
2016,Sep,3642,3467,175,4.8
2016,Oct,3648,3490,158,4.3
2016,Nov,3644,3498,146,4.0
2016,Dec,3688,3539,149,4.0
2017,Jan,3572,3422,150,4.2
2017,Feb,3631,3484,147,4.0
2017,Mar,3759,3626,133,3.5
2017,Apr,3666,3552,114,3.1
2017,May,3692,3558,134,3.6
2017,Jun,3702,3565,137,3.7
2017,Jul,3640,3500,140,3.8
2017,Aug,3681,3547,134,3.6
2017,Sep,3688,3562,126,3.4
2017,Oct,3737,3625,112,3.0
2017,Nov,3709,3589,120,3.2
2017,Dec,3741,3627,114,3.0
2018,Jan,3709,3585,124,3.3
2018,Feb,3704,3585,119,3.2
2018,Mar,3790,3672,118,3.1
2018,Apr,3730,3623,107,2.9
2018,May,3744,3638,106,2.8
2018,Jun,3760,3632,128,3.4
2018,Jul,3788,3661,127,3.4
2018,Aug,3806,3675,131,3.4
2018,Sep,3750,3619,131,3.5
2018,Oct,3755,3626,129,3.4
2018,Nov,3739,3612,127,3.4
2018,Dec,3715,3589,126,3.4
2019,Jan,3706,3563,143,3.9
2019,Feb,3652,3496,156,4.3
2019,Mar,3726,3562,164,4.4
2019,Apr,3552,3359,193,5.4
2019,May,3471,3254,217,6.3
2019,Jun,3433,3221,212,6.2
2019,Jul,3415,3207,208,6.1
2019,Aug,3433,3221,212,6.2
2019,Sep,3381,3193,188,5.6
2019,Oct,3387,3217,170,5.0
2019,Nov,3339,3180,159,4.8
2019,Dec,3360,3212,148,4.4
2020,Jan,3320,3159,161,4.8
2020,Feb,3323,3168,155,4.7
2020,Mar,3317,3107,210,6.3
2020,Apr,2865,2567,298,10.4
