Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483090000000003,LAUCN483090000000004,LAUCN483090000000005,LAUCN483090000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"McLennan County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,110870,102412,8458,7.6
2010,Feb,110862,102694,8168,7.4
2010,Mar,111729,103439,8290,7.4
2010,Apr,113054,105137,7917,7.0
2010,May,113124,105281,7843,6.9
2010,Jun,114010,105306,8704,7.6
2010,Jul,114802,106010,8792,7.7
2010,Aug,114471,105788,8683,7.6
2010,Sep,113700,105493,8207,7.2
2010,Oct,112614,104514,8100,7.2
2010,Nov,112870,104376,8494,7.5
2010,Dec,112693,104665,8028,7.1
2011,Jan,112631,104135,8496,7.5
2011,Feb,112695,104331,8364,7.4
2011,Mar,113066,104793,8273,7.3
2011,Apr,113203,105296,7907,7.0
2011,May,113507,105406,8101,7.1
2011,Jun,114368,104996,9372,8.2
2011,Jul,114048,104784,9264,8.1
2011,Aug,114092,105132,8960,7.9
2011,Sep,114265,105569,8696,7.6
2011,Oct,113191,104951,8240,7.3
2011,Nov,112745,104968,7777,6.9
2011,Dec,112572,104984,7588,6.7
2012,Jan,112045,104064,7981,7.1
2012,Feb,112179,104385,7794,6.9
2012,Mar,112337,104786,7551,6.7
2012,Apr,111675,104680,6995,6.3
2012,May,111927,104542,7385,6.6
2012,Jun,112967,104600,8367,7.4
2012,Jul,113301,104894,8407,7.4
2012,Aug,112626,104938,7688,6.8
2012,Sep,112767,105765,7002,6.2
2012,Oct,112303,105422,6881,6.1
2012,Nov,112201,105457,6744,6.0
2012,Dec,112129,105385,6744,6.0
2013,Jan,111624,104096,7528,6.7
2013,Feb,111528,104500,7028,6.3
2013,Mar,111440,104540,6900,6.2
2013,Apr,112709,106232,6477,5.7
2013,May,112969,105960,7009,6.2
2013,Jun,113609,105630,7979,7.0
2013,Jul,113438,105674,7764,6.8
2013,Aug,112843,105685,7158,6.3
2013,Sep,112910,106066,6844,6.1
2013,Oct,110924,104316,6608,6.0
2013,Nov,111361,105180,6181,5.6
2013,Dec,110987,105232,5755,5.2
2014,Jan,111892,105911,5981,5.3
2014,Feb,112293,106150,6143,5.5
2014,Mar,112459,106435,6024,5.4
2014,Apr,113461,108427,5034,4.4
2014,May,113730,107919,5811,5.1
2014,Jun,113609,107237,6372,5.6
2014,Jul,113973,107222,6751,5.9
2014,Aug,113016,106730,6286,5.6
2014,Sep,113117,107499,5618,5.0
2014,Oct,112999,107884,5115,4.5
2014,Nov,113286,108323,4963,4.4
2014,Dec,112665,108224,4441,3.9
2015,Jan,112106,107104,5002,4.5
2015,Feb,111570,106997,4573,4.1
2015,Mar,111154,106688,4466,4.0
2015,Apr,111380,107342,4038,3.6
2015,May,111873,107346,4527,4.0
2015,Jun,112291,107251,5040,4.5
2015,Jul,113226,108034,5192,4.6
2015,Aug,113077,108393,4684,4.1
2015,Sep,112896,108343,4553,4.0
2015,Oct,113441,109018,4423,3.9
2015,Nov,114094,109748,4346,3.8
2015,Dec,113926,109885,4041,3.5
2016,Jan,113936,109603,4333,3.8
2016,Feb,114882,110604,4278,3.7
2016,Mar,115075,110661,4414,3.8
2016,Apr,115010,110963,4047,3.5
2016,May,114872,110704,4168,3.6
2016,Jun,115783,110706,5077,4.4
2016,Jul,116671,111424,5247,4.5
2016,Aug,116952,111993,4959,4.2
2016,Sep,117265,112337,4928,4.2
2016,Oct,117192,112510,4682,4.0
2016,Nov,117605,113148,4457,3.8
2016,Dec,117402,113004,4398,3.7
2017,Jan,117822,113022,4800,4.1
2017,Feb,118540,113702,4838,4.1
2017,Mar,118261,113740,4521,3.8
2017,Apr,117857,113802,4055,3.4
2017,May,117594,113328,4266,3.6
2017,Jun,118272,112993,5279,4.5
2017,Jul,118808,113505,5303,4.5
2017,Aug,118637,113533,5104,4.3
2017,Sep,118899,114432,4467,3.8
2017,Oct,117065,112986,4079,3.5
2017,Nov,117696,113477,4219,3.6
2017,Dec,117402,113398,4004,3.4
2018,Jan,116756,112293,4463,3.8
2018,Feb,117950,113538,4412,3.7
2018,Mar,117749,113455,4294,3.6
2018,Apr,117905,113964,3941,3.3
2018,May,117657,113712,3945,3.4
2018,Jun,118803,113903,4900,4.1
2018,Jul,119031,114345,4686,3.9
2018,Aug,117882,113581,4301,3.6
2018,Sep,118239,114255,3984,3.4
2018,Oct,118499,114657,3842,3.2
2018,Nov,119238,115401,3837,3.2
2018,Dec,118832,114912,3920,3.3
2019,Jan,118958,114482,4476,3.8
2019,Feb,119276,115172,4104,3.4
2019,Mar,119131,115129,4002,3.4
2019,Apr,118680,115415,3265,2.8
2019,May,118574,115138,3436,2.9
2019,Jun,119667,115288,4379,3.7
2019,Jul,120620,116079,4541,3.8
2019,Aug,120020,115699,4321,3.6
2019,Sep,120169,116311,3858,3.2
2019,Oct,119784,116007,3777,3.2
2019,Nov,120631,116878,3753,3.1
2019,Dec,120036,116419,3617,3.0
2020,Jan,119993,115860,4133,3.4
2020,Feb,120809,116871,3938,3.3
2020,Mar,118957,113167,5790,4.9
2020,Apr,107527,96052,11475,10.7
