Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483110000000003,LAUCN483110000000004,LAUCN483110000000005,LAUCN483110000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"McMullen County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,452,429,23,5.1
2010,Feb,452,434,18,4.0
2010,Mar,461,443,18,3.9
2010,Apr,475,452,23,4.8
2010,May,467,443,24,5.1
2010,Jun,481,456,25,5.2
2010,Jul,468,442,26,5.6
2010,Aug,456,435,21,4.6
2010,Sep,492,473,19,3.9
2010,Oct,552,531,21,3.8
2010,Nov,546,527,19,3.5
2010,Dec,550,531,19,3.5
2011,Jan,598,579,19,3.2
2011,Feb,592,573,19,3.2
2011,Mar,604,585,19,3.1
2011,Apr,653,635,18,2.8
2011,May,649,629,20,3.1
2011,Jun,661,639,22,3.3
2011,Jul,683,661,22,3.2
2011,Aug,677,653,24,3.5
2011,Sep,679,658,21,3.1
2011,Oct,704,681,23,3.3
2011,Nov,703,684,19,2.7
2011,Dec,716,697,19,2.7
2012,Jan,719,700,19,2.6
2012,Feb,712,693,19,2.7
2012,Mar,722,704,18,2.5
2012,Apr,741,725,16,2.2
2012,May,731,713,18,2.5
2012,Jun,750,730,20,2.7
2012,Jul,760,740,20,2.6
2012,Aug,752,734,18,2.4
2012,Sep,751,736,15,2.0
2012,Oct,757,741,16,2.1
2012,Nov,761,745,16,2.1
2012,Dec,776,760,16,2.1
2013,Jan,799,776,23,2.9
2013,Feb,812,790,22,2.7
2013,Mar,843,823,20,2.4
2013,Apr,887,867,20,2.3
2013,May,905,881,24,2.7
2013,Jun,909,885,24,2.6
2013,Jul,874,851,23,2.6
2013,Aug,863,835,28,3.2
2013,Sep,892,865,27,3.0
2013,Oct,935,906,29,3.1
2013,Nov,924,903,21,2.3
2013,Dec,949,930,19,2.0
2014,Jan,1003,978,25,2.5
2014,Feb,1034,1012,22,2.1
2014,Mar,1086,1066,20,1.8
2014,Apr,1106,1089,17,1.5
2014,May,1105,1088,17,1.5
2014,Jun,1081,1062,19,1.8
2014,Jul,1112,1092,20,1.8
2014,Aug,1072,1051,21,2.0
2014,Sep,1049,1026,23,2.2
2014,Oct,1047,1025,22,2.1
2014,Nov,1017,994,23,2.3
2014,Dec,1022,1000,22,2.2
2015,Jan,1000,976,24,2.4
2015,Feb,991,969,22,2.2
2015,Mar,989,968,21,2.1
2015,Apr,1006,988,18,1.8
2015,May,992,975,17,1.7
2015,Jun,966,947,19,2.0
2015,Jul,985,964,21,2.1
2015,Aug,947,924,23,2.4
2015,Sep,943,920,23,2.4
2015,Oct,952,933,19,2.0
2015,Nov,932,916,16,1.7
2015,Dec,926,909,17,1.8
2016,Jan,947,931,16,1.7
2016,Feb,952,937,15,1.6
2016,Mar,925,903,22,2.4
2016,Apr,882,861,21,2.4
2016,May,893,874,19,2.1
2016,Jun,884,864,20,2.3
2016,Jul,861,838,23,2.7
2016,Aug,847,828,19,2.2
2016,Sep,812,794,18,2.2
2016,Oct,808,794,14,1.7
2016,Nov,758,744,14,1.8
2016,Dec,761,745,16,2.1
2017,Jan,751,732,19,2.5
2017,Feb,755,736,19,2.5
2017,Mar,765,752,13,1.7
2017,Apr,748,736,12,1.6
2017,May,761,749,12,1.6
2017,Jun,750,735,15,2.0
2017,Jul,709,694,15,2.1
2017,Aug,729,716,13,1.8
2017,Sep,703,692,11,1.6
2017,Oct,752,740,12,1.6
2017,Nov,783,770,13,1.7
2017,Dec,774,762,12,1.6
2018,Jan,759,746,13,1.7
2018,Feb,741,728,13,1.8
2018,Mar,745,733,12,1.6
2018,Apr,722,709,13,1.8
2018,May,703,691,12,1.7
2018,Jun,698,685,13,1.9
2018,Jul,696,682,14,2.0
2018,Aug,705,691,14,2.0
2018,Sep,707,693,14,2.0
2018,Oct,711,695,16,2.3
2018,Nov,709,697,12,1.7
2018,Dec,699,688,11,1.6
2019,Jan,724,709,15,2.1
2019,Feb,732,719,13,1.8
2019,Mar,773,759,14,1.8
2019,Apr,772,761,11,1.4
2019,May,766,757,9,1.2
2019,Jun,784,773,11,1.4
2019,Jul,850,836,14,1.6
2019,Aug,894,878,16,1.8
2019,Sep,892,878,14,1.6
2019,Oct,898,884,14,1.6
2019,Nov,888,873,15,1.7
2019,Dec,886,873,13,1.5
2020,Jan,896,883,13,1.5
2020,Feb,904,890,14,1.5
2020,Mar,898,881,17,1.9
2020,Apr,743,724,19,2.6
