Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483250000000003,LAUCN483250000000004,LAUCN483250000000005,LAUCN483250000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Medina County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,19569,18012,1557,8.0
2010,Feb,19672,18177,1495,7.6
2010,Mar,19809,18342,1467,7.4
2010,Apr,20108,18656,1452,7.2
2010,May,20011,18591,1420,7.1
2010,Jun,20186,18628,1558,7.7
2010,Jul,20180,18599,1581,7.8
2010,Aug,20096,18566,1530,7.6
2010,Sep,20139,18616,1523,7.6
2010,Oct,20141,18641,1500,7.4
2010,Nov,20161,18620,1541,7.6
2010,Dec,20123,18657,1466,7.3
2011,Jan,19946,18348,1598,8.0
2011,Feb,19964,18445,1519,7.6
2011,Mar,20102,18623,1479,7.4
2011,Apr,20117,18698,1419,7.1
2011,May,20162,18707,1455,7.2
2011,Jun,20370,18731,1639,8.0
2011,Jul,20399,18767,1632,8.0
2011,Aug,20390,18812,1578,7.7
2011,Sep,20459,18873,1586,7.8
2011,Oct,20327,18848,1479,7.3
2011,Nov,20341,18946,1395,6.9
2011,Dec,20358,18994,1364,6.7
2012,Jan,19949,18502,1447,7.3
2012,Feb,19974,18589,1385,6.9
2012,Mar,20040,18720,1320,6.6
2012,Apr,20073,18835,1238,6.2
2012,May,20182,18875,1307,6.5
2012,Jun,20409,18951,1458,7.1
2012,Jul,20417,18947,1470,7.2
2012,Aug,20239,18888,1351,6.7
2012,Sep,20339,19072,1267,6.2
2012,Oct,20330,19101,1229,6.0
2012,Nov,20264,19076,1188,5.9
2012,Dec,20276,19049,1227,6.1
2013,Jan,20077,18685,1392,6.9
2013,Feb,20104,18807,1297,6.5
2013,Mar,20061,18832,1229,6.1
2013,Apr,20262,19074,1188,5.9
2013,May,20386,19156,1230,6.0
2013,Jun,20594,19221,1373,6.7
2013,Jul,20614,19289,1325,6.4
2013,Aug,20390,19140,1250,6.1
2013,Sep,20459,19246,1213,5.9
2013,Oct,20308,19141,1167,5.7
2013,Nov,20322,19213,1109,5.5
2013,Dec,20344,19292,1052,5.2
2014,Jan,20162,19020,1142,5.7
2014,Feb,20324,19204,1120,5.5
2014,Mar,20423,19328,1095,5.4
2014,Apr,20412,19473,939,4.6
2014,May,20523,19511,1012,4.9
2014,Jun,20599,19545,1054,5.1
2014,Jul,20647,19533,1114,5.4
2014,Aug,20426,19398,1028,5.0
2014,Sep,20425,19477,948,4.6
2014,Oct,20484,19583,901,4.4
2014,Nov,20440,19556,884,4.3
2014,Dec,20243,19455,788,3.9
2015,Jan,20105,19192,913,4.5
2015,Feb,20255,19382,873,4.3
2015,Mar,20353,19483,870,4.3
2015,Apr,20389,19584,805,3.9
2015,May,20547,19658,889,4.3
2015,Jun,20534,19581,953,4.6
2015,Jul,20499,19538,961,4.7
2015,Aug,20355,19451,904,4.4
2015,Sep,20463,19550,913,4.5
2015,Oct,20519,19620,899,4.4
2015,Nov,20553,19673,880,4.3
2015,Dec,20537,19700,837,4.1
2016,Jan,20478,19605,873,4.3
2016,Feb,20819,19938,881,4.2
2016,Mar,20985,20072,913,4.4
2016,Apr,20987,20116,871,4.2
2016,May,21026,20180,846,4.0
2016,Jun,21068,20076,992,4.7
2016,Jul,21084,20053,1031,4.9
2016,Aug,21055,20074,981,4.7
2016,Sep,21116,20119,997,4.7
2016,Oct,21039,20117,922,4.4
2016,Nov,21088,20204,884,4.2
2016,Dec,21038,20162,876,4.2
2017,Jan,21023,20078,945,4.5
2017,Feb,21200,20259,941,4.4
2017,Mar,21348,20483,865,4.1
2017,Apr,21319,20532,787,3.7
2017,May,21277,20472,805,3.8
2017,Jun,21332,20480,852,4.0
2017,Jul,21338,20456,882,4.1
2017,Aug,21294,20440,854,4.0
2017,Sep,21400,20616,784,3.7
2017,Oct,21273,20557,716,3.4
2017,Nov,21293,20544,749,3.5
2017,Dec,21276,20561,715,3.4
2018,Jan,21239,20431,808,3.8
2018,Feb,21485,20688,797,3.7
2018,Mar,21613,20847,766,3.5
2018,Apr,21578,20887,691,3.2
2018,May,21612,20909,703,3.3
2018,Jun,21668,20852,816,3.8
2018,Jul,21639,20849,790,3.7
2018,Aug,21548,20782,766,3.6
2018,Sep,21602,20875,727,3.4
2018,Oct,21568,20874,694,3.2
2018,Nov,21588,20911,677,3.1
2018,Dec,21551,20853,698,3.2
2019,Jan,21535,20731,804,3.7
2019,Feb,21668,20938,730,3.4
2019,Mar,21733,21043,690,3.2
2019,Apr,21627,21047,580,2.7
2019,May,21649,21052,597,2.8
2019,Jun,21777,21062,715,3.3
2019,Jul,21872,21124,748,3.4
2019,Aug,21896,21187,709,3.2
2019,Sep,21943,21259,684,3.1
2019,Oct,22129,21471,658,3.0
2019,Nov,22048,21377,671,3.0
2019,Dec,22064,21416,648,2.9
2020,Jan,22080,21347,733,3.3
2020,Feb,22187,21465,722,3.3
2020,Mar,21785,20750,1035,4.8
2020,Apr,19597,17573,2024,10.3
