Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483270000000003,LAUCN483270000000004,LAUCN483270000000005,LAUCN483270000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Menard County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1005,925,80,8.0
2010,Feb,999,924,75,7.5
2010,Mar,1034,956,78,7.5
2010,Apr,1035,957,78,7.5
2010,May,1016,949,67,6.6
2010,Jun,1025,951,74,7.2
2010,Jul,1021,943,78,7.6
2010,Aug,1024,949,75,7.3
2010,Sep,997,927,70,7.0
2010,Oct,974,901,73,7.5
2010,Nov,964,891,73,7.6
2010,Dec,955,885,70,7.3
2011,Jan,949,868,81,8.5
2011,Feb,924,854,70,7.6
2011,Mar,936,870,66,7.1
2011,Apr,938,874,64,6.8
2011,May,945,879,66,7.0
2011,Jun,960,886,74,7.7
2011,Jul,955,884,71,7.4
2011,Aug,965,894,71,7.4
2011,Sep,951,885,66,6.9
2011,Oct,920,862,58,6.3
2011,Nov,942,880,62,6.6
2011,Dec,953,891,62,6.5
2012,Jan,917,847,70,7.6
2012,Feb,972,908,64,6.6
2012,Mar,973,912,61,6.3
2012,Apr,970,915,55,5.7
2012,May,963,904,59,6.1
2012,Jun,991,924,67,6.8
2012,Jul,1013,944,69,6.8
2012,Aug,985,922,63,6.4
2012,Sep,996,937,59,5.9
2012,Oct,991,935,56,5.7
2012,Nov,943,891,52,5.5
2012,Dec,952,894,58,6.1
2013,Jan,928,862,66,7.1
2013,Feb,927,871,56,6.0
2013,Mar,921,868,53,5.8
2013,Apr,917,866,51,5.6
2013,May,937,881,56,6.0
2013,Jun,937,877,60,6.4
2013,Jul,927,869,58,6.3
2013,Aug,914,859,55,6.0
2013,Sep,913,860,53,5.8
2013,Oct,898,850,48,5.3
2013,Nov,898,852,46,5.1
2013,Dec,916,871,45,4.9
2014,Jan,870,822,48,5.5
2014,Feb,898,850,48,5.3
2014,Mar,899,853,46,5.1
2014,Apr,893,858,35,3.9
2014,May,892,855,37,4.1
2014,Jun,907,864,43,4.7
2014,Jul,908,862,46,5.1
2014,Aug,874,829,45,5.1
2014,Sep,874,834,40,4.6
2014,Oct,886,852,34,3.8
2014,Nov,887,848,39,4.4
2014,Dec,850,813,37,4.4
2015,Jan,854,807,47,5.5
2015,Feb,858,813,45,5.2
2015,Mar,867,826,41,4.7
2015,Apr,865,828,37,4.3
2015,May,895,847,48,5.4
2015,Jun,890,839,51,5.7
2015,Jul,863,815,48,5.6
2015,Aug,854,809,45,5.3
2015,Sep,853,806,47,5.5
2015,Oct,851,809,42,4.9
2015,Nov,824,783,41,5.0
2015,Dec,809,769,40,4.9
2016,Jan,790,753,37,4.7
2016,Feb,817,777,40,4.9
2016,Mar,829,794,35,4.2
2016,Apr,823,791,32,3.9
2016,May,827,795,32,3.9
2016,Jun,831,792,39,4.7
2016,Jul,818,778,40,4.9
2016,Aug,821,782,39,4.8
2016,Sep,811,772,39,4.8
2016,Oct,804,768,36,4.5
2016,Nov,811,776,35,4.3
2016,Dec,815,783,32,3.9
2017,Jan,787,751,36,4.6
2017,Feb,792,756,36,4.5
2017,Mar,805,770,35,4.3
2017,Apr,801,773,28,3.5
2017,May,812,763,49,6.0
2017,Jun,817,768,49,6.0
2017,Jul,806,761,45,5.6
2017,Aug,815,773,42,5.2
2017,Sep,802,764,38,4.7
2017,Oct,817,779,38,4.7
2017,Nov,812,773,39,4.8
2017,Dec,814,778,36,4.4
2018,Jan,812,777,35,4.3
2018,Feb,814,772,42,5.2
2018,Mar,832,792,40,4.8
2018,Apr,837,801,36,4.3
2018,May,845,811,34,4.0
2018,Jun,856,819,37,4.3
2018,Jul,840,807,33,3.9
2018,Aug,839,806,33,3.9
2018,Sep,837,807,30,3.6
2018,Oct,795,770,25,3.1
2018,Nov,809,783,26,3.2
2018,Dec,810,780,30,3.7
2019,Jan,830,796,34,4.1
2019,Feb,839,807,32,3.8
2019,Mar,836,806,30,3.6
2019,Apr,851,825,26,3.1
2019,May,861,835,26,3.0
2019,Jun,867,835,32,3.7
2019,Jul,869,836,33,3.8
2019,Aug,887,855,32,3.6
2019,Sep,882,852,30,3.4
2019,Oct,881,853,28,3.2
2019,Nov,869,840,29,3.3
2019,Dec,875,848,27,3.1
2020,Jan,858,829,29,3.4
2020,Feb,865,836,29,3.4
2020,Mar,859,820,39,4.5
2020,Apr,737,681,56,7.6
