Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483290000000003,LAUCN483290000000004,LAUCN483290000000005,LAUCN483290000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Midland County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,68687,64058,4629,6.7
2010,Feb,69290,64873,4417,6.4
2010,Mar,69609,65287,4322,6.2
2010,Apr,70922,66750,4172,5.9
2010,May,70749,66673,4076,5.8
2010,Jun,71271,66838,4433,6.2
2010,Jul,72057,67728,4329,6.0
2010,Aug,72179,67977,4202,5.8
2010,Sep,72494,68502,3992,5.5
2010,Oct,72676,68807,3869,5.3
2010,Nov,72986,68994,3992,5.5
2010,Dec,73054,69374,3680,5.0
2011,Jan,74135,70197,3938,5.3
2011,Feb,74407,70651,3756,5.0
2011,Mar,74781,71203,3578,4.8
2011,Apr,75536,72077,3459,4.6
2011,May,76017,72454,3563,4.7
2011,Jun,76530,72451,4079,5.3
2011,Jul,77994,74000,3994,5.1
2011,Aug,77567,73757,3810,4.9
2011,Sep,78072,74303,3769,4.8
2011,Oct,78122,74658,3464,4.4
2011,Nov,78350,75123,3227,4.1
2011,Dec,78598,75487,3111,4.0
2012,Jan,79389,75971,3418,4.3
2012,Feb,80026,76738,3288,4.1
2012,Mar,80244,77102,3142,3.9
2012,Apr,81044,78058,2986,3.7
2012,May,81727,78511,3216,3.9
2012,Jun,82237,78605,3632,4.4
2012,Jul,83538,79888,3650,4.4
2012,Aug,83503,80187,3316,4.0
2012,Sep,83696,80649,3047,3.6
2012,Oct,83916,80960,2956,3.5
2012,Nov,83632,80795,2837,3.4
2012,Dec,83675,80852,2823,3.4
2013,Jan,84450,81067,3383,4.0
2013,Feb,84585,81441,3144,3.7
2013,Mar,84345,81325,3020,3.6
2013,Apr,85818,82925,2893,3.4
2013,May,86054,82869,3185,3.7
2013,Jun,86508,82901,3607,4.2
2013,Jul,87183,83693,3490,4.0
2013,Aug,86506,83243,3263,3.8
2013,Sep,86979,83750,3229,3.7
2013,Oct,86241,83190,3051,3.5
2013,Nov,87073,84234,2839,3.3
2013,Dec,87029,84338,2691,3.1
2014,Jan,88211,85387,2824,3.2
2014,Feb,88615,85753,2862,3.2
2014,Mar,89039,86272,2767,3.1
2014,Apr,89937,87627,2310,2.6
2014,May,90139,87521,2618,2.9
2014,Jun,90832,88004,2828,3.1
2014,Jul,92389,89423,2966,3.2
2014,Aug,92004,89240,2764,3.0
2014,Sep,92564,89965,2599,2.8
2014,Oct,93049,90626,2423,2.6
2014,Nov,93037,90754,2283,2.5
2014,Dec,92766,90653,2113,2.3
2015,Jan,92057,89504,2553,2.8
2015,Feb,90564,87889,2675,3.0
2015,Mar,89567,86763,2804,3.1
2015,Apr,89403,86642,2761,3.1
2015,May,88816,85691,3125,3.5
2015,Jun,88510,85142,3368,3.8
2015,Jul,88092,84749,3343,3.8
2015,Aug,87176,84009,3167,3.6
2015,Sep,86746,83557,3189,3.7
2015,Oct,86483,83240,3243,3.7
2015,Nov,86819,83565,3254,3.7
2015,Dec,86515,83356,3159,3.7
2016,Jan,86578,83193,3385,3.9
2016,Feb,86100,82562,3538,4.1
2016,Mar,85822,82014,3808,4.4
2016,Apr,84974,81195,3779,4.4
2016,May,84138,80358,3780,4.5
2016,Jun,84087,79951,4136,4.9
2016,Jul,84759,80634,4125,4.9
2016,Aug,84200,80197,4003,4.8
2016,Sep,84417,80450,3967,4.7
2016,Oct,84654,81030,3624,4.3
2016,Nov,85156,81762,3394,4.0
2016,Dec,85233,81904,3329,3.9
2017,Jan,86166,82696,3470,4.0
2017,Feb,86907,83578,3329,3.8
2017,Mar,87060,84029,3031,3.5
2017,Apr,88255,85581,2674,3.0
2017,May,88854,86191,2663,3.0
2017,Jun,89903,87105,2798,3.1
2017,Jul,91815,89049,2766,3.0
2017,Aug,92036,89330,2706,2.9
2017,Sep,93252,90818,2434,2.6
2017,Oct,93993,91806,2187,2.3
2017,Nov,95106,92810,2296,2.4
2017,Dec,95750,93578,2172,2.3
2018,Jan,97658,95308,2350,2.4
2018,Feb,99319,96962,2357,2.4
2018,Mar,99712,97430,2282,2.3
2018,Apr,101497,99504,1993,2.0
2018,May,101858,99864,1994,2.0
2018,Jun,102651,100275,2376,2.3
2018,Jul,104813,102556,2257,2.2
2018,Aug,103962,101744,2218,2.1
2018,Sep,105065,102962,2103,2.0
2018,Oct,105806,103748,2058,1.9
2018,Nov,106390,104350,2040,1.9
2018,Dec,106780,104703,2077,1.9
2019,Jan,106368,103992,2376,2.2
2019,Feb,107162,104935,2227,2.1
2019,Mar,106633,104462,2171,2.0
2019,Apr,107251,105471,1780,1.7
2019,May,106821,104937,1884,1.8
2019,Jun,107232,104944,2288,2.1
2019,Jul,108676,106270,2406,2.2
2019,Aug,107772,105352,2420,2.2
2019,Sep,107830,105609,2221,2.1
2019,Oct,108074,105850,2224,2.1
2019,Nov,108232,105951,2281,2.1
2019,Dec,107893,105706,2187,2.0
2020,Jan,107926,105377,2549,2.4
2020,Feb,108114,105606,2508,2.3
2020,Mar,105392,101854,3538,3.4
2020,Apr,93005,83462,9543,10.3
