Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483310000000003,LAUCN483310000000004,LAUCN483310000000005,LAUCN483310000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Milam County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,10395,9097,1298,12.5
2010,Feb,10368,9144,1224,11.8
2010,Mar,10494,9298,1196,11.4
2010,Apr,10652,9520,1132,10.6
2010,May,10529,9389,1140,10.8
2010,Jun,10695,9497,1198,11.2
2010,Jul,10741,9540,1201,11.2
2010,Aug,10646,9459,1187,11.1
2010,Sep,10594,9427,1167,11.0
2010,Oct,10421,9284,1137,10.9
2010,Nov,10479,9333,1146,10.9
2010,Dec,10455,9361,1094,10.5
2011,Jan,10392,9224,1168,11.2
2011,Feb,10361,9229,1132,10.9
2011,Mar,10414,9322,1092,10.5
2011,Apr,10402,9378,1024,9.8
2011,May,10365,9320,1045,10.1
2011,Jun,10492,9350,1142,10.9
2011,Jul,10390,9261,1129,10.9
2011,Aug,10470,9390,1080,10.3
2011,Sep,10483,9428,1055,10.1
2011,Oct,10384,9398,986,9.5
2011,Nov,10356,9424,932,9.0
2011,Dec,10399,9476,923,8.9
2012,Jan,10254,9295,959,9.4
2012,Feb,10197,9259,938,9.2
2012,Mar,10226,9343,883,8.6
2012,Apr,10230,9427,803,7.8
2012,May,10435,9596,839,8.0
2012,Jun,10510,9555,955,9.1
2012,Jul,10437,9479,958,9.2
2012,Aug,10277,9403,874,8.5
2012,Sep,10288,9459,829,8.1
2012,Oct,10198,9401,797,7.8
2012,Nov,10204,9345,859,8.4
2012,Dec,10107,9217,890,8.8
2013,Jan,10126,9151,975,9.6
2013,Feb,10079,9166,913,9.1
2013,Mar,10062,9236,826,8.2
2013,Apr,10117,9387,730,7.2
2013,May,10220,9466,754,7.4
2013,Jun,10335,9486,849,8.2
2013,Jul,10237,9424,813,7.9
2013,Aug,10056,9248,808,8.0
2013,Sep,10126,9355,771,7.6
2013,Oct,10122,9384,738,7.3
2013,Nov,10045,9350,695,6.9
2013,Dec,10012,9357,655,6.5
2014,Jan,10143,9480,663,6.5
2014,Feb,10242,9578,664,6.5
2014,Mar,10293,9640,653,6.3
2014,Apr,10236,9672,564,5.5
2014,May,10299,9685,614,6.0
2014,Jun,10357,9697,660,6.4
2014,Jul,10371,9658,713,6.9
2014,Aug,10298,9594,704,6.8
2014,Sep,10298,9650,648,6.3
2014,Oct,10171,9570,601,5.9
2014,Nov,10144,9550,594,5.9
2014,Dec,10028,9488,540,5.4
2015,Jan,10025,9426,599,6.0
2015,Feb,10096,9545,551,5.5
2015,Mar,10040,9534,506,5.0
2015,Apr,9986,9520,466,4.7
2015,May,10134,9630,504,5.0
2015,Jun,10244,9685,559,5.5
2015,Jul,10215,9640,575,5.6
2015,Aug,10127,9596,531,5.2
2015,Sep,10170,9634,536,5.3
2015,Oct,10197,9670,527,5.2
2015,Nov,10116,9606,510,5.0
2015,Dec,10106,9624,482,4.8
2016,Jan,10110,9602,508,5.0
2016,Feb,10237,9750,487,4.8
2016,Mar,10316,9824,492,4.8
2016,Apr,10254,9802,452,4.4
2016,May,10329,9867,462,4.5
2016,Jun,10357,9785,572,5.5
2016,Jul,10350,9748,602,5.8
2016,Aug,10326,9764,562,5.4
2016,Sep,10322,9749,573,5.6
2016,Oct,10252,9715,537,5.2
2016,Nov,10175,9642,533,5.2
2016,Dec,10126,9572,554,5.5
2017,Jan,10147,9529,618,6.1
2017,Feb,10255,9683,572,5.6
2017,Mar,10339,9801,538,5.2
2017,Apr,10261,9772,489,4.8
2017,May,10180,9701,479,4.7
2017,Jun,10215,9696,519,5.1
2017,Jul,9954,9425,529,5.3
2017,Aug,9973,9451,522,5.2
2017,Sep,10000,9523,477,4.8
2017,Oct,10002,9562,440,4.4
2017,Nov,9955,9489,466,4.7
2017,Dec,9852,9404,448,4.5
2018,Jan,9826,9307,519,5.3
2018,Feb,10023,9350,673,6.7
2018,Mar,10030,9440,590,5.9
2018,Apr,9942,9380,562,5.7
2018,May,9969,9446,523,5.2
2018,Jun,9896,9302,594,6.0
2018,Jul,9856,9281,575,5.8
2018,Aug,9832,9294,538,5.5
2018,Sep,9845,9349,496,5.0
2018,Oct,9835,9373,462,4.7
2018,Nov,9801,9338,463,4.7
2018,Dec,9786,9302,484,4.9
2019,Jan,9845,9172,673,6.8
2019,Feb,9830,9250,580,5.9
2019,Mar,9854,9328,526,5.3
2019,Apr,9735,9298,437,4.5
2019,May,9769,9326,443,4.5
2019,Jun,9850,9344,506,5.1
2019,Jul,9779,9271,508,5.2
2019,Aug,9816,9345,471,4.8
2019,Sep,9791,9354,437,4.5
2019,Oct,9799,9376,423,4.3
2019,Nov,9701,9274,427,4.4
2019,Dec,9690,9276,414,4.3
2020,Jan,9670,9197,473,4.9
2020,Feb,9704,9264,440,4.5
2020,Mar,9630,9027,603,6.3
2020,Apr,8552,7603,949,11.1
