Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483330000000003,LAUCN483330000000004,LAUCN483330000000005,LAUCN483330000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Mills County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,2125,1988,137,6.4
2010,Feb,2110,1968,142,6.7
2010,Mar,2157,2022,135,6.3
2010,Apr,2210,2075,135,6.1
2010,May,2184,2055,129,5.9
2010,Jun,2258,2111,147,6.5
2010,Jul,2225,2083,142,6.4
2010,Aug,2193,2048,145,6.6
2010,Sep,2203,2067,136,6.2
2010,Oct,2197,2060,137,6.2
2010,Nov,2209,2065,144,6.5
2010,Dec,2201,2065,136,6.2
2011,Jan,2172,2024,148,6.8
2011,Feb,2123,1987,136,6.4
2011,Mar,2168,2025,143,6.6
2011,Apr,2153,2024,129,6.0
2011,May,2138,2009,129,6.0
2011,Jun,2190,2043,147,6.7
2011,Jul,2189,2042,147,6.7
2011,Aug,2201,2059,142,6.5
2011,Sep,2190,2043,147,6.7
2011,Oct,2163,2033,130,6.0
2011,Nov,2168,2045,123,5.7
2011,Dec,2210,2092,118,5.3
2012,Jan,2124,2004,120,5.6
2012,Feb,2081,1962,119,5.7
2012,Mar,2095,1980,115,5.5
2012,Apr,2128,2014,114,5.4
2012,May,2120,2006,114,5.4
2012,Jun,2163,2037,126,5.8
2012,Jul,2134,2009,125,5.9
2012,Aug,2089,1970,119,5.7
2012,Sep,2092,1983,109,5.2
2012,Oct,2078,1974,104,5.0
2012,Nov,2067,1966,101,4.9
2012,Dec,2049,1943,106,5.2
2013,Jan,2027,1908,119,5.9
2013,Feb,2004,1900,104,5.2
2013,Mar,2038,1930,108,5.3
2013,Apr,2039,1936,103,5.1
2013,May,2068,1956,112,5.4
2013,Jun,2169,2044,125,5.8
2013,Jul,2157,2043,114,5.3
2013,Aug,2108,2002,106,5.0
2013,Sep,2123,2006,117,5.5
2013,Oct,2060,1958,102,5.0
2013,Nov,2020,1919,101,5.0
2013,Dec,2043,1946,97,4.7
2014,Jan,2026,1925,101,5.0
2014,Feb,2047,1951,96,4.7
2014,Mar,2056,1958,98,4.8
2014,Apr,2061,1982,79,3.8
2014,May,2088,1995,93,4.5
2014,Jun,2101,2006,95,4.5
2014,Jul,2095,1981,114,5.4
2014,Aug,2040,1949,91,4.5
2014,Sep,2039,1956,83,4.1
2014,Oct,2047,1971,76,3.7
2014,Nov,2018,1942,76,3.8
2014,Dec,1994,1928,66,3.3
2015,Jan,1998,1920,78,3.9
2015,Feb,2026,1953,73,3.6
2015,Mar,2045,1977,68,3.3
2015,Apr,2035,1972,63,3.1
2015,May,2053,1978,75,3.7
2015,Jun,2033,1954,79,3.9
2015,Jul,2009,1933,76,3.8
2015,Aug,1953,1881,72,3.7
2015,Sep,1940,1868,72,3.7
2015,Oct,1971,1897,74,3.8
2015,Nov,1923,1848,75,3.9
2015,Dec,1896,1825,71,3.7
2016,Jan,1865,1793,72,3.9
2016,Feb,1932,1860,72,3.7
2016,Mar,1965,1892,73,3.7
2016,Apr,1929,1856,73,3.8
2016,May,1955,1880,75,3.8
2016,Jun,1950,1867,83,4.3
2016,Jul,1923,1832,91,4.7
2016,Aug,1960,1869,91,4.6
2016,Sep,1902,1811,91,4.8
2016,Oct,1899,1816,83,4.4
2016,Nov,1913,1837,76,4.0
2016,Dec,1884,1810,74,3.9
2017,Jan,1885,1801,84,4.5
2017,Feb,1902,1822,80,4.2
2017,Mar,1949,1876,73,3.7
2017,Apr,1901,1840,61,3.2
2017,May,1922,1858,64,3.3
2017,Jun,1923,1853,70,3.6
2017,Jul,1912,1839,73,3.8
2017,Aug,1915,1844,71,3.7
2017,Sep,1906,1843,63,3.3
2017,Oct,1921,1864,57,3.0
2017,Nov,1896,1836,60,3.2
2017,Dec,1910,1855,55,2.9
2018,Jan,1845,1783,62,3.4
2018,Feb,1865,1800,65,3.5
2018,Mar,1949,1879,70,3.6
2018,Apr,1857,1798,59,3.2
2018,May,1900,1838,62,3.3
2018,Jun,1860,1792,68,3.7
2018,Jul,1861,1788,73,3.9
2018,Aug,1900,1832,68,3.6
2018,Sep,1868,1803,65,3.5
2018,Oct,1861,1797,64,3.4
2018,Nov,1850,1787,63,3.4
2018,Dec,1824,1761,63,3.5
2019,Jan,1867,1788,79,4.2
2019,Feb,1882,1812,70,3.7
2019,Mar,1919,1847,72,3.8
2019,Apr,1861,1807,54,2.9
2019,May,1869,1819,50,2.7
2019,Jun,1880,1818,62,3.3
2019,Jul,1927,1861,66,3.4
2019,Aug,1963,1903,60,3.1
2019,Sep,1915,1860,55,2.9
2019,Oct,1938,1884,54,2.8
2019,Nov,1906,1846,60,3.1
2019,Dec,1916,1857,59,3.1
2020,Jan,1900,1838,62,3.3
2020,Feb,1908,1850,58,3.0
2020,Mar,1902,1820,82,4.3
2020,Apr,1596,1518,78,4.9
