Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483350000000003,LAUCN483350000000004,LAUCN483350000000005,LAUCN483350000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Mitchell County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,2895,2639,256,8.8
2010,Feb,2917,2667,250,8.6
2010,Mar,2957,2697,260,8.8
2010,Apr,2995,2740,255,8.5
2010,May,3003,2754,249,8.3
2010,Jun,3033,2774,259,8.5
2010,Jul,3065,2806,259,8.5
2010,Aug,2966,2719,247,8.3
2010,Sep,2963,2739,224,7.6
2010,Oct,2952,2730,222,7.5
2010,Nov,2948,2717,231,7.8
2010,Dec,2955,2736,219,7.4
2011,Jan,2918,2693,225,7.7
2011,Feb,2902,2685,217,7.5
2011,Mar,2952,2734,218,7.4
2011,Apr,2937,2726,211,7.2
2011,May,2937,2732,205,7.0
2011,Jun,2950,2709,241,8.2
2011,Jul,2937,2698,239,8.1
2011,Aug,2968,2728,240,8.1
2011,Sep,2997,2759,238,7.9
2011,Oct,2955,2740,215,7.3
2011,Nov,2944,2743,201,6.8
2011,Dec,2909,2713,196,6.7
2012,Jan,2868,2668,200,7.0
2012,Feb,2864,2674,190,6.6
2012,Mar,2887,2706,181,6.3
2012,Apr,2878,2716,162,5.6
2012,May,2889,2714,175,6.1
2012,Jun,2937,2745,192,6.5
2012,Jul,2933,2743,190,6.5
2012,Aug,2878,2706,172,6.0
2012,Sep,2888,2732,156,5.4
2012,Oct,2861,2712,149,5.2
2012,Nov,2810,2663,147,5.2
2012,Dec,2836,2689,147,5.2
2013,Jan,2846,2660,186,6.5
2013,Feb,2858,2689,169,5.9
2013,Mar,2840,2682,158,5.6
2013,Apr,2873,2719,154,5.4
2013,May,2901,2736,165,5.7
2013,Jun,2953,2770,183,6.2
2013,Jul,2924,2748,176,6.0
2013,Aug,2887,2731,156,5.4
2013,Sep,2902,2749,153,5.3
2013,Oct,2856,2711,145,5.1
2013,Nov,2852,2714,138,4.8
2013,Dec,2848,2723,125,4.4
2014,Jan,2858,2730,128,4.5
2014,Feb,2877,2750,127,4.4
2014,Mar,2899,2772,127,4.4
2014,Apr,2915,2805,110,3.8
2014,May,2918,2796,122,4.2
2014,Jun,2936,2798,138,4.7
2014,Jul,2944,2796,148,5.0
2014,Aug,2921,2783,138,4.7
2014,Sep,2920,2797,123,4.2
2014,Oct,2904,2788,116,4.0
2014,Nov,2907,2801,106,3.6
2014,Dec,2891,2792,99,3.4
2015,Jan,2813,2689,124,4.4
2015,Feb,2811,2684,127,4.5
2015,Mar,2816,2671,145,5.1
2015,Apr,2760,2619,141,5.1
2015,May,2760,2610,150,5.4
2015,Jun,2780,2612,168,6.0
2015,Jul,2743,2559,184,6.7
2015,Aug,2686,2523,163,6.1
2015,Sep,2696,2534,162,6.0
2015,Oct,2711,2547,164,6.0
2015,Nov,2676,2513,163,6.1
2015,Dec,2681,2521,160,6.0
2016,Jan,2637,2464,173,6.6
2016,Feb,2681,2501,180,6.7
2016,Mar,2679,2480,199,7.4
2016,Apr,2641,2459,182,6.9
2016,May,2622,2447,175,6.7
2016,Jun,2635,2448,187,7.1
2016,Jul,2580,2391,189,7.3
2016,Aug,2586,2403,183,7.1
2016,Sep,2555,2361,194,7.6
2016,Oct,2574,2388,186,7.2
2016,Nov,2543,2367,176,6.9
2016,Dec,2564,2396,168,6.6
2017,Jan,2597,2419,178,6.9
2017,Feb,2614,2441,173,6.6
2017,Mar,2608,2457,151,5.8
2017,Apr,2583,2448,135,5.2
2017,May,2536,2403,133,5.2
2017,Jun,2541,2400,141,5.5
2017,Jul,2481,2342,139,5.6
2017,Aug,2449,2318,131,5.3
2017,Sep,2440,2325,115,4.7
2017,Oct,2409,2301,108,4.5
2017,Nov,2368,2253,115,4.9
2017,Dec,2347,2233,114,4.9
2018,Jan,2371,2246,125,5.3
2018,Feb,2383,2267,116,4.9
2018,Mar,2375,2266,109,4.6
2018,Apr,2330,2238,92,3.9
2018,May,2336,2242,94,4.0
2018,Jun,2365,2261,104,4.4
2018,Jul,2278,2182,96,4.2
2018,Aug,2274,2183,91,4.0
2018,Sep,2303,2218,85,3.7
2018,Oct,2313,2234,79,3.4
2018,Nov,2291,2212,79,3.4
2018,Dec,2294,2212,82,3.6
2019,Jan,2298,2203,95,4.1
2019,Feb,2318,2231,87,3.8
2019,Mar,2312,2231,81,3.5
2019,Apr,2313,2245,68,2.9
2019,May,2335,2266,69,3.0
2019,Jun,2334,2244,90,3.9
2019,Jul,2317,2227,90,3.9
2019,Aug,2339,2253,86,3.7
2019,Sep,2333,2249,84,3.6
2019,Oct,2349,2269,80,3.4
2019,Nov,2328,2243,85,3.7
2019,Dec,2325,2251,74,3.2
2020,Jan,2318,2240,78,3.4
2020,Feb,2346,2270,76,3.2
2020,Mar,2308,2202,106,4.6
2020,Apr,2030,1841,189,9.3
