Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483370000000003,LAUCN483370000000004,LAUCN483370000000005,LAUCN483370000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Montague County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,9332,8474,858,9.2
2010,Feb,9273,8459,814,8.8
2010,Mar,9336,8535,801,8.6
2010,Apr,9390,8632,758,8.1
2010,May,9442,8688,754,8.0
2010,Jun,9528,8740,788,8.3
2010,Jul,9453,8685,768,8.1
2010,Aug,9438,8690,748,7.9
2010,Sep,9513,8789,724,7.6
2010,Oct,9386,8703,683,7.3
2010,Nov,9462,8771,691,7.3
2010,Dec,9533,8877,656,6.9
2011,Jan,9462,8761,701,7.4
2011,Feb,9465,8810,655,6.9
2011,Mar,9624,9002,622,6.5
2011,Apr,9487,8903,584,6.2
2011,May,9578,8973,605,6.3
2011,Jun,9822,9148,674,6.9
2011,Jul,9546,8880,666,7.0
2011,Aug,9578,8929,649,6.8
2011,Sep,9831,9195,636,6.5
2011,Oct,9559,8961,598,6.3
2011,Nov,9526,8959,567,6.0
2011,Dec,9746,9215,531,5.4
2012,Jan,9542,8968,574,6.0
2012,Feb,9596,9035,561,5.8
2012,Mar,9633,9082,551,5.7
2012,Apr,9660,9163,497,5.1
2012,May,9774,9240,534,5.5
2012,Jun,9860,9280,580,5.9
2012,Jul,9903,9321,582,5.9
2012,Aug,9937,9380,557,5.6
2012,Sep,10069,9565,504,5.0
2012,Oct,10063,9569,494,4.9
2012,Nov,10033,9556,477,4.8
2012,Dec,10145,9665,480,4.7
2013,Jan,10194,9644,550,5.4
2013,Feb,10307,9789,518,5.0
2013,Mar,10227,9735,492,4.8
2013,Apr,10260,9798,462,4.5
2013,May,10399,9882,517,5.0
2013,Jun,10467,9900,567,5.4
2013,Jul,10428,9865,563,5.4
2013,Aug,10415,9890,525,5.0
2013,Sep,10512,10001,511,4.9
2013,Oct,10425,9921,504,4.8
2013,Nov,10415,9952,463,4.4
2013,Dec,10350,9908,442,4.3
2014,Jan,10126,9657,469,4.6
2014,Feb,10160,9697,463,4.6
2014,Mar,10236,9792,444,4.3
2014,Apr,10090,9719,371,3.7
2014,May,10392,9987,405,3.9
2014,Jun,10386,9972,414,4.0
2014,Jul,10166,9733,433,4.3
2014,Aug,10069,9657,412,4.1
2014,Sep,10110,9730,380,3.8
2014,Oct,10093,9732,361,3.6
2014,Nov,9987,9628,359,3.6
2014,Dec,9967,9644,323,3.2
2015,Jan,10013,9635,378,3.8
2015,Feb,9946,9553,393,4.0
2015,Mar,9854,9460,394,4.0
2015,Apr,9823,9460,363,3.7
2015,May,9791,9380,411,4.2
2015,Jun,9853,9422,431,4.4
2015,Jul,9833,9391,442,4.5
2015,Aug,9618,9207,411,4.3
2015,Sep,9583,9148,435,4.5
2015,Oct,9442,9026,416,4.4
2015,Nov,9352,8942,410,4.4
2015,Dec,9354,8910,444,4.7
2016,Jan,9084,8654,430,4.7
2016,Feb,9027,8601,426,4.7
2016,Mar,9058,8601,457,5.0
2016,Apr,9072,8651,421,4.6
2016,May,9161,8728,433,4.7
2016,Jun,9226,8745,481,5.2
2016,Jul,9082,8597,485,5.3
2016,Aug,8888,8416,472,5.3
2016,Sep,8950,8464,486,5.4
2016,Oct,8934,8499,435,4.9
2016,Nov,8936,8521,415,4.6
2016,Dec,8912,8502,410,4.6
2017,Jan,8948,8502,446,5.0
2017,Feb,9019,8592,427,4.7
2017,Mar,9004,8616,388,4.3
2017,Apr,9182,8816,366,4.0
2017,May,9219,8864,355,3.9
2017,Jun,9219,8848,371,4.0
2017,Jul,9102,8717,385,4.2
2017,Aug,9066,8698,368,4.1
2017,Sep,9129,8802,327,3.6
2017,Oct,9069,8769,300,3.3
2017,Nov,9080,8760,320,3.5
2017,Dec,9018,8714,304,3.4
2018,Jan,8976,8654,322,3.6
2018,Feb,9090,8773,317,3.5
2018,Mar,9107,8817,290,3.2
2018,Apr,9100,8841,259,2.8
2018,May,9160,8893,267,2.9
2018,Jun,9215,8897,318,3.5
2018,Jul,9145,8837,308,3.4
2018,Aug,9104,8809,295,3.2
2018,Sep,9182,8897,285,3.1
2018,Oct,9222,8952,270,2.9
2018,Nov,9179,8912,267,2.9
2018,Dec,9182,8922,260,2.8
2019,Jan,9141,8844,297,3.2
2019,Feb,9216,8936,280,3.0
2019,Mar,9201,8929,272,3.0
2019,Apr,9222,8991,231,2.5
2019,May,9371,9134,237,2.5
2019,Jun,9403,9129,274,2.9
2019,Jul,9404,9122,282,3.0
2019,Aug,9323,9042,281,3.0
2019,Sep,9406,9136,270,2.9
2019,Oct,9429,9169,260,2.8
2019,Nov,9399,9143,256,2.7
2019,Dec,9360,9122,238,2.5
2020,Jan,9355,9059,296,3.2
2020,Feb,9458,9153,305,3.2
2020,Mar,9278,8852,426,4.6
2020,Apr,8404,7445,959,11.4
