Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483390000000003,LAUCN483390000000004,LAUCN483390000000005,LAUCN483390000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Montgomery County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,220942,203182,17760,8.0
2010,Feb,221549,204271,17278,7.8
2010,Mar,222285,205128,17157,7.7
2010,Apr,224720,208142,16578,7.4
2010,May,223901,207498,16403,7.3
2010,Jun,224468,207025,17443,7.8
2010,Jul,225638,208194,17444,7.7
2010,Aug,225419,208336,17083,7.6
2010,Sep,226110,209338,16772,7.4
2010,Oct,225520,209164,16356,7.3
2010,Nov,226385,209522,16863,7.4
2010,Dec,226178,210157,16021,7.1
2011,Jan,228773,211554,17219,7.5
2011,Feb,229361,212609,16752,7.3
2011,Mar,230142,213746,16396,7.1
2011,Apr,230472,214692,15780,6.8
2011,May,230706,214515,16191,7.0
2011,Jun,232148,214278,17870,7.7
2011,Jul,232318,214894,17424,7.5
2011,Aug,231937,215045,16892,7.3
2011,Sep,233725,216918,16807,7.2
2011,Oct,233846,218033,15813,6.8
2011,Nov,233885,218953,14932,6.4
2011,Dec,234080,219639,14441,6.2
2012,Jan,235195,220019,15176,6.5
2012,Feb,236349,221529,14820,6.3
2012,Mar,237027,222833,14194,6.0
2012,Apr,236793,223389,13404,5.7
2012,May,238106,224005,14101,5.9
2012,Jun,240016,224241,15775,6.6
2012,Jul,240730,225017,15713,6.5
2012,Aug,239180,224530,14650,6.1
2012,Sep,241171,227533,13638,5.7
2012,Oct,242183,228839,13344,5.5
2012,Nov,241715,228895,12820,5.3
2012,Dec,242163,229245,12918,5.3
2013,Jan,243952,229196,14756,6.0
2013,Feb,244625,230866,13759,5.6
2013,Mar,244494,231301,13193,5.4
2013,Apr,245428,232862,12566,5.1
2013,May,246481,233122,13359,5.4
2013,Jun,247442,232586,14856,6.0
2013,Jul,247992,233587,14405,5.8
2013,Aug,246335,232818,13517,5.5
2013,Sep,247423,234137,13286,5.4
2013,Oct,246253,233516,12737,5.2
2013,Nov,247876,235787,12089,4.9
2013,Dec,247799,236439,11360,4.6
2014,Jan,251103,238913,12190,4.9
2014,Feb,252883,240470,12413,4.9
2014,Mar,253633,241613,12020,4.7
2014,Apr,252626,242435,10191,4.0
2014,May,253662,242434,11228,4.4
2014,Jun,254131,242236,11895,4.7
2014,Jul,255511,243036,12475,4.9
2014,Aug,254218,242345,11873,4.7
2014,Sep,254938,244001,10937,4.3
2014,Oct,255892,245649,10243,4.0
2014,Nov,255990,245976,10014,3.9
2014,Dec,254835,245738,9097,3.6
2015,Jan,257481,246965,10516,4.1
2015,Feb,257763,247589,10174,3.9
2015,Mar,257612,247568,10044,3.9
2015,Apr,258094,248423,9671,3.7
2015,May,258855,248028,10827,4.2
2015,Jun,258461,246863,11598,4.5
2015,Jul,258755,246879,11876,4.6
2015,Aug,257446,246112,11334,4.4
2015,Sep,257638,246224,11414,4.4
2015,Oct,258621,247213,11408,4.4
2015,Nov,259198,247763,11435,4.4
2015,Dec,259107,248094,11013,4.3
2016,Jan,263642,251912,11730,4.4
2016,Feb,265163,253380,11783,4.4
2016,Mar,265792,253554,12238,4.6
2016,Apr,265738,253585,12153,4.6
2016,May,265210,252921,12289,4.6
2016,Jun,266510,252368,14142,5.3
2016,Jul,267304,252855,14449,5.4
2016,Aug,265801,251523,14278,5.4
2016,Sep,266343,252150,14193,5.3
2016,Oct,266062,252756,13306,5.0
2016,Nov,266056,253267,12789,4.8
2016,Dec,265653,252952,12701,4.8
2017,Jan,268314,254418,13896,5.2
2017,Feb,270248,256663,13585,5.0
2017,Mar,270278,257784,12494,4.6
2017,Apr,270139,258659,11480,4.2
2017,May,269537,258047,11490,4.3
2017,Jun,270303,258220,12083,4.5
2017,Jul,270719,258766,11953,4.4
2017,Aug,269499,257549,11950,4.4
2017,Sep,270623,259433,11190,4.1
2017,Oct,269802,259630,10172,3.8
2017,Nov,271564,260997,10567,3.9
2017,Dec,271508,261146,10362,3.8
2018,Jan,276453,265019,11434,4.1
2018,Feb,280087,268709,11378,4.1
2018,Mar,279696,268870,10826,3.9
2018,Apr,279241,269256,9985,3.6
2018,May,278667,268959,9708,3.5
2018,Jun,279914,268644,11270,4.0
2018,Jul,280418,269592,10826,3.9
2018,Aug,277694,267121,10573,3.8
2018,Sep,279371,269339,10032,3.6
2018,Oct,280677,271070,9607,3.4
2018,Nov,281579,272093,9486,3.4
2018,Dec,282156,272461,9695,3.4
2019,Jan,282366,271365,11001,3.9
2019,Feb,284126,274104,10022,3.5
2019,Mar,283218,273692,9526,3.4
2019,Apr,281540,273430,8110,2.9
2019,May,281724,273191,8533,3.0
2019,Jun,283353,273228,10125,3.6
2019,Jul,284446,273898,10548,3.7
2019,Aug,283152,272818,10334,3.6
2019,Sep,285075,275545,9530,3.3
2019,Oct,285848,276470,9378,3.3
2019,Nov,287306,277749,9557,3.3
2019,Dec,286787,277538,9249,3.2
2020,Jan,286578,276119,10459,3.6
2020,Feb,289593,279483,10110,3.5
2020,Mar,284136,269808,14328,5.0
2020,Apr,262503,228008,34495,13.1
