Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483410000000003,LAUCN483410000000004,LAUCN483410000000005,LAUCN483410000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Moore County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,11295,10618,677,6.0
2010,Feb,11213,10558,655,5.8
2010,Mar,11309,10673,636,5.6
2010,Apr,11503,10907,596,5.2
2010,May,11481,10900,581,5.1
2010,Jun,11714,11072,642,5.5
2010,Jul,11665,11029,636,5.5
2010,Aug,11663,11046,617,5.3
2010,Sep,11788,11185,603,5.1
2010,Oct,11721,11142,579,4.9
2010,Nov,11652,11030,622,5.3
2010,Dec,11587,11002,585,5.0
2011,Jan,11642,11043,599,5.1
2011,Feb,11437,10863,574,5.0
2011,Mar,11638,11084,554,4.8
2011,Apr,11663,11114,549,4.7
2011,May,11673,11107,566,4.8
2011,Jun,11964,11318,646,5.4
2011,Jul,11996,11367,629,5.2
2011,Aug,11981,11387,594,5.0
2011,Sep,11802,11230,572,4.8
2011,Oct,11711,11184,527,4.5
2011,Nov,11799,11297,502,4.3
2011,Dec,11804,11309,495,4.2
2012,Jan,11585,11069,516,4.5
2012,Feb,11538,11037,501,4.3
2012,Mar,11527,11043,484,4.2
2012,Apr,11604,11136,468,4.0
2012,May,11521,11019,502,4.4
2012,Jun,11742,11164,578,4.9
2012,Jul,11857,11275,582,4.9
2012,Aug,11642,11116,526,4.5
2012,Sep,11579,11101,478,4.1
2012,Oct,11608,11145,463,4.0
2012,Nov,11497,11043,454,3.9
2012,Dec,11368,10904,464,4.1
2013,Jan,11311,10784,527,4.7
2013,Feb,11265,10779,486,4.3
2013,Mar,11137,10670,467,4.2
2013,Apr,11352,10898,454,4.0
2013,May,11527,11024,503,4.4
2013,Jun,11596,11029,567,4.9
2013,Jul,11755,11215,540,4.6
2013,Aug,11423,10926,497,4.4
2013,Sep,11514,11024,490,4.3
2013,Oct,11517,11055,462,4.0
2013,Nov,11428,10990,438,3.8
2013,Dec,11452,11044,408,3.6
2014,Jan,11321,10908,413,3.6
2014,Feb,11403,10984,419,3.7
2014,Mar,11372,10969,403,3.5
2014,Apr,11406,11053,353,3.1
2014,May,11446,11034,412,3.6
2014,Jun,11360,10926,434,3.8
2014,Jul,11422,10962,460,4.0
2014,Aug,11320,10896,424,3.7
2014,Sep,11340,10951,389,3.4
2014,Oct,11289,10934,355,3.1
2014,Nov,11113,10769,344,3.1
2014,Dec,10937,10630,307,2.8
2015,Jan,10997,10645,352,3.2
2015,Feb,11093,10749,344,3.1
2015,Mar,11230,10893,337,3.0
2015,Apr,11206,10893,313,2.8
2015,May,11331,10979,352,3.1
2015,Jun,11236,10864,372,3.3
2015,Jul,11133,10760,373,3.4
2015,Aug,10967,10631,336,3.1
2015,Sep,11195,10846,349,3.1
2015,Oct,11065,10712,353,3.2
2015,Nov,10945,10605,340,3.1
2015,Dec,10960,10628,332,3.0
2016,Jan,10726,10389,337,3.1
2016,Feb,10929,10607,322,2.9
2016,Mar,10991,10670,321,2.9
2016,Apr,11021,10740,281,2.5
2016,May,11333,11039,294,2.6
2016,Jun,11263,10901,362,3.2
2016,Jul,11366,11004,362,3.2
2016,Aug,11493,11146,347,3.0
2016,Sep,11410,11060,350,3.1
2016,Oct,11299,10953,346,3.1
2016,Nov,11201,10879,322,2.9
2016,Dec,11224,10894,330,2.9
2017,Jan,11102,10744,358,3.2
2017,Feb,11157,10806,351,3.1
2017,Mar,11260,10943,317,2.8
2017,Apr,11246,10956,290,2.6
2017,May,11218,10900,318,2.8
2017,Jun,11053,10709,344,3.1
2017,Jul,10990,10650,340,3.1
2017,Aug,10890,10565,325,3.0
2017,Sep,10900,10596,304,2.8
2017,Oct,10958,10678,280,2.6
2017,Nov,11054,10751,303,2.7
2017,Dec,11015,10726,289,2.6
2018,Jan,10945,10626,319,2.9
2018,Feb,10894,10583,311,2.9
2018,Mar,10869,10564,305,2.8
2018,Apr,10835,10562,273,2.5
2018,May,10912,10638,274,2.5
2018,Jun,10857,10535,322,3.0
2018,Jul,10931,10639,292,2.7
2018,Aug,11112,10820,292,2.6
2018,Sep,11057,10781,276,2.5
2018,Oct,10742,10488,254,2.4
2018,Nov,10672,10417,255,2.4
2018,Dec,10608,10340,268,2.5
2019,Jan,10661,10367,294,2.8
2019,Feb,10747,10488,259,2.4
2019,Mar,10953,10698,255,2.3
2019,Apr,10931,10725,206,1.9
2019,May,11014,10790,224,2.0
2019,Jun,11050,10773,277,2.5
2019,Jul,10983,10698,285,2.6
2019,Aug,11063,10782,281,2.5
2019,Sep,10969,10713,256,2.3
2019,Oct,10954,10714,240,2.2
2019,Nov,10832,10586,246,2.3
2019,Dec,10829,10587,242,2.2
2020,Jan,10793,10520,273,2.5
2020,Feb,10814,10546,268,2.5
2020,Mar,10672,10294,378,3.5
2020,Apr,9177,8739,438,4.8
