Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483430000000003,LAUCN483430000000004,LAUCN483430000000005,LAUCN483430000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Morris County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,5694,4790,904,15.9
2010,Feb,5729,4837,892,15.6
2010,Mar,5732,4903,829,14.5
2010,Apr,5704,4922,782,13.7
2010,May,5729,4938,791,13.8
2010,Jun,5736,4949,787,13.7
2010,Jul,5808,5016,792,13.6
2010,Aug,5800,5042,758,13.1
2010,Sep,5856,5090,766,13.1
2010,Oct,5831,5089,742,12.7
2010,Nov,5819,5069,750,12.9
2010,Dec,5796,5058,738,12.7
2011,Jan,5780,5034,746,12.9
2011,Feb,5797,5065,732,12.6
2011,Mar,5814,5108,706,12.1
2011,Apr,5768,5099,669,11.6
2011,May,5822,5134,688,11.8
2011,Jun,5851,5116,735,12.6
2011,Jul,5815,5088,727,12.5
2011,Aug,5780,5056,724,12.5
2011,Sep,5841,5139,702,12.0
2011,Oct,5829,5160,669,11.5
2011,Nov,5842,5190,652,11.2
2011,Dec,5830,5200,630,10.8
2012,Jan,5757,5128,629,10.9
2012,Feb,5808,5182,626,10.8
2012,Mar,5809,5219,590,10.2
2012,Apr,5785,5235,550,9.5
2012,May,5873,5310,563,9.6
2012,Jun,5895,5300,595,10.1
2012,Jul,5980,5398,582,9.7
2012,Aug,5875,5309,566,9.6
2012,Sep,5878,5341,537,9.1
2012,Oct,5817,5278,539,9.3
2012,Nov,5776,5263,513,8.9
2012,Dec,5786,5252,534,9.2
2013,Jan,5873,5268,605,10.3
2013,Feb,5833,5251,582,10.0
2013,Mar,5799,5235,564,9.7
2013,Apr,5892,5345,547,9.3
2013,May,5928,5382,546,9.2
2013,Jun,5994,5404,590,9.8
2013,Jul,5887,5304,583,9.9
2013,Aug,5879,5286,593,10.1
2013,Sep,5915,5352,563,9.5
2013,Oct,5717,5174,543,9.5
2013,Nov,5701,5180,521,9.1
2013,Dec,5676,5195,481,8.5
2014,Jan,5782,5286,496,8.6
2014,Feb,5789,5304,485,8.4
2014,Mar,5772,5309,463,8.0
2014,Apr,5621,5210,411,7.3
2014,May,5653,5209,444,7.9
2014,Jun,5676,5213,463,8.2
2014,Jul,5599,5139,460,8.2
2014,Aug,5578,5117,461,8.3
2014,Sep,5569,5149,420,7.5
2014,Oct,5509,5106,403,7.3
2014,Nov,5525,5127,398,7.2
2014,Dec,5502,5126,376,6.8
2015,Jan,5493,5089,404,7.4
2015,Feb,5500,5103,397,7.2
2015,Mar,5467,5076,391,7.2
2015,Apr,5441,4956,485,8.9
2015,May,5435,4928,507,9.3
2015,Jun,5406,4888,518,9.6
2015,Jul,5270,4742,528,10.0
2015,Aug,5257,4760,497,9.5
2015,Sep,5196,4735,461,8.9
2015,Oct,5078,4631,447,8.8
2015,Nov,5106,4641,465,9.1
2015,Dec,5126,4632,494,9.6
2016,Jan,4924,4466,458,9.3
2016,Feb,4922,4511,411,8.4
2016,Mar,4918,4511,407,8.3
2016,Apr,4945,4417,528,10.7
2016,May,4934,4401,533,10.8
2016,Jun,4938,4317,621,12.6
2016,Jul,4953,4341,612,12.4
2016,Aug,4979,4349,630,12.7
2016,Sep,4957,4342,615,12.4
2016,Oct,4767,4217,550,11.5
2016,Nov,4763,4233,530,11.1
2016,Dec,4691,4173,518,11.0
2017,Jan,4719,4144,575,12.2
2017,Feb,4718,4173,545,11.6
2017,Mar,4664,4181,483,10.4
2017,Apr,4705,4258,447,9.5
2017,May,4679,4281,398,8.5
2017,Jun,4625,4235,390,8.4
2017,Jul,4686,4310,376,8.0
2017,Aug,4709,4341,368,7.8
2017,Sep,4697,4376,321,6.8
2017,Oct,4667,4365,302,6.5
2017,Nov,4643,4327,316,6.8
2017,Dec,4620,4318,302,6.5
2018,Jan,4693,4354,339,7.2
2018,Feb,4759,4420,339,7.1
2018,Mar,4719,4402,317,6.7
2018,Apr,4716,4416,300,6.4
2018,May,4740,4443,297,6.3
2018,Jun,4731,4393,338,7.1
2018,Jul,4726,4391,335,7.1
2018,Aug,4690,4381,309,6.6
2018,Sep,4704,4425,279,5.9
2018,Oct,4683,4402,281,6.0
2018,Nov,4684,4406,278,5.9
2018,Dec,4655,4377,278,6.0
2019,Jan,4726,4426,300,6.3
2019,Feb,4779,4513,266,5.6
2019,Mar,4783,4528,255,5.3
2019,Apr,4781,4562,219,4.6
2019,May,4787,4565,222,4.6
2019,Jun,4834,4569,265,5.5
2019,Jul,4861,4583,278,5.7
2019,Aug,4871,4596,275,5.6
2019,Sep,4853,4607,246,5.1
2019,Oct,4820,4574,246,5.1
2019,Nov,4805,4565,240,5.0
2019,Dec,4800,4539,261,5.4
2020,Jan,4849,4569,280,5.8
2020,Feb,4862,4594,268,5.5
2020,Mar,4830,4480,350,7.2
2020,Apr,4377,3767,610,13.9
