Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483450000000003,LAUCN483450000000004,LAUCN483450000000005,LAUCN483450000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Motley County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,593,552,41,6.9
2010,Feb,595,555,40,6.7
2010,Mar,623,583,40,6.4
2010,Apr,649,610,39,6.0
2010,May,642,601,41,6.4
2010,Jun,655,614,41,6.3
2010,Jul,652,612,40,6.1
2010,Aug,639,602,37,5.8
2010,Sep,629,592,37,5.9
2010,Oct,604,567,37,6.1
2010,Nov,602,564,38,6.3
2010,Dec,598,562,36,6.0
2011,Jan,580,539,41,7.1
2011,Feb,577,534,43,7.5
2011,Mar,585,547,38,6.5
2011,Apr,596,560,36,6.0
2011,May,588,549,39,6.6
2011,Jun,625,584,41,6.6
2011,Jul,613,572,41,6.7
2011,Aug,626,581,45,7.2
2011,Sep,608,564,44,7.2
2011,Oct,595,554,41,6.9
2011,Nov,564,521,43,7.6
2011,Dec,566,526,40,7.1
2012,Jan,526,486,40,7.6
2012,Feb,507,470,37,7.3
2012,Mar,514,479,35,6.8
2012,Apr,519,488,31,6.0
2012,May,522,489,33,6.3
2012,Jun,542,510,32,5.9
2012,Jul,540,507,33,6.1
2012,Aug,535,505,30,5.6
2012,Sep,526,499,27,5.1
2012,Oct,520,494,26,5.0
2012,Nov,514,489,25,4.9
2012,Dec,497,471,26,5.2
2013,Jan,483,452,31,6.4
2013,Feb,480,450,30,6.3
2013,Mar,470,444,26,5.5
2013,Apr,492,460,32,6.5
2013,May,504,472,32,6.3
2013,Jun,531,495,36,6.8
2013,Jul,539,507,32,5.9
2013,Aug,518,488,30,5.8
2013,Sep,519,490,29,5.6
2013,Oct,509,479,30,5.9
2013,Nov,481,456,25,5.2
2013,Dec,491,468,23,4.7
2014,Jan,479,456,23,4.8
2014,Feb,487,464,23,4.7
2014,Mar,490,467,23,4.7
2014,Apr,499,479,20,4.0
2014,May,506,484,22,4.3
2014,Jun,523,500,23,4.4
2014,Jul,526,502,24,4.6
2014,Aug,505,484,21,4.2
2014,Sep,499,480,19,3.8
2014,Oct,489,471,18,3.7
2014,Nov,485,465,20,4.1
2014,Dec,478,460,18,3.8
2015,Jan,476,456,20,4.2
2015,Feb,478,460,18,3.8
2015,Mar,497,478,19,3.8
2015,Apr,480,463,17,3.5
2015,May,487,470,17,3.5
2015,Jun,505,486,19,3.8
2015,Jul,521,503,18,3.5
2015,Aug,501,486,15,3.0
2015,Sep,488,472,16,3.3
2015,Oct,501,484,17,3.4
2015,Nov,485,468,17,3.5
2015,Dec,488,473,15,3.1
2016,Jan,478,460,18,3.8
2016,Feb,509,490,19,3.7
2016,Mar,525,505,20,3.8
2016,Apr,518,502,16,3.1
2016,May,534,518,16,3.0
2016,Jun,525,506,19,3.6
2016,Jul,509,489,20,3.9
2016,Aug,516,497,19,3.7
2016,Sep,497,479,18,3.6
2016,Oct,502,485,17,3.4
2016,Nov,498,480,18,3.6
2016,Dec,487,468,19,3.9
2017,Jan,482,463,19,3.9
2017,Feb,500,478,22,4.4
2017,Mar,525,507,18,3.4
2017,Apr,516,500,16,3.1
2017,May,524,507,17,3.2
2017,Jun,521,502,19,3.6
2017,Jul,488,469,19,3.9
2017,Aug,485,466,19,3.9
2017,Sep,474,458,16,3.4
2017,Oct,484,467,17,3.5
2017,Nov,467,450,17,3.6
2017,Dec,468,451,17,3.6
2018,Jan,440,421,19,4.3
2018,Feb,450,430,20,4.4
2018,Mar,482,463,19,3.9
2018,Apr,459,444,15,3.3
2018,May,476,460,16,3.4
2018,Jun,464,447,17,3.7
2018,Jul,459,442,17,3.7
2018,Aug,489,472,17,3.5
2018,Sep,457,440,17,3.7
2018,Oct,466,449,17,3.6
2018,Nov,464,449,15,3.2
2018,Dec,446,430,16,3.6
2019,Jan,452,435,17,3.8
2019,Feb,473,455,18,3.8
2019,Mar,489,470,19,3.9
2019,Apr,483,469,14,2.9
2019,May,485,471,14,2.9
2019,Jun,490,470,20,4.1
2019,Jul,493,475,18,3.7
2019,Aug,502,484,18,3.6
2019,Sep,483,467,16,3.3
2019,Oct,490,476,14,2.9
2019,Nov,471,455,16,3.4
2019,Dec,474,459,15,3.2
2020,Jan,468,450,18,3.8
2020,Feb,470,453,17,3.6
2020,Mar,479,451,28,5.8
2020,Apr,405,381,24,5.9
