Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483470000000003,LAUCN483470000000004,LAUCN483470000000005,LAUCN483470000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Nacogdoches County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,30242,27925,2317,7.7
2010,Feb,30310,28132,2178,7.2
2010,Mar,30567,28406,2161,7.1
2010,Apr,30890,28828,2062,6.7
2010,May,30886,28816,2070,6.7
2010,Jun,30889,28535,2354,7.6
2010,Jul,30727,28380,2347,7.6
2010,Aug,30936,28609,2327,7.5
2010,Sep,31166,29032,2134,6.8
2010,Oct,31077,28997,2080,6.7
2010,Nov,30947,28756,2191,7.1
2010,Dec,30755,28703,2052,6.7
2011,Jan,30913,28713,2200,7.1
2011,Feb,31012,28934,2078,6.7
2011,Mar,30938,28971,1967,6.4
2011,Apr,30425,28426,1999,6.6
2011,May,30267,28222,2045,6.8
2011,Jun,30509,28044,2465,8.1
2011,Jul,30218,27806,2412,8.0
2011,Aug,30626,28272,2354,7.7
2011,Sep,30809,28605,2204,7.2
2011,Oct,30645,28548,2097,6.8
2011,Nov,30757,28780,1977,6.4
2011,Dec,30415,28536,1879,6.2
2012,Jan,30198,28213,1985,6.6
2012,Feb,30200,28248,1952,6.5
2012,Mar,30032,28152,1880,6.3
2012,Apr,29806,28017,1789,6.0
2012,May,29652,27741,1911,6.4
2012,Jun,29784,27494,2290,7.7
2012,Jul,29389,27092,2297,7.8
2012,Aug,29000,26880,2120,7.3
2012,Sep,29233,27340,1893,6.5
2012,Oct,29273,27422,1851,6.3
2012,Nov,29168,27372,1796,6.2
2012,Dec,29136,27335,1801,6.2
2013,Jan,29335,27310,2025,6.9
2013,Feb,29214,27337,1877,6.4
2013,Mar,29058,27195,1863,6.4
2013,Apr,29180,27390,1790,6.1
2013,May,29321,27398,1923,6.6
2013,Jun,29667,27435,2232,7.5
2013,Jul,29352,27203,2149,7.3
2013,Aug,29121,27109,2012,6.9
2013,Sep,29333,27446,1887,6.4
2013,Oct,29146,27351,1795,6.2
2013,Nov,28998,27295,1703,5.9
2013,Dec,29027,27431,1596,5.5
2014,Jan,28838,27194,1644,5.7
2014,Feb,29018,27349,1669,5.8
2014,Mar,28827,27208,1619,5.6
2014,Apr,28669,27303,1366,4.8
2014,May,28683,27116,1567,5.5
2014,Jun,28725,26993,1732,6.0
2014,Jul,28838,27051,1787,6.2
2014,Aug,28512,26804,1708,6.0
2014,Sep,28655,27199,1456,5.1
2014,Oct,28473,27134,1339,4.7
2014,Nov,28417,27117,1300,4.6
2014,Dec,28271,27109,1162,4.1
2015,Jan,27715,26368,1347,4.9
2015,Feb,28017,26758,1259,4.5
2015,Mar,28084,26889,1195,4.3
2015,Apr,28073,26898,1175,4.2
2015,May,28306,26971,1335,4.7
2015,Jun,28260,26730,1530,5.4
2015,Jul,28292,26760,1532,5.4
2015,Aug,28075,26667,1408,5.0
2015,Sep,28226,26921,1305,4.6
2015,Oct,28236,26957,1279,4.5
2015,Nov,28205,26940,1265,4.5
2015,Dec,28117,26930,1187,4.2
2016,Jan,28142,26852,1290,4.6
2016,Feb,28644,27411,1233,4.3
2016,Mar,28643,27372,1271,4.4
2016,Apr,28731,27533,1198,4.2
2016,May,28906,27683,1223,4.2
2016,Jun,28691,27176,1515,5.3
2016,Jul,28659,27121,1538,5.4
2016,Aug,28698,27172,1526,5.3
2016,Sep,28854,27428,1426,4.9
2016,Oct,28838,27500,1338,4.6
2016,Nov,28789,27518,1271,4.4
2016,Dec,28775,27508,1267,4.4
2017,Jan,28492,27080,1412,5.0
2017,Feb,28709,27364,1345,4.7
2017,Mar,28746,27456,1290,4.5
2017,Apr,28777,27621,1156,4.0
2017,May,28778,27614,1164,4.0
2017,Jun,28627,27290,1337,4.7
2017,Jul,28389,27071,1318,4.6
2017,Aug,28319,27004,1315,4.6
2017,Sep,28549,27443,1106,3.9
2017,Oct,28412,27405,1007,3.5
2017,Nov,28522,27458,1064,3.7
2017,Dec,28377,27340,1037,3.7
2018,Jan,28692,27513,1179,4.1
2018,Feb,29028,27898,1130,3.9
2018,Mar,28972,27850,1122,3.9
2018,Apr,28713,27732,981,3.4
2018,May,28614,27639,975,3.4
2018,Jun,28565,27266,1299,4.5
2018,Jul,28504,27252,1252,4.4
2018,Aug,28449,27256,1193,4.2
2018,Sep,28640,27609,1031,3.6
2018,Oct,28538,27511,1027,3.6
2018,Nov,28647,27624,1023,3.6
2018,Dec,28483,27423,1060,3.7
2019,Jan,28508,27273,1235,4.3
2019,Feb,28490,27419,1071,3.8
2019,Mar,28548,27545,1003,3.5
2019,Apr,28065,27233,832,3.0
2019,May,28005,27118,887,3.2
2019,Jun,27947,26741,1206,4.3
2019,Jul,28074,26829,1245,4.4
2019,Aug,27962,26790,1172,4.2
2019,Sep,28278,27249,1029,3.6
2019,Oct,28277,27262,1015,3.6
2019,Nov,28231,27211,1020,3.6
2019,Dec,28125,27162,963,3.4
2020,Jan,28012,26915,1097,3.9
2020,Feb,28241,27171,1070,3.8
2020,Mar,27972,26418,1554,5.6
2020,Apr,24716,22125,2591,10.5
