Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483490000000003,LAUCN483490000000004,LAUCN483490000000005,LAUCN483490000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Navarro County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,22341,20252,2089,9.4
2010,Feb,22307,20204,2103,9.4
2010,Mar,22436,20594,1842,8.2
2010,Apr,22605,20801,1804,8.0
2010,May,22438,20632,1806,8.0
2010,Jun,22776,20815,1961,8.6
2010,Jul,22748,20779,1969,8.7
2010,Aug,22723,20815,1908,8.4
2010,Sep,22934,21095,1839,8.0
2010,Oct,23158,21355,1803,7.8
2010,Nov,23530,21646,1884,8.0
2010,Dec,23314,21549,1765,7.6
2011,Jan,22851,20922,1929,8.4
2011,Feb,22660,20642,2018,8.9
2011,Mar,22902,20993,1909,8.3
2011,Apr,22761,20987,1774,7.8
2011,May,22867,21034,1833,8.0
2011,Jun,22745,20664,2081,9.1
2011,Jul,22980,20959,2021,8.8
2011,Aug,23091,21154,1937,8.4
2011,Sep,23468,21587,1881,8.0
2011,Oct,23488,21725,1763,7.5
2011,Nov,23684,22023,1661,7.0
2011,Dec,23527,21895,1632,6.9
2012,Jan,22884,21148,1736,7.6
2012,Feb,23234,21371,1863,8.0
2012,Mar,22856,21067,1789,7.8
2012,Apr,23067,21473,1594,6.9
2012,May,23073,21431,1642,7.1
2012,Jun,22854,21053,1801,7.9
2012,Jul,23369,21529,1840,7.9
2012,Aug,23342,21609,1733,7.4
2012,Sep,23683,22054,1629,6.9
2012,Oct,23669,22081,1588,6.7
2012,Nov,23539,22026,1513,6.4
2012,Dec,23424,21888,1536,6.6
2013,Jan,22819,21022,1797,7.9
2013,Feb,23054,21269,1785,7.7
2013,Mar,22782,21078,1704,7.5
2013,Apr,23054,21575,1479,6.4
2013,May,23200,21675,1525,6.6
2013,Jun,22814,21119,1695,7.4
2013,Jul,23363,21771,1592,6.8
2013,Aug,23350,21907,1443,6.2
2013,Sep,23808,22385,1423,6.0
2013,Oct,24027,22642,1385,5.8
2013,Nov,24271,22986,1285,5.3
2013,Dec,24141,22924,1217,5.0
2014,Jan,23395,22049,1346,5.8
2014,Feb,23614,22237,1377,5.8
2014,Mar,23037,21654,1383,6.0
2014,Apr,23178,22030,1148,5.0
2014,May,23249,22012,1237,5.3
2014,Jun,23108,21798,1310,5.7
2014,Jul,23030,21693,1337,5.8
2014,Aug,22903,21659,1244,5.4
2014,Sep,23223,22090,1133,4.9
2014,Oct,23214,22176,1038,4.5
2014,Nov,23148,22140,1008,4.4
2014,Dec,22894,21990,904,3.9
2015,Jan,22663,21596,1067,4.7
2015,Feb,23081,22075,1006,4.4
2015,Mar,23098,22085,1013,4.4
2015,Apr,23145,22254,891,3.8
2015,May,23125,22146,979,4.2
2015,Jun,22793,21728,1065,4.7
2015,Jul,22912,21876,1036,4.5
2015,Aug,22665,21712,953,4.2
2015,Sep,22676,21760,916,4.0
2015,Oct,22945,22058,887,3.9
2015,Nov,22877,21996,881,3.9
2015,Dec,22706,21871,835,3.7
2016,Jan,22201,21294,907,4.1
2016,Feb,22555,21633,922,4.1
2016,Mar,22716,21805,911,4.0
2016,Apr,22731,21866,865,3.8
2016,May,22744,21847,897,3.9
2016,Jun,22742,21683,1059,4.7
2016,Jul,22668,21632,1036,4.6
2016,Aug,22708,21704,1004,4.4
2016,Sep,23006,21983,1023,4.4
2016,Oct,23084,22122,962,4.2
2016,Nov,23059,22144,915,4.0
2016,Dec,22874,21974,900,3.9
2017,Jan,22566,21470,1096,4.9
2017,Feb,22885,21841,1044,4.6
2017,Mar,22695,21622,1073,4.7
2017,Apr,22967,22118,849,3.7
2017,May,22915,22075,840,3.7
2017,Jun,22560,21604,956,4.2
2017,Jul,22738,21803,935,4.1
2017,Aug,22607,21705,902,4.0
2017,Sep,22924,22103,821,3.6
2017,Oct,23117,22379,738,3.2
2017,Nov,23094,22307,787,3.4
2017,Dec,22769,22026,743,3.3
2018,Jan,22915,21956,959,4.2
2018,Feb,23528,22624,904,3.8
2018,Mar,23410,22408,1002,4.3
2018,Apr,23586,22762,824,3.5
2018,May,23671,22871,800,3.4
2018,Jun,23315,22387,928,4.0
2018,Jul,23813,22874,939,3.9
2018,Aug,23686,22808,878,3.7
2018,Sep,24015,23199,816,3.4
2018,Oct,24120,23343,777,3.2
2018,Nov,24173,23405,768,3.2
2018,Dec,23569,22769,800,3.4
2019,Jan,23790,22867,923,3.9
2019,Feb,24045,23170,875,3.6
2019,Mar,23524,22651,873,3.7
2019,Apr,23559,22839,720,3.1
2019,May,23734,23059,675,2.8
2019,Jun,23822,23017,805,3.4
2019,Jul,24151,23324,827,3.4
2019,Aug,24276,23473,803,3.3
2019,Sep,24369,23644,725,3.0
2019,Oct,24619,23903,716,2.9
2019,Nov,24593,23883,710,2.9
2019,Dec,24258,23570,688,2.8
2020,Jan,24195,23243,952,3.9
2020,Feb,24462,23624,838,3.4
2020,Mar,23888,22674,1214,5.1
2020,Apr,21299,19208,2091,9.8
