Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483510000000003,LAUCN483510000000004,LAUCN483510000000005,LAUCN483510000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Newton County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,5863,5090,773,13.2
2010,Feb,5869,5121,748,12.7
2010,Mar,5918,5152,766,12.9
2010,Apr,5887,5191,696,11.8
2010,May,5930,5193,737,12.4
2010,Jun,5969,5186,783,13.1
2010,Jul,5986,5218,768,12.8
2010,Aug,5944,5188,756,12.7
2010,Sep,5969,5205,764,12.8
2010,Oct,5961,5246,715,12.0
2010,Nov,5967,5214,753,12.6
2010,Dec,6000,5217,783,13.1
2011,Jan,5953,5153,800,13.4
2011,Feb,5965,5189,776,13.0
2011,Mar,5990,5243,747,12.5
2011,Apr,5993,5240,753,12.6
2011,May,6037,5258,779,12.9
2011,Jun,6100,5274,826,13.5
2011,Jul,6097,5291,806,13.2
2011,Aug,6078,5281,797,13.1
2011,Sep,6101,5334,767,12.6
2011,Oct,6064,5328,736,12.1
2011,Nov,6064,5340,724,11.9
2011,Dec,6045,5325,720,11.9
2012,Jan,5867,5201,666,11.4
2012,Feb,5877,5220,657,11.2
2012,Mar,5860,5224,636,10.9
2012,Apr,5869,5258,611,10.4
2012,May,5856,5231,625,10.7
2012,Jun,5885,5182,703,11.9
2012,Jul,5793,5121,672,11.6
2012,Aug,5735,5073,662,11.5
2012,Sep,5745,5124,621,10.8
2012,Oct,5752,5147,605,10.5
2012,Nov,5680,5097,583,10.3
2012,Dec,5731,5074,657,11.5
2013,Jan,5676,4977,699,12.3
2013,Feb,5665,5040,625,11.0
2013,Mar,5669,5039,630,11.1
2013,Apr,5619,5042,577,10.3
2013,May,5647,5055,592,10.5
2013,Jun,5663,5020,643,11.4
2013,Jul,5591,4962,629,11.3
2013,Aug,5535,4930,605,10.9
2013,Sep,5561,4975,586,10.5
2013,Oct,5542,4985,557,10.1
2013,Nov,5546,4997,549,9.9
2013,Dec,5552,5010,542,9.8
2014,Jan,5535,4989,546,9.9
2014,Feb,5555,5039,516,9.3
2014,Mar,5574,5064,510,9.1
2014,Apr,5568,5122,446,8.0
2014,May,5592,5152,440,7.9
2014,Jun,5590,5116,474,8.5
2014,Jul,5595,5095,500,8.9
2014,Aug,5560,5076,484,8.7
2014,Sep,5561,5124,437,7.9
2014,Oct,5572,5189,383,6.9
2014,Nov,5552,5157,395,7.1
2014,Dec,5541,5141,400,7.2
2015,Jan,5421,4990,431,8.0
2015,Feb,5448,5045,403,7.4
2015,Mar,5386,5020,366,6.8
2015,Apr,5363,4991,372,6.9
2015,May,5424,5018,406,7.5
2015,Jun,5406,4986,420,7.8
2015,Jul,5362,4930,432,8.1
2015,Aug,5301,4900,401,7.6
2015,Sep,5327,4933,394,7.4
2015,Oct,5325,4927,398,7.5
2015,Nov,5317,4903,414,7.8
2015,Dec,5327,4932,395,7.4
2016,Jan,5364,4944,420,7.8
2016,Feb,5389,4999,390,7.2
2016,Mar,5387,4986,401,7.4
2016,Apr,5341,4969,372,7.0
2016,May,5318,4939,379,7.1
2016,Jun,5366,4917,449,8.4
2016,Jul,5325,4868,457,8.6
2016,Aug,5330,4862,468,8.8
2016,Sep,5376,4919,457,8.5
2016,Oct,5344,4937,407,7.6
2016,Nov,5327,4906,421,7.9
2016,Dec,5326,4869,457,8.6
2017,Jan,5328,4820,508,9.5
2017,Feb,5350,4891,459,8.6
2017,Mar,5345,4927,418,7.8
2017,Apr,5315,4917,398,7.5
2017,May,5286,4892,394,7.5
2017,Jun,5315,4871,444,8.4
2017,Jul,5284,4848,436,8.3
2017,Aug,5216,4796,420,8.1
2017,Sep,5217,4798,419,8.0
2017,Oct,5206,4850,356,6.8
2017,Nov,5229,4843,386,7.4
2017,Dec,5231,4823,408,7.8
2018,Jan,5237,4793,444,8.5
2018,Feb,5259,4868,391,7.4
2018,Mar,5215,4852,363,7.0
2018,Apr,5196,4851,345,6.6
2018,May,5193,4871,322,6.2
2018,Jun,5207,4852,355,6.8
2018,Jul,5162,4813,349,6.8
2018,Aug,5139,4800,339,6.6
2018,Sep,5158,4849,309,6.0
2018,Oct,5143,4856,287,5.6
2018,Nov,5162,4865,297,5.8
2018,Dec,5166,4817,349,6.8
2019,Jan,5222,4815,407,7.8
2019,Feb,5208,4880,328,6.3
2019,Mar,5186,4888,298,5.7
2019,Apr,5140,4878,262,5.1
2019,May,5136,4862,274,5.3
2019,Jun,5164,4824,340,6.6
2019,Jul,5169,4795,374,7.2
2019,Aug,5167,4812,355,6.9
2019,Sep,5183,4870,313,6.0
2019,Oct,5206,4912,294,5.6
2019,Nov,5201,4893,308,5.9
2019,Dec,5194,4862,332,6.4
2020,Jan,5246,4858,388,7.4
2020,Feb,5225,4895,330,6.3
2020,Mar,5211,4707,504,9.7
2020,Apr,4734,3951,783,16.5
