Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483530000000003,LAUCN483530000000004,LAUCN483530000000005,LAUCN483530000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Nolan County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,7260,6661,599,8.3
2010,Feb,7245,6638,607,8.4
2010,Mar,7306,6718,588,8.0
2010,Apr,7376,6817,559,7.6
2010,May,7394,6849,545,7.4
2010,Jun,7398,6817,581,7.9
2010,Jul,7375,6801,574,7.8
2010,Aug,7291,6748,543,7.4
2010,Sep,7306,6790,516,7.1
2010,Oct,7327,6831,496,6.8
2010,Nov,7328,6826,502,6.9
2010,Dec,7363,6877,486,6.6
2011,Jan,7447,6904,543,7.3
2011,Feb,7336,6803,533,7.3
2011,Mar,7391,6867,524,7.1
2011,Apr,7410,6919,491,6.6
2011,May,7432,6923,509,6.8
2011,Jun,7523,6959,564,7.5
2011,Jul,7344,6798,546,7.4
2011,Aug,7321,6789,532,7.3
2011,Sep,7304,6774,530,7.3
2011,Oct,7309,6808,501,6.9
2011,Nov,7238,6773,465,6.4
2011,Dec,7174,6730,444,6.2
2012,Jan,7105,6650,455,6.4
2012,Feb,7028,6583,445,6.3
2012,Mar,7053,6612,441,6.3
2012,Apr,7100,6693,407,5.7
2012,May,7116,6697,419,5.9
2012,Jun,7227,6753,474,6.6
2012,Jul,7171,6706,465,6.5
2012,Aug,7088,6667,421,5.9
2012,Sep,7088,6709,379,5.3
2012,Oct,7094,6710,384,5.4
2012,Nov,7019,6649,370,5.3
2012,Dec,7010,6632,378,5.4
2013,Jan,7010,6563,447,6.4
2013,Feb,6965,6542,423,6.1
2013,Mar,6944,6533,411,5.9
2013,Apr,6961,6549,412,5.9
2013,May,6965,6559,406,5.8
2013,Jun,7013,6562,451,6.4
2013,Jul,7007,6577,430,6.1
2013,Aug,6922,6542,380,5.5
2013,Sep,6933,6555,378,5.5
2013,Oct,6961,6603,358,5.1
2013,Nov,6984,6641,343,4.9
2013,Dec,6944,6624,320,4.6
2014,Jan,7038,6711,327,4.6
2014,Feb,7092,6759,333,4.7
2014,Mar,7141,6806,335,4.7
2014,Apr,7058,6771,287,4.1
2014,May,7085,6771,314,4.4
2014,Jun,7092,6766,326,4.6
2014,Jul,7074,6734,340,4.8
2014,Aug,7074,6775,299,4.2
2014,Sep,7076,6789,287,4.1
2014,Oct,6988,6722,266,3.8
2014,Nov,7018,6749,269,3.8
2014,Dec,6935,6688,247,3.6
2015,Jan,6864,6588,276,4.0
2015,Feb,6851,6584,267,3.9
2015,Mar,6872,6617,255,3.7
2015,Apr,6884,6635,249,3.6
2015,May,6888,6608,280,4.1
2015,Jun,6919,6621,298,4.3
2015,Jul,7030,6727,303,4.3
2015,Aug,6987,6707,280,4.0
2015,Sep,6941,6657,284,4.1
2015,Oct,6937,6663,274,3.9
2015,Nov,6908,6624,284,4.1
2015,Dec,6877,6584,293,4.3
2016,Jan,6790,6474,316,4.7
2016,Feb,6867,6550,317,4.6
2016,Mar,6928,6594,334,4.8
2016,Apr,6897,6588,309,4.5
2016,May,6876,6569,307,4.5
2016,Jun,6955,6606,349,5.0
2016,Jul,6930,6574,356,5.1
2016,Aug,6888,6546,342,5.0
2016,Sep,6848,6490,358,5.2
2016,Oct,6820,6485,335,4.9
2016,Nov,6794,6480,314,4.6
2016,Dec,6745,6437,308,4.6
2017,Jan,6775,6446,329,4.9
2017,Feb,6824,6494,330,4.8
2017,Mar,6818,6513,305,4.5
2017,Apr,6777,6508,269,4.0
2017,May,6747,6477,270,4.0
2017,Jun,6810,6513,297,4.4
2017,Jul,6813,6530,283,4.2
2017,Aug,6834,6559,275,4.0
2017,Sep,6762,6518,244,3.6
2017,Oct,6736,6513,223,3.3
2017,Nov,6711,6488,223,3.3
2017,Dec,6739,6514,225,3.3
2018,Jan,6566,6328,238,3.6
2018,Feb,6662,6426,236,3.5
2018,Mar,6695,6471,224,3.3
2018,Apr,6679,6481,198,3.0
2018,May,6641,6447,194,2.9
2018,Jun,6736,6488,248,3.7
2018,Jul,6846,6601,245,3.6
2018,Aug,6797,6570,227,3.3
2018,Sep,6767,6550,217,3.2
2018,Oct,6788,6584,204,3.0
2018,Nov,6723,6527,196,2.9
2018,Dec,6719,6516,203,3.0
2019,Jan,6887,6655,232,3.4
2019,Feb,6844,6630,214,3.1
2019,Mar,6880,6674,206,3.0
2019,Apr,6883,6716,167,2.4
2019,May,6885,6711,174,2.5
2019,Jun,7093,6873,220,3.1
2019,Jul,7191,6965,226,3.1
2019,Aug,7217,6992,225,3.1
2019,Sep,7241,7032,209,2.9
2019,Oct,7279,7079,200,2.7
2019,Nov,7209,7001,208,2.9
2019,Dec,7185,6994,191,2.7
2020,Jan,7354,7123,231,3.1
2020,Feb,7316,7094,222,3.0
2020,Mar,7248,6933,315,4.3
2020,Apr,6179,5781,398,6.4
