Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483550000000003,LAUCN483550000000004,LAUCN483550000000005,LAUCN483550000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Nueces County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,161102,147727,13375,8.3
2010,Feb,161771,148863,12908,8.0
2010,Mar,163463,150675,12788,7.8
2010,Apr,164538,151882,12656,7.7
2010,May,163119,150374,12745,7.8
2010,Jun,163113,149293,13820,8.5
2010,Jul,162815,149092,13723,8.4
2010,Aug,161913,148604,13309,8.2
2010,Sep,162336,149157,13179,8.1
2010,Oct,161661,148755,12906,8.0
2010,Nov,162273,148686,13587,8.4
2010,Dec,161924,148639,13285,8.2
2011,Jan,161848,147805,14043,8.7
2011,Feb,162310,148938,13372,8.2
2011,Mar,163162,150134,13028,8.0
2011,Apr,164575,151964,12611,7.7
2011,May,164838,151864,12974,7.9
2011,Jun,165565,151337,14228,8.6
2011,Jul,164563,150681,13882,8.4
2011,Aug,164004,150561,13443,8.2
2011,Sep,165235,152054,13181,8.0
2011,Oct,165272,152861,12411,7.5
2011,Nov,165242,153407,11835,7.2
2011,Dec,164723,153121,11602,7.0
2012,Jan,164604,152508,12096,7.3
2012,Feb,166028,154443,11585,7.0
2012,Mar,166345,155310,11035,6.6
2012,Apr,167109,156646,10463,6.3
2012,May,167997,157124,10873,6.5
2012,Jun,168070,156074,11996,7.1
2012,Jul,167848,155789,12059,7.2
2012,Aug,166861,155688,11173,6.7
2012,Sep,167301,156976,10325,6.2
2012,Oct,168244,158100,10144,6.0
2012,Nov,167362,157535,9827,5.9
2012,Dec,166591,156556,10035,6.0
2013,Jan,166749,155444,11305,6.8
2013,Feb,167862,157464,10398,6.2
2013,Mar,168508,158279,10229,6.1
2013,Apr,168413,158630,9783,5.8
2013,May,168835,158561,10274,6.1
2013,Jun,169657,158235,11422,6.7
2013,Jul,168648,157559,11089,6.6
2013,Aug,168269,157795,10474,6.2
2013,Sep,168594,158348,10246,6.1
2013,Oct,167627,157711,9916,5.9
2013,Nov,168594,159132,9462,5.6
2013,Dec,167965,159021,8944,5.3
2014,Jan,167231,157843,9388,5.6
2014,Feb,168766,159480,9286,5.5
2014,Mar,169645,160563,9082,5.4
2014,Apr,168043,160154,7889,4.7
2014,May,168716,160210,8506,5.0
2014,Jun,168751,159678,9073,5.4
2014,Jul,168823,159335,9488,5.6
2014,Aug,168293,159217,9076,5.4
2014,Sep,168708,160408,8300,4.9
2014,Oct,168750,160761,7989,4.7
2014,Nov,168245,160316,7929,4.7
2014,Dec,167359,159979,7380,4.4
2015,Jan,165446,157340,8106,4.9
2015,Feb,165478,157820,7658,4.6
2015,Mar,165912,158448,7464,4.5
2015,Apr,166092,158727,7365,4.4
2015,May,166567,158518,8049,4.8
2015,Jun,166492,157922,8570,5.1
2015,Jul,165647,156925,8722,5.3
2015,Aug,165969,157486,8483,5.1
2015,Sep,165596,157213,8383,5.1
2015,Oct,165634,157263,8371,5.1
2015,Nov,165868,157280,8588,5.2
2015,Dec,165342,156939,8403,5.1
2016,Jan,165612,156723,8889,5.4
2016,Feb,167168,158342,8826,5.3
2016,Mar,167953,158779,9174,5.5
2016,Apr,166977,158297,8680,5.2
2016,May,166938,158321,8617,5.2
2016,Jun,168097,158153,9944,5.9
2016,Jul,168754,158676,10078,6.0
2016,Aug,168328,158335,9993,5.9
2016,Sep,168202,158064,10138,6.0
2016,Oct,167714,158128,9586,5.7
2016,Nov,168559,159053,9506,5.6
2016,Dec,167850,158088,9762,5.8
2017,Jan,167922,157201,10721,6.4
2017,Feb,169127,158986,10141,6.0
2017,Mar,170389,161007,9382,5.5
2017,Apr,169447,160613,8834,5.2
2017,May,168688,160194,8494,5.0
2017,Jun,168782,159702,9080,5.4
2017,Jul,167853,158798,9055,5.4
2017,Aug,166814,157539,9275,5.6
2017,Sep,166611,157591,9020,5.4
2017,Oct,166220,157919,8301,5.0
2017,Nov,166729,158241,8488,5.1
2017,Dec,167213,158968,8245,4.9
2018,Jan,167449,158564,8885,5.3
2018,Feb,169380,160879,8501,5.0
2018,Mar,169323,161062,8261,4.9
2018,Apr,168981,161298,7683,4.5
2018,May,168435,161167,7268,4.3
2018,Jun,168801,160356,8445,5.0
2018,Jul,168329,160148,8181,4.9
2018,Aug,166410,158606,7804,4.7
2018,Sep,165828,158462,7366,4.4
2018,Oct,166636,159837,6799,4.1
2018,Nov,167107,160281,6826,4.1
2018,Dec,167517,160318,7199,4.3
2019,Jan,167423,159437,7986,4.8
2019,Feb,167880,160366,7514,4.5
2019,Mar,167527,160477,7050,4.2
2019,Apr,167053,161286,5767,3.5
2019,May,166696,160625,6071,3.6
2019,Jun,167157,159955,7202,4.3
2019,Jul,167471,160113,7358,4.4
2019,Aug,167056,159883,7173,4.3
2019,Sep,166828,160207,6621,4.0
2019,Oct,167773,161388,6385,3.8
2019,Nov,168435,161845,6590,3.9
2019,Dec,167633,160846,6787,4.0
2020,Jan,167148,159551,7597,4.5
2020,Feb,168231,161198,7033,4.2
2020,Mar,165989,156151,9838,5.9
2020,Apr,150800,127021,23779,15.8
