Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483570000000003,LAUCN483570000000004,LAUCN483570000000005,LAUCN483570000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Ochiltree County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,4598,4276,322,7.0
2010,Feb,4589,4271,318,6.9
2010,Mar,4696,4395,301,6.4
2010,Apr,4824,4523,301,6.2
2010,May,4879,4591,288,5.9
2010,Jun,4998,4687,311,6.2
2010,Jul,5027,4729,298,5.9
2010,Aug,4984,4693,291,5.8
2010,Sep,4940,4668,272,5.5
2010,Oct,4961,4708,253,5.1
2010,Nov,4958,4701,257,5.2
2010,Dec,4956,4718,238,4.8
2011,Jan,4915,4658,257,5.2
2011,Feb,4880,4628,252,5.2
2011,Mar,4946,4701,245,5.0
2011,Apr,5033,4789,244,4.8
2011,May,5041,4794,247,4.9
2011,Jun,5235,4952,283,5.4
2011,Jul,5260,4992,268,5.1
2011,Aug,5216,4962,254,4.9
2011,Sep,5179,4927,252,4.9
2011,Oct,5174,4944,230,4.4
2011,Nov,5214,4997,217,4.2
2011,Dec,5201,4998,203,3.9
2012,Jan,5085,4873,212,4.2
2012,Feb,5128,4922,206,4.0
2012,Mar,5189,4995,194,3.7
2012,Apr,5319,5128,191,3.6
2012,May,5403,5199,204,3.8
2012,Jun,5502,5267,235,4.3
2012,Jul,5512,5275,237,4.3
2012,Aug,5417,5202,215,4.0
2012,Sep,5399,5197,202,3.7
2012,Oct,5361,5169,192,3.6
2012,Nov,5294,5107,187,3.5
2012,Dec,5234,5047,187,3.6
2013,Jan,5298,5077,221,4.2
2013,Feb,5301,5088,213,4.0
2013,Mar,5265,5070,195,3.7
2013,Apr,5395,5206,189,3.5
2013,May,5481,5271,210,3.8
2013,Jun,5578,5341,237,4.2
2013,Jul,5619,5392,227,4.0
2013,Aug,5514,5307,207,3.8
2013,Sep,5450,5247,203,3.7
2013,Oct,5429,5239,190,3.5
2013,Nov,5374,5189,185,3.4
2013,Dec,5454,5280,174,3.2
2014,Jan,5526,5345,181,3.3
2014,Feb,5548,5363,185,3.3
2014,Mar,5530,5357,173,3.1
2014,Apr,5516,5371,145,2.6
2014,May,5602,5436,166,3.0
2014,Jun,5719,5540,179,3.1
2014,Jul,5721,5531,190,3.3
2014,Aug,5650,5470,180,3.2
2014,Sep,5650,5485,165,2.9
2014,Oct,5552,5401,151,2.7
2014,Nov,5542,5397,145,2.6
2014,Dec,5395,5264,131,2.4
2015,Jan,5405,5244,161,3.0
2015,Feb,5392,5204,188,3.5
2015,Mar,5332,5127,205,3.8
2015,Apr,5276,5067,209,4.0
2015,May,5279,5035,244,4.6
2015,Jun,5344,5096,248,4.6
2015,Jul,5397,5157,240,4.4
2015,Aug,5288,5057,231,4.4
2015,Sep,5244,5001,243,4.6
2015,Oct,5222,4980,242,4.6
2015,Nov,5101,4857,244,4.8
2015,Dec,4991,4757,234,4.7
2016,Jan,4882,4646,236,4.8
2016,Feb,4962,4724,238,4.8
2016,Mar,4900,4646,254,5.2
2016,Apr,4786,4540,246,5.1
2016,May,4783,4532,251,5.2
2016,Jun,4764,4492,272,5.7
2016,Jul,4666,4395,271,5.8
2016,Aug,4566,4304,262,5.7
2016,Sep,4506,4260,246,5.5
2016,Oct,4418,4193,225,5.1
2016,Nov,4352,4136,216,5.0
2016,Dec,4334,4125,209,4.8
2017,Jan,4389,4175,214,4.9
2017,Feb,4483,4278,205,4.6
2017,Mar,4566,4379,187,4.1
2017,Apr,4558,4389,169,3.7
2017,May,4533,4376,157,3.5
2017,Jun,4544,4378,166,3.7
2017,Jul,4599,4434,165,3.6
2017,Aug,4544,4378,166,3.7
2017,Sep,4500,4357,143,3.2
2017,Oct,4551,4421,130,2.9
2017,Nov,4528,4391,137,3.0
2017,Dec,4485,4354,131,2.9
2018,Jan,4460,4323,137,3.1
2018,Feb,4459,4322,137,3.1
2018,Mar,4492,4361,131,2.9
2018,Apr,4397,4281,116,2.6
2018,May,4454,4339,115,2.6
2018,Jun,4484,4348,136,3.0
2018,Jul,4530,4400,130,2.9
2018,Aug,4496,4375,121,2.7
2018,Sep,4510,4393,117,2.6
2018,Oct,4449,4339,110,2.5
2018,Nov,4396,4284,112,2.5
2018,Dec,4340,4226,114,2.6
2019,Jan,4356,4229,127,2.9
2019,Feb,4380,4267,113,2.6
2019,Mar,4374,4258,116,2.7
2019,Apr,4311,4217,94,2.2
2019,May,4317,4216,101,2.3
2019,Jun,4300,4178,122,2.8
2019,Jul,4317,4190,127,2.9
2019,Aug,4296,4179,117,2.7
2019,Sep,4336,4221,115,2.7
2019,Oct,4353,4242,111,2.5
2019,Nov,4312,4186,126,2.9
2019,Dec,4305,4172,133,3.1
2020,Jan,4311,4171,140,3.2
2020,Feb,4335,4188,147,3.4
2020,Mar,4277,4067,210,4.9
2020,Apr,3633,3348,285,7.8
