Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483590000000003,LAUCN483590000000004,LAUCN483590000000005,LAUCN483590000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Oldham County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,934,887,47,5.0
2010,Feb,927,884,43,4.6
2010,Mar,945,899,46,4.9
2010,Apr,965,919,46,4.8
2010,May,968,925,43,4.4
2010,Jun,971,928,43,4.4
2010,Jul,973,928,45,4.6
2010,Aug,959,918,41,4.3
2010,Sep,973,928,45,4.6
2010,Oct,969,929,40,4.1
2010,Nov,976,927,49,5.0
2010,Dec,973,928,45,4.6
2011,Jan,956,911,45,4.7
2011,Feb,949,906,43,4.5
2011,Mar,970,926,44,4.5
2011,Apr,979,936,43,4.4
2011,May,980,936,44,4.5
2011,Jun,992,944,48,4.8
2011,Jul,989,946,43,4.3
2011,Aug,994,954,40,4.0
2011,Sep,994,952,42,4.2
2011,Oct,981,940,41,4.2
2011,Nov,987,950,37,3.7
2011,Dec,988,952,36,3.6
2012,Jan,937,897,40,4.3
2012,Feb,933,895,38,4.1
2012,Mar,940,902,38,4.0
2012,Apr,950,916,34,3.6
2012,May,953,915,38,4.0
2012,Jun,968,922,46,4.8
2012,Jul,965,921,44,4.6
2012,Aug,945,904,41,4.3
2012,Sep,960,917,43,4.5
2012,Oct,961,919,42,4.4
2012,Nov,954,914,40,4.2
2012,Dec,944,902,42,4.4
2013,Jan,948,897,51,5.4
2013,Feb,949,900,49,5.2
2013,Mar,936,895,41,4.4
2013,Apr,960,922,38,4.0
2013,May,971,931,40,4.1
2013,Jun,978,933,45,4.6
2013,Jul,983,936,47,4.8
2013,Aug,954,915,39,4.1
2013,Sep,966,926,40,4.1
2013,Oct,970,927,43,4.4
2013,Nov,952,911,41,4.3
2013,Dec,958,921,37,3.9
2014,Jan,932,893,39,4.2
2014,Feb,954,911,43,4.5
2014,Mar,948,910,38,4.0
2014,Apr,957,925,32,3.3
2014,May,960,927,33,3.4
2014,Jun,958,923,35,3.7
2014,Jul,952,915,37,3.9
2014,Aug,931,897,34,3.7
2014,Sep,935,904,31,3.3
2014,Oct,939,908,31,3.3
2014,Nov,926,896,30,3.2
2014,Dec,914,889,25,2.7
2015,Jan,904,876,28,3.1
2015,Feb,922,897,25,2.7
2015,Mar,930,905,25,2.7
2015,Apr,924,899,25,2.7
2015,May,935,905,30,3.2
2015,Jun,925,898,27,2.9
2015,Jul,911,882,29,3.2
2015,Aug,898,869,29,3.2
2015,Sep,910,880,30,3.3
2015,Oct,911,882,29,3.2
2015,Nov,896,872,24,2.7
2015,Dec,904,880,24,2.7
2016,Jan,883,859,24,2.7
2016,Feb,919,894,25,2.7
2016,Mar,927,903,24,2.6
2016,Apr,930,905,25,2.7
2016,May,941,914,27,2.9
2016,Jun,917,891,26,2.8
2016,Jul,897,868,29,3.2
2016,Aug,902,874,28,3.1
2016,Sep,900,868,32,3.6
2016,Oct,894,866,28,3.1
2016,Nov,893,866,27,3.0
2016,Dec,890,862,28,3.1
2017,Jan,882,858,24,2.7
2017,Feb,902,877,25,2.8
2017,Mar,926,902,24,2.6
2017,Apr,923,903,20,2.2
2017,May,925,901,24,2.6
2017,Jun,908,885,23,2.5
2017,Jul,886,862,24,2.7
2017,Aug,892,869,23,2.6
2017,Sep,892,869,23,2.6
2017,Oct,902,882,20,2.2
2017,Nov,893,871,22,2.5
2017,Dec,891,871,20,2.2
2018,Jan,884,862,22,2.5
2018,Feb,905,882,23,2.5
2018,Mar,927,902,25,2.7
2018,Apr,910,889,21,2.3
2018,May,926,904,22,2.4
2018,Jun,910,886,24,2.6
2018,Jul,900,876,24,2.7
2018,Aug,909,885,24,2.6
2018,Sep,909,884,25,2.8
2018,Oct,902,878,24,2.7
2018,Nov,901,876,25,2.8
2018,Dec,887,863,24,2.7
2019,Jan,884,857,27,3.1
2019,Feb,903,878,25,2.8
2019,Mar,918,892,26,2.8
2019,Apr,914,891,23,2.5
2019,May,923,900,23,2.5
2019,Jun,916,887,29,3.2
2019,Jul,916,886,30,3.3
2019,Aug,932,903,29,3.1
2019,Sep,918,893,25,2.7
2019,Oct,929,906,23,2.5
2019,Nov,916,890,26,2.8
2019,Dec,919,894,25,2.7
2020,Jan,916,887,29,3.2
2020,Feb,929,900,29,3.1
2020,Mar,916,881,35,3.8
2020,Apr,804,758,46,5.7
