Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483610000000003,LAUCN483610000000004,LAUCN483610000000005,LAUCN483610000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Orange County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,38080,33521,4559,12.0
2010,Feb,38183,33708,4475,11.7
2010,Mar,38343,33803,4540,11.8
2010,Apr,38279,33992,4287,11.2
2010,May,38360,34015,4345,11.3
2010,Jun,38435,33886,4549,11.8
2010,Jul,38753,34098,4655,12.0
2010,Aug,38510,33971,4539,11.8
2010,Sep,38549,34075,4474,11.6
2010,Oct,38606,34342,4264,11.0
2010,Nov,38720,34175,4545,11.7
2010,Dec,38764,34206,4558,11.8
2011,Jan,38830,34025,4805,12.4
2011,Feb,38880,34286,4594,11.8
2011,Mar,38998,34533,4465,11.4
2011,Apr,38849,34493,4356,11.2
2011,May,39116,34593,4523,11.6
2011,Jun,39405,34601,4804,12.2
2011,Jul,39457,34721,4736,12.0
2011,Aug,39360,34604,4756,12.1
2011,Sep,39574,35013,4561,11.5
2011,Oct,39387,35094,4293,10.9
2011,Nov,39306,35134,4172,10.6
2011,Dec,39082,35001,4081,10.4
2012,Jan,39315,35149,4166,10.6
2012,Feb,39319,35306,4013,10.2
2012,Mar,39164,35267,3897,10.0
2012,Apr,39109,35430,3679,9.4
2012,May,39125,35204,3921,10.0
2012,Jun,39275,34830,4445,11.3
2012,Jul,38878,34426,4452,11.5
2012,Aug,38391,34168,4223,11.0
2012,Sep,38555,34536,4019,10.4
2012,Oct,38644,34736,3908,10.1
2012,Nov,38289,34438,3851,10.1
2012,Dec,38521,34328,4193,10.9
2013,Jan,38453,33964,4489,11.7
2013,Feb,38480,34393,4087,10.6
2013,Mar,38345,34362,3983,10.4
2013,Apr,38148,34325,3823,10.0
2013,May,38221,34322,3899,10.2
2013,Jun,38238,34023,4215,11.0
2013,Jul,37711,33613,4098,10.9
2013,Aug,37551,33496,4055,10.8
2013,Sep,37612,33779,3833,10.2
2013,Oct,37595,33841,3754,10.0
2013,Nov,37725,34094,3631,9.6
2013,Dec,37637,34101,3536,9.4
2014,Jan,37816,34166,3650,9.7
2014,Feb,37943,34444,3499,9.2
2014,Mar,37941,34600,3341,8.8
2014,Apr,37794,34954,2840,7.5
2014,May,37988,35117,2871,7.6
2014,Jun,37892,34878,3014,8.0
2014,Jul,38012,34763,3249,8.5
2014,Aug,37920,34710,3210,8.5
2014,Sep,37936,35051,2885,7.6
2014,Oct,38147,35542,2605,6.8
2014,Nov,38026,35408,2618,6.9
2014,Dec,37806,35301,2505,6.6
2015,Jan,37679,34969,2710,7.2
2015,Feb,37665,35235,2430,6.5
2015,Mar,37292,35013,2279,6.1
2015,Apr,37089,34912,2177,5.9
2015,May,37394,35063,2331,6.2
2015,Jun,37256,34818,2438,6.5
2015,Jul,37073,34515,2558,6.9
2015,Aug,36862,34375,2487,6.7
2015,Sep,36979,34572,2407,6.5
2015,Oct,36936,34542,2394,6.5
2015,Nov,36982,34483,2499,6.8
2015,Dec,37042,34641,2401,6.5
2016,Jan,37501,35064,2437,6.5
2016,Feb,37569,35264,2305,6.1
2016,Mar,37504,35131,2373,6.3
2016,Apr,37290,35034,2256,6.0
2016,May,37049,34742,2307,6.2
2016,Jun,37296,34708,2588,6.9
2016,Jul,37197,34507,2690,7.2
2016,Aug,37131,34393,2738,7.4
2016,Sep,37503,34812,2691,7.2
2016,Oct,37414,34990,2424,6.5
2016,Nov,37326,34800,2526,6.8
2016,Dec,37227,34577,2650,7.1
2017,Jan,37353,34415,2938,7.9
2017,Feb,37609,34861,2748,7.3
2017,Mar,37410,34920,2490,6.7
2017,Apr,37262,34879,2383,6.4
2017,May,37019,34695,2324,6.3
2017,Jun,37068,34617,2451,6.6
2017,Jul,37042,34606,2436,6.6
2017,Aug,36586,34140,2446,6.7
2017,Sep,37445,34245,3200,8.5
2017,Oct,36995,34517,2478,6.7
2017,Nov,37016,34588,2428,6.6
2017,Dec,36937,34437,2500,6.8
2018,Jan,36842,34197,2645,7.2
2018,Feb,37096,34664,2432,6.6
2018,Mar,36688,34411,2277,6.2
2018,Apr,36612,34503,2109,5.8
2018,May,36502,34530,1972,5.4
2018,Jun,36572,34450,2122,5.8
2018,Jul,36365,34251,2114,5.8
2018,Aug,36117,34032,2085,5.8
2018,Sep,36362,34428,1934,5.3
2018,Oct,36297,34523,1774,4.9
2018,Nov,36408,34636,1772,4.9
2018,Dec,36344,34390,1954,5.4
2019,Jan,36595,34376,2219,6.1
2019,Feb,36665,34750,1915,5.2
2019,Mar,36499,34704,1795,4.9
2019,Apr,36223,34660,1563,4.3
2019,May,36131,34488,1643,4.5
2019,Jun,36238,34276,1962,5.4
2019,Jul,36175,34071,2104,5.8
2019,Aug,36124,34082,2042,5.7
2019,Sep,36458,34607,1851,5.1
2019,Oct,36536,34809,1727,4.7
2019,Nov,36662,34823,1839,5.0
2019,Dec,36434,34575,1859,5.1
2020,Jan,36605,34573,2032,5.6
2020,Feb,36634,34803,1831,5.0
2020,Mar,36154,33412,2742,7.6
2020,Apr,33934,27963,5971,17.6
