Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483630000000003,LAUCN483630000000004,LAUCN483630000000005,LAUCN483630000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Palo Pinto County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,13034,11761,1273,9.8
2010,Feb,13002,11813,1189,9.1
2010,Mar,13132,11981,1151,8.8
2010,Apr,13242,12169,1073,8.1
2010,May,13222,12143,1079,8.2
2010,Jun,13470,12320,1150,8.5
2010,Jul,13461,12303,1158,8.6
2010,Aug,13337,12207,1130,8.5
2010,Sep,13289,12179,1110,8.4
2010,Oct,13269,12164,1105,8.3
2010,Nov,13301,12127,1174,8.8
2010,Dec,13284,12165,1119,8.4
2011,Jan,13236,12091,1145,8.7
2011,Feb,13146,12048,1098,8.4
2011,Mar,13271,12204,1067,8.0
2011,Apr,13355,12326,1029,7.7
2011,May,13398,12347,1051,7.8
2011,Jun,13674,12521,1153,8.4
2011,Jul,13733,12597,1136,8.3
2011,Aug,13690,12576,1114,8.1
2011,Sep,13692,12602,1090,8.0
2011,Oct,13537,12516,1021,7.5
2011,Nov,13538,12571,967,7.1
2011,Dec,13501,12572,929,6.9
2012,Jan,13203,12236,967,7.3
2012,Feb,13223,12282,941,7.1
2012,Mar,13232,12329,903,6.8
2012,Apr,13284,12437,847,6.4
2012,May,13386,12487,899,6.7
2012,Jun,13676,12684,992,7.3
2012,Jul,13717,12742,975,7.1
2012,Aug,13561,12656,905,6.7
2012,Sep,13530,12666,864,6.4
2012,Oct,13464,12606,858,6.4
2012,Nov,13386,12542,844,6.3
2012,Dec,13359,12503,856,6.4
2013,Jan,13169,12224,945,7.2
2013,Feb,13286,12348,938,7.1
2013,Mar,13238,12356,882,6.7
2013,Apr,13369,12554,815,6.1
2013,May,13518,12660,858,6.3
2013,Jun,13687,12737,950,6.9
2013,Jul,13565,12658,907,6.7
2013,Aug,13501,12650,851,6.3
2013,Sep,13586,12693,893,6.6
2013,Oct,13309,12427,882,6.6
2013,Nov,13243,12426,817,6.2
2013,Dec,13151,12383,768,5.8
2014,Jan,13255,12464,791,6.0
2014,Feb,13362,12569,793,5.9
2014,Mar,13435,12661,774,5.8
2014,Apr,13455,12797,658,4.9
2014,May,13479,12788,691,5.1
2014,Jun,13534,12818,716,5.3
2014,Jul,13573,12830,743,5.5
2014,Aug,13484,12800,684,5.1
2014,Sep,13447,12804,643,4.8
2014,Oct,13375,12766,609,4.6
2014,Nov,13243,12640,603,4.6
2014,Dec,13049,12489,560,4.3
2015,Jan,12945,12318,627,4.8
2015,Feb,13047,12399,648,5.0
2015,Mar,13071,12439,632,4.8
2015,Apr,13100,12479,621,4.7
2015,May,13176,12484,692,5.3
2015,Jun,13232,12519,713,5.4
2015,Jul,13275,12547,728,5.5
2015,Aug,13186,12495,691,5.2
2015,Sep,13174,12491,683,5.2
2015,Oct,13243,12538,705,5.3
2015,Nov,13288,12540,748,5.6
2015,Dec,13281,12560,721,5.4
2016,Jan,13241,12498,743,5.6
2016,Feb,13359,12631,728,5.4
2016,Mar,13412,12650,762,5.7
2016,Apr,13395,12670,725,5.4
2016,May,13364,12674,690,5.2
2016,Jun,13430,12669,761,5.7
2016,Jul,13245,12471,774,5.8
2016,Aug,13218,12464,754,5.7
2016,Sep,13249,12517,732,5.5
2016,Oct,13036,12356,680,5.2
2016,Nov,13004,12343,661,5.1
2016,Dec,12972,12318,654,5.0
2017,Jan,13034,12363,671,5.1
2017,Feb,13228,12557,671,5.1
2017,Mar,13271,12669,602,4.5
2017,Apr,13327,12794,533,4.0
2017,May,13457,12926,531,3.9
2017,Jun,13585,13032,553,4.1
2017,Jul,13603,13038,565,4.2
2017,Aug,13523,12978,545,4.0
2017,Sep,13582,13072,510,3.8
2017,Oct,13423,12954,469,3.5
2017,Nov,13405,12925,480,3.6
2017,Dec,13362,12910,452,3.4
2018,Jan,13294,12792,502,3.8
2018,Feb,13440,12941,499,3.7
2018,Mar,13552,13076,476,3.5
2018,Apr,13453,13041,412,3.1
2018,May,13442,13035,407,3.0
2018,Jun,13632,13140,492,3.6
2018,Jul,13632,13167,465,3.4
2018,Aug,13481,13040,441,3.3
2018,Sep,13549,13124,425,3.1
2018,Oct,13497,13093,404,3.0
2018,Nov,13548,13124,424,3.1
2018,Dec,13491,13063,428,3.2
2019,Jan,13461,12971,490,3.6
2019,Feb,13544,13085,459,3.4
2019,Mar,13622,13173,449,3.3
2019,Apr,13529,13169,360,2.7
2019,May,13651,13258,393,2.9
2019,Jun,13719,13261,458,3.3
2019,Jul,13712,13236,476,3.5
2019,Aug,13575,13126,449,3.3
2019,Sep,13632,13217,415,3.0
2019,Oct,13605,13209,396,2.9
2019,Nov,13625,13223,402,3.0
2019,Dec,13556,13176,380,2.8
2020,Jan,13498,13054,444,3.3
2020,Feb,13583,13157,426,3.1
2020,Mar,13399,12789,610,4.6
2020,Apr,12048,10774,1274,10.6
