Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483650000000003,LAUCN483650000000004,LAUCN483650000000005,LAUCN483650000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Panola County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,11107,9948,1159,10.4
2010,Feb,11141,10037,1104,9.9
2010,Mar,11274,10199,1075,9.5
2010,Apr,11418,10403,1015,8.9
2010,May,11304,10294,1010,8.9
2010,Jun,11506,10448,1058,9.2
2010,Jul,11638,10558,1080,9.3
2010,Aug,11621,10610,1011,8.7
2010,Sep,11711,10735,976,8.3
2010,Oct,11390,10439,951,8.3
2010,Nov,11357,10388,969,8.5
2010,Dec,11377,10414,963,8.5
2011,Jan,11482,10467,1015,8.8
2011,Feb,11462,10514,948,8.3
2011,Mar,11590,10650,940,8.1
2011,Apr,11629,10690,939,8.1
2011,May,11649,10679,970,8.3
2011,Jun,11781,10728,1053,8.9
2011,Jul,11958,10916,1042,8.7
2011,Aug,12473,11452,1021,8.2
2011,Sep,12578,11574,1004,8.0
2011,Oct,12252,11292,960,7.8
2011,Nov,12188,11278,910,7.5
2011,Dec,12277,11370,907,7.4
2012,Jan,12123,11212,911,7.5
2012,Feb,12099,11229,870,7.2
2012,Mar,12074,11229,845,7.0
2012,Apr,12244,11459,785,6.4
2012,May,12222,11403,819,6.7
2012,Jun,12274,11354,920,7.5
2012,Jul,12443,11534,909,7.3
2012,Aug,12344,11474,870,7.0
2012,Sep,12494,11698,796,6.4
2012,Oct,12571,11780,791,6.3
2012,Nov,12474,11681,793,6.4
2012,Dec,12504,11669,835,6.7
2013,Jan,12738,11835,903,7.1
2013,Feb,12670,11828,842,6.6
2013,Mar,12517,11728,789,6.3
2013,Apr,12642,11885,757,6.0
2013,May,12664,11893,771,6.1
2013,Jun,12764,11895,869,6.8
2013,Jul,12926,12089,837,6.5
2013,Aug,12949,12161,788,6.1
2013,Sep,12938,12175,763,5.9
2013,Oct,12745,11993,752,5.9
2013,Nov,12730,12012,718,5.6
2013,Dec,12699,12029,670,5.3
2014,Jan,12635,11954,681,5.4
2014,Feb,12800,12113,687,5.4
2014,Mar,12955,12289,666,5.1
2014,Apr,12664,12102,562,4.4
2014,May,12713,12077,636,5.0
2014,Jun,12787,12120,667,5.2
2014,Jul,12850,12171,679,5.3
2014,Aug,12733,12071,662,5.2
2014,Sep,12654,12057,597,4.7
2014,Oct,12279,11709,570,4.6
2014,Nov,12010,11467,543,4.5
2014,Dec,11803,11306,497,4.2
2015,Jan,12174,11615,559,4.6
2015,Feb,12125,11592,533,4.4
2015,Mar,12032,11514,518,4.3
2015,Apr,12062,11515,547,4.5
2015,May,12041,11443,598,5.0
2015,Jun,11756,11120,636,5.4
2015,Jul,11706,11041,665,5.7
2015,Aug,11499,10863,636,5.5
2015,Sep,11372,10733,639,5.6
2015,Oct,10880,10243,637,5.9
2015,Nov,10685,10038,647,6.1
2015,Dec,10524,9897,627,6.0
2016,Jan,10312,9649,663,6.4
2016,Feb,10330,9657,673,6.5
2016,Mar,10420,9698,722,6.9
2016,Apr,10166,9453,713,7.0
2016,May,10153,9441,712,7.0
2016,Jun,10110,9282,828,8.2
2016,Jul,10171,9360,811,8.0
2016,Aug,10181,9385,796,7.8
2016,Sep,10222,9449,773,7.6
2016,Oct,10246,9530,716,7.0
2016,Nov,10169,9475,694,6.8
2016,Dec,10222,9541,681,6.7
2017,Jan,10101,9373,728,7.2
2017,Feb,10506,9816,690,6.6
2017,Mar,10663,10030,633,5.9
2017,Apr,10327,9769,558,5.4
2017,May,10266,9722,544,5.3
2017,Jun,10285,9688,597,5.8
2017,Jul,10330,9754,576,5.6
2017,Aug,10488,9903,585,5.6
2017,Sep,10505,10022,483,4.6
2017,Oct,10516,10071,445,4.2
2017,Nov,10448,9982,466,4.5
2017,Dec,10447,9984,463,4.4
2018,Jan,10648,10133,515,4.8
2018,Feb,10914,10423,491,4.5
2018,Mar,10930,10454,476,4.4
2018,Apr,10636,10196,440,4.1
2018,May,10386,9962,424,4.1
2018,Jun,10296,9784,512,5.0
2018,Jul,10434,9962,472,4.5
2018,Aug,10613,10170,443,4.2
2018,Sep,10764,10359,405,3.8
2018,Oct,10742,10355,387,3.6
2018,Nov,11029,10648,381,3.5
2018,Dec,11005,10623,382,3.5
2019,Jan,10586,10141,445,4.2
2019,Feb,10465,10044,421,4.0
2019,Mar,10492,10073,419,4.0
2019,Apr,10236,9904,332,3.2
2019,May,10053,9694,359,3.6
2019,Jun,10088,9665,423,4.2
2019,Jul,10080,9626,454,4.5
2019,Aug,10047,9620,427,4.3
2019,Sep,10046,9640,406,4.0
2019,Oct,10112,9712,400,4.0
2019,Nov,10139,9720,419,4.1
2019,Dec,10150,9750,400,3.9
2020,Jan,10050,9575,475,4.7
2020,Feb,10225,9761,464,4.5
2020,Mar,10208,9554,654,6.4
2020,Apr,8899,7944,955,10.7
