Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483670000000003,LAUCN483670000000004,LAUCN483670000000005,LAUCN483670000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Parker County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,55529,50981,4548,8.2
2010,Feb,55606,51192,4414,7.9
2010,Mar,56004,51599,4405,7.9
2010,Apr,56563,52303,4260,7.5
2010,May,56321,52140,4181,7.4
2010,Jun,56618,52159,4459,7.9
2010,Jul,56607,52216,4391,7.8
2010,Aug,56571,52265,4306,7.6
2010,Sep,56680,52489,4191,7.4
2010,Oct,56755,52621,4134,7.3
2010,Nov,56834,52592,4242,7.5
2010,Dec,56816,52802,4014,7.1
2011,Jan,56437,52186,4251,7.5
2011,Feb,56490,52391,4099,7.3
2011,Mar,56809,52809,4000,7.0
2011,Apr,56958,53170,3788,6.7
2011,May,57173,53280,3893,6.8
2011,Jun,57686,53341,4345,7.5
2011,Jul,57715,53456,4259,7.4
2011,Aug,57715,53644,4071,7.1
2011,Sep,57868,53887,3981,6.9
2011,Oct,57752,53999,3753,6.5
2011,Nov,57817,54283,3534,6.1
2011,Dec,57820,54391,3429,5.9
2012,Jan,57112,53501,3611,6.3
2012,Feb,57329,53770,3559,6.2
2012,Mar,57532,54043,3489,6.1
2012,Apr,57523,54257,3266,5.7
2012,May,57850,54410,3440,5.9
2012,Jun,58379,54541,3838,6.6
2012,Jul,58232,54435,3797,6.5
2012,Aug,57881,54383,3498,6.0
2012,Sep,58179,54925,3254,5.6
2012,Oct,58323,55113,3210,5.5
2012,Nov,58327,55182,3145,5.4
2012,Dec,58400,55263,3137,5.4
2013,Jan,58043,54459,3584,6.2
2013,Feb,58096,54742,3354,5.8
2013,Mar,58105,54841,3264,5.6
2013,Apr,58433,55375,3058,5.2
2013,May,58903,55642,3261,5.5
2013,Jun,59196,55585,3611,6.1
2013,Jul,59139,55632,3507,5.9
2013,Aug,58831,55567,3264,5.5
2013,Sep,59089,55895,3194,5.4
2013,Oct,58589,55469,3120,5.3
2013,Nov,58909,55940,2969,5.0
2013,Dec,58902,56105,2797,4.7
2014,Jan,58422,55490,2932,5.0
2014,Feb,58857,55888,2969,5.0
2014,Mar,59149,56214,2935,5.0
2014,Apr,58948,56499,2449,4.2
2014,May,59326,56594,2732,4.6
2014,Jun,59539,56637,2902,4.9
2014,Jul,59506,56492,3014,5.1
2014,Aug,59218,56372,2846,4.8
2014,Sep,59273,56657,2616,4.4
2014,Oct,59352,56913,2439,4.1
2014,Nov,59354,56966,2388,4.0
2014,Dec,59148,56980,2168,3.7
2015,Jan,59059,56579,2480,4.2
2015,Feb,59136,56747,2389,4.0
2015,Mar,59119,56757,2362,4.0
2015,Apr,59446,57166,2280,3.8
2015,May,59863,57370,2493,4.2
2015,Jun,59774,57122,2652,4.4
2015,Jul,59739,57037,2702,4.5
2015,Aug,59533,56998,2535,4.3
2015,Sep,59568,57057,2511,4.2
2015,Oct,59748,57259,2489,4.2
2015,Nov,59882,57461,2421,4.0
2015,Dec,60028,57705,2323,3.9
2016,Jan,60183,57732,2451,4.1
2016,Feb,60743,58318,2425,4.0
2016,Mar,61016,58525,2491,4.1
2016,Apr,61063,58761,2302,3.8
2016,May,61166,58859,2307,3.8
2016,Jun,61337,58699,2638,4.3
2016,Jul,61483,58771,2712,4.4
2016,Aug,61396,58769,2627,4.3
2016,Sep,61616,58989,2627,4.3
2016,Oct,61478,58974,2504,4.1
2016,Nov,61752,59371,2381,3.9
2016,Dec,61708,59333,2375,3.8
2017,Jan,62357,59819,2538,4.1
2017,Feb,62740,60217,2523,4.0
2017,Mar,62920,60592,2328,3.7
2017,Apr,62945,60848,2097,3.3
2017,May,62864,60725,2139,3.4
2017,Jun,63122,60851,2271,3.6
2017,Jul,63405,61088,2317,3.7
2017,Aug,63367,61091,2276,3.6
2017,Sep,63782,61749,2033,3.2
2017,Oct,63512,61656,1856,2.9
2017,Nov,63955,61976,1979,3.1
2017,Dec,63823,61932,1891,3.0
2018,Jan,64994,62874,2120,3.3
2018,Feb,65685,63545,2140,3.3
2018,Mar,65730,63625,2105,3.2
2018,Apr,65687,63803,1884,2.9
2018,May,65794,63921,1873,2.8
2018,Jun,66061,63827,2234,3.4
2018,Jul,66131,63980,2151,3.3
2018,Aug,65737,63647,2090,3.2
2018,Sep,66123,64157,1966,3.0
2018,Oct,66319,64407,1912,2.9
2018,Nov,66528,64625,1903,2.9
2018,Dec,66602,64654,1948,2.9
2019,Jan,66580,64346,2234,3.4
2019,Feb,66935,64867,2068,3.1
2019,Mar,66942,64965,1977,3.0
2019,Apr,66556,64918,1638,2.5
2019,May,66708,64992,1716,2.6
2019,Jun,67092,65018,2074,3.1
2019,Jul,67428,65289,2139,3.2
2019,Aug,67381,65317,2064,3.1
2019,Sep,67801,65879,1922,2.8
2019,Oct,67925,66018,1907,2.8
2019,Nov,68425,66491,1934,2.8
2019,Dec,68211,66372,1839,2.7
2020,Jan,68197,66050,2147,3.1
2020,Feb,68650,66555,2095,3.1
2020,Mar,66960,63981,2979,4.4
2020,Apr,60279,53922,6357,10.5
