Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483690000000003,LAUCN483690000000004,LAUCN483690000000005,LAUCN483690000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Parmer County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,5139,4882,257,5.0
2010,Feb,5148,4902,246,4.8
2010,Mar,5231,4995,236,4.5
2010,Apr,5378,5140,238,4.4
2010,May,5325,5095,230,4.3
2010,Jun,5522,5264,258,4.7
2010,Jul,5542,5292,250,4.5
2010,Aug,5452,5215,237,4.3
2010,Sep,5506,5285,221,4.0
2010,Oct,5362,5145,217,4.0
2010,Nov,5318,5090,228,4.3
2010,Dec,5310,5097,213,4.0
2011,Jan,5212,4980,232,4.5
2011,Feb,5197,4970,227,4.4
2011,Mar,5302,5083,219,4.1
2011,Apr,5308,5086,222,4.2
2011,May,5265,5038,227,4.3
2011,Jun,5405,5127,278,5.1
2011,Jul,5364,5092,272,5.1
2011,Aug,5391,5137,254,4.7
2011,Sep,5359,5112,247,4.6
2011,Oct,5202,4972,230,4.4
2011,Nov,5242,5032,210,4.0
2011,Dec,5251,5049,202,3.8
2012,Jan,5001,4785,216,4.3
2012,Feb,4930,4728,202,4.1
2012,Mar,4924,4730,194,3.9
2012,Apr,4996,4811,185,3.7
2012,May,5030,4829,201,4.0
2012,Jun,5139,4901,238,4.6
2012,Jul,5125,4883,242,4.7
2012,Aug,5044,4826,218,4.3
2012,Sep,5082,4884,198,3.9
2012,Oct,4977,4781,196,3.9
2012,Nov,4948,4759,189,3.8
2012,Dec,4866,4677,189,3.9
2013,Jan,4843,4629,214,4.4
2013,Feb,4880,4684,196,4.0
2013,Mar,4846,4661,185,3.8
2013,Apr,5006,4830,176,3.5
2013,May,5178,4982,196,3.8
2013,Jun,5229,5000,229,4.4
2013,Jul,5270,5051,219,4.2
2013,Aug,5130,4931,199,3.9
2013,Sep,5218,5015,203,3.9
2013,Oct,5145,4955,190,3.7
2013,Nov,5004,4824,180,3.6
2013,Dec,5066,4898,168,3.3
2014,Jan,5050,4878,172,3.4
2014,Feb,5193,5020,173,3.3
2014,Mar,5168,4997,171,3.3
2014,Apr,5199,5060,139,2.7
2014,May,5241,5082,159,3.0
2014,Jun,5266,5089,177,3.4
2014,Jul,5211,5026,185,3.6
2014,Aug,5112,4947,165,3.2
2014,Sep,5137,4985,152,3.0
2014,Oct,5098,4959,139,2.7
2014,Nov,4994,4863,131,2.6
2014,Dec,4933,4817,116,2.4
2015,Jan,4916,4786,130,2.6
2015,Feb,5016,4898,118,2.4
2015,Mar,5042,4934,108,2.1
2015,Apr,4971,4869,102,2.1
2015,May,5038,4920,118,2.3
2015,Jun,5026,4901,125,2.5
2015,Jul,5002,4870,132,2.6
2015,Aug,4915,4801,114,2.3
2015,Sep,4960,4841,119,2.4
2015,Oct,4951,4832,119,2.4
2015,Nov,4873,4758,115,2.4
2015,Dec,4914,4810,104,2.1
2016,Jan,4745,4630,115,2.4
2016,Feb,4973,4851,122,2.5
2016,Mar,5068,4953,115,2.3
2016,Apr,5033,4927,106,2.1
2016,May,5145,5031,114,2.2
2016,Jun,5085,4950,135,2.7
2016,Jul,4930,4789,141,2.9
2016,Aug,4972,4833,139,2.8
2016,Sep,4858,4724,134,2.8
2016,Oct,4880,4751,129,2.6
2016,Nov,4837,4717,120,2.5
2016,Dec,4823,4703,120,2.5
2017,Jan,4790,4666,124,2.6
2017,Feb,4921,4784,137,2.8
2017,Mar,5094,4963,131,2.6
2017,Apr,5011,4900,111,2.2
2017,May,5021,4903,118,2.4
2017,Jun,4977,4845,132,2.7
2017,Jul,4880,4748,132,2.7
2017,Aug,4919,4792,127,2.6
2017,Sep,4814,4697,117,2.4
2017,Oct,4923,4816,107,2.2
2017,Nov,4827,4712,115,2.4
2017,Dec,4862,4756,106,2.2
2018,Jan,4765,4644,121,2.5
2018,Feb,4828,4712,116,2.4
2018,Mar,4958,4840,118,2.4
2018,Apr,4914,4809,105,2.1
2018,May,4988,4880,108,2.2
2018,Jun,4942,4809,133,2.7
2018,Jul,4919,4797,122,2.5
2018,Aug,5004,4889,115,2.3
2018,Sep,4874,4767,107,2.2
2018,Oct,4852,4746,106,2.2
2018,Nov,4823,4717,106,2.2
2018,Dec,4777,4670,107,2.2
2019,Jan,4773,4651,122,2.6
2019,Feb,4875,4755,120,2.5
2019,Mar,4907,4789,118,2.4
2019,Apr,4873,4780,93,1.9
2019,May,4947,4853,94,1.9
2019,Jun,4937,4818,119,2.4
2019,Jul,4911,4789,122,2.5
2019,Aug,5042,4926,116,2.3
2019,Sep,4873,4768,105,2.2
2019,Oct,4953,4849,104,2.1
2019,Nov,4813,4708,105,2.2
2019,Dec,4855,4758,97,2.0
2020,Jan,4828,4712,116,2.4
2020,Feb,4889,4772,117,2.4
2020,Mar,4817,4658,159,3.3
2020,Apr,4051,3944,107,2.6
