Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483710000000003,LAUCN483710000000004,LAUCN483710000000005,LAUCN483710000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Pecos County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,7028,6440,588,8.4
2010,Feb,7060,6504,556,7.9
2010,Mar,7210,6676,534,7.4
2010,Apr,7251,6747,504,7.0
2010,May,7218,6714,504,7.0
2010,Jun,7223,6681,542,7.5
2010,Jul,7272,6751,521,7.2
2010,Aug,7307,6771,536,7.3
2010,Sep,7236,6705,531,7.3
2010,Oct,7187,6679,508,7.1
2010,Nov,7115,6593,522,7.3
2010,Dec,7047,6573,474,6.7
2011,Jan,7164,6684,480,6.7
2011,Feb,7114,6662,452,6.4
2011,Mar,7130,6676,454,6.4
2011,Apr,7177,6748,429,6.0
2011,May,7186,6748,438,6.1
2011,Jun,7291,6811,480,6.6
2011,Jul,7277,6812,465,6.4
2011,Aug,7312,6871,441,6.0
2011,Sep,7288,6865,423,5.8
2011,Oct,7229,6830,399,5.5
2011,Nov,7163,6801,362,5.1
2011,Dec,7061,6701,360,5.1
2012,Jan,7113,6731,382,5.4
2012,Feb,7167,6783,384,5.4
2012,Mar,7150,6776,374,5.2
2012,Apr,7046,6707,339,4.8
2012,May,7136,6781,355,5.0
2012,Jun,7126,6737,389,5.5
2012,Jul,7153,6772,381,5.3
2012,Aug,6923,6562,361,5.2
2012,Sep,6887,6543,344,5.0
2012,Oct,6827,6488,339,5.0
2012,Nov,6713,6387,326,4.9
2012,Dec,6673,6348,325,4.9
2013,Jan,6732,6322,410,6.1
2013,Feb,6693,6333,360,5.4
2013,Mar,6624,6265,359,5.4
2013,Apr,6637,6308,329,5.0
2013,May,6750,6399,351,5.2
2013,Jun,6754,6364,390,5.8
2013,Jul,6811,6427,384,5.6
2013,Aug,6767,6371,396,5.9
2013,Sep,6755,6369,386,5.7
2013,Oct,6600,6249,351,5.3
2013,Nov,6662,6338,324,4.9
2013,Dec,6668,6368,300,4.5
2014,Jan,6791,6480,311,4.6
2014,Feb,6877,6567,310,4.5
2014,Mar,6873,6570,303,4.4
2014,Apr,6875,6618,257,3.7
2014,May,6878,6590,288,4.2
2014,Jun,6909,6592,317,4.6
2014,Jul,6967,6650,317,4.6
2014,Aug,6893,6598,295,4.3
2014,Sep,6835,6562,273,4.0
2014,Oct,6852,6594,258,3.8
2014,Nov,6866,6608,258,3.8
2014,Dec,6846,6613,233,3.4
2015,Jan,7003,6713,290,4.1
2015,Feb,7096,6782,314,4.4
2015,Mar,7065,6753,312,4.4
2015,Apr,6953,6635,318,4.6
2015,May,6964,6585,379,5.4
2015,Jun,6937,6519,418,6.0
2015,Jul,6937,6533,404,5.8
2015,Aug,6926,6555,371,5.4
2015,Sep,6761,6403,358,5.3
2015,Oct,6655,6282,373,5.6
2015,Nov,6599,6230,369,5.6
2015,Dec,6499,6163,336,5.2
2016,Jan,6418,6097,321,5.0
2016,Feb,6536,6209,327,5.0
2016,Mar,6502,6121,381,5.9
2016,Apr,6500,6133,367,5.6
2016,May,6408,6050,358,5.6
2016,Jun,6491,6102,389,6.0
2016,Jul,6624,6230,394,5.9
2016,Aug,6547,6154,393,6.0
2016,Sep,6533,6095,438,6.7
2016,Oct,6507,6100,407,6.3
2016,Nov,6485,6087,398,6.1
2016,Dec,6361,5965,396,6.2
2017,Jan,6266,5869,397,6.3
2017,Feb,6303,5921,382,6.1
2017,Mar,6349,6004,345,5.4
2017,Apr,6199,5890,309,5.0
2017,May,6150,5863,287,4.7
2017,Jun,6233,5937,296,4.7
2017,Jul,6289,6014,275,4.4
2017,Aug,6335,6037,298,4.7
2017,Sep,6243,5993,250,4.0
2017,Oct,6292,6067,225,3.6
2017,Nov,6301,6073,228,3.6
2017,Dec,6275,6062,213,3.4
2018,Jan,6332,6092,240,3.8
2018,Feb,6448,6194,254,3.9
2018,Mar,6411,6161,250,3.9
2018,Apr,6305,6078,227,3.6
2018,May,6354,6137,217,3.4
2018,Jun,6469,6218,251,3.9
2018,Jul,6430,6185,245,3.8
2018,Aug,6439,6208,231,3.6
2018,Sep,6494,6280,214,3.3
2018,Oct,6456,6236,220,3.4
2018,Nov,6470,6256,214,3.3
2018,Dec,6395,6175,220,3.4
2019,Jan,6472,6240,232,3.6
2019,Feb,6379,6169,210,3.3
2019,Mar,6451,6251,200,3.1
2019,Apr,6381,6202,179,2.8
2019,May,6352,6169,183,2.9
2019,Jun,6487,6277,210,3.2
2019,Jul,6441,6215,226,3.5
2019,Aug,6434,6220,214,3.3
2019,Sep,6335,6134,201,3.2
2019,Oct,6361,6151,210,3.3
2019,Nov,6358,6131,227,3.6
2019,Dec,6316,6099,217,3.4
2020,Jan,6382,6130,252,3.9
2020,Feb,6390,6153,237,3.7
2020,Mar,6341,6000,341,5.4
2020,Apr,5541,4992,549,9.9
