Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483730000000003,LAUCN483730000000004,LAUCN483730000000005,LAUCN483730000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Polk County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,17485,15644,1841,10.5
2010,Feb,17457,15690,1767,10.1
2010,Mar,17596,15855,1741,9.9
2010,Apr,17609,15974,1635,9.3
2010,May,17553,15937,1616,9.2
2010,Jun,17648,15967,1681,9.5
2010,Jul,17623,15921,1702,9.7
2010,Aug,17476,15799,1677,9.6
2010,Sep,17544,15836,1708,9.7
2010,Oct,17535,15874,1661,9.5
2010,Nov,17588,15872,1716,9.8
2010,Dec,17648,15966,1682,9.5
2011,Jan,17984,16197,1787,9.9
2011,Feb,17681,15956,1725,9.8
2011,Mar,17725,16013,1712,9.7
2011,Apr,17627,16025,1602,9.1
2011,May,17582,15961,1621,9.2
2011,Jun,17779,16021,1758,9.9
2011,Jul,17631,15923,1708,9.7
2011,Aug,17493,15831,1662,9.5
2011,Sep,17551,15885,1666,9.5
2011,Oct,17617,16065,1552,8.8
2011,Nov,17594,16093,1501,8.5
2011,Dec,17549,16076,1473,8.4
2012,Jan,17522,15993,1529,8.7
2012,Feb,17404,15932,1472,8.5
2012,Mar,17556,16124,1432,8.2
2012,Apr,17504,16155,1349,7.7
2012,May,17543,16146,1397,8.0
2012,Jun,17696,16171,1525,8.6
2012,Jul,17638,16107,1531,8.7
2012,Aug,17547,16107,1440,8.2
2012,Sep,17551,16228,1323,7.5
2012,Oct,17621,16331,1290,7.3
2012,Nov,17482,16223,1259,7.2
2012,Dec,17441,16111,1330,7.6
2013,Jan,17430,15913,1517,8.7
2013,Feb,17407,15979,1428,8.2
2013,Mar,17329,15960,1369,7.9
2013,Apr,17460,16165,1295,7.4
2013,May,17498,16203,1295,7.4
2013,Jun,17658,16211,1447,8.2
2013,Jul,17557,16125,1432,8.2
2013,Aug,17288,15925,1363,7.9
2013,Sep,17296,15963,1333,7.7
2013,Oct,17152,15890,1262,7.4
2013,Nov,17207,16007,1200,7.0
2013,Dec,17167,16021,1146,6.7
2014,Jan,17191,15978,1213,7.1
2014,Feb,17223,16002,1221,7.1
2014,Mar,17328,16133,1195,6.9
2014,Apr,17265,16228,1037,6.0
2014,May,17385,16225,1160,6.7
2014,Jun,17431,16284,1147,6.6
2014,Jul,17384,16185,1199,6.9
2014,Aug,17103,15970,1133,6.6
2014,Sep,17172,16127,1045,6.1
2014,Oct,17231,16243,988,5.7
2014,Nov,17217,16201,1016,5.9
2014,Dec,17041,16082,959,5.6
2015,Jan,17228,16167,1061,6.2
2015,Feb,17267,16243,1024,5.9
2015,Mar,17326,16355,971,5.6
2015,Apr,17108,16206,902,5.3
2015,May,17081,16077,1004,5.9
2015,Jun,17073,16002,1071,6.3
2015,Jul,16928,15810,1118,6.6
2015,Aug,16726,15651,1075,6.4
2015,Sep,16677,15659,1018,6.1
2015,Oct,16881,15864,1017,6.0
2015,Nov,17108,16054,1054,6.2
2015,Dec,17092,16050,1042,6.1
2016,Jan,17039,15957,1082,6.4
2016,Feb,17136,16110,1026,6.0
2016,Mar,17300,16227,1073,6.2
2016,Apr,17174,16164,1010,5.9
2016,May,17392,16411,981,5.6
2016,Jun,17470,16353,1117,6.4
2016,Jul,17529,16319,1210,6.9
2016,Aug,17445,16269,1176,6.7
2016,Sep,17456,16296,1160,6.6
2016,Oct,17467,16390,1077,6.2
2016,Nov,17504,16410,1094,6.3
2016,Dec,17558,16409,1149,6.5
2017,Jan,17636,16323,1313,7.4
2017,Feb,17794,16542,1252,7.0
2017,Mar,17871,16718,1153,6.5
2017,Apr,17485,16426,1059,6.1
2017,May,17431,16441,990,5.7
2017,Jun,17528,16464,1064,6.1
2017,Jul,17449,16387,1062,6.1
2017,Aug,17329,16253,1076,6.2
2017,Sep,17366,16359,1007,5.8
2017,Oct,17456,16535,921,5.3
2017,Nov,17482,16528,954,5.5
2017,Dec,17488,16534,954,5.5
2018,Jan,17825,16745,1080,6.1
2018,Feb,17920,16894,1026,5.7
2018,Mar,17981,17012,969,5.4
2018,Apr,17843,16981,862,4.8
2018,May,17827,16986,841,4.7
2018,Jun,17878,16935,943,5.3
2018,Jul,17832,16920,912,5.1
2018,Aug,17650,16773,877,5.0
2018,Sep,17784,16962,822,4.6
2018,Oct,17787,17022,765,4.3
2018,Nov,17903,17089,814,4.5
2018,Dec,17809,16972,837,4.7
2019,Jan,18043,17030,1013,5.6
2019,Feb,18074,17169,905,5.0
2019,Mar,18043,17212,831,4.6
2019,Apr,17811,17122,689,3.9
2019,May,17777,17055,722,4.1
2019,Jun,17902,17041,861,4.8
2019,Jul,18070,17129,941,5.2
2019,Aug,17968,17087,881,4.9
2019,Sep,18051,17243,808,4.5
2019,Oct,18141,17330,811,4.5
2019,Nov,18200,17338,862,4.7
2019,Dec,18199,17297,902,5.0
2020,Jan,18269,17274,995,5.4
2020,Feb,18336,17409,927,5.1
2020,Mar,18256,16973,1283,7.0
2020,Apr,16208,14256,1952,12.0
