Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483750000000003,LAUCN483750000000004,LAUCN483750000000005,LAUCN483750000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Potter County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,57625,53794,3831,6.6
2010,Feb,57281,53548,3733,6.5
2010,Mar,57361,53685,3676,6.4
2010,Apr,57838,54273,3565,6.2
2010,May,58403,54924,3479,6.0
2010,Jun,57945,54122,3823,6.6
2010,Jul,58048,54216,3832,6.6
2010,Aug,57904,54221,3683,6.4
2010,Sep,58345,54755,3590,6.2
2010,Oct,58368,54849,3519,6.0
2010,Nov,58715,55049,3666,6.2
2010,Dec,58626,55184,3442,5.9
2011,Jan,58243,54593,3650,6.3
2011,Feb,58053,54570,3483,6.0
2011,Mar,58308,54957,3351,5.7
2011,Apr,58667,55394,3273,5.6
2011,May,58864,55474,3390,5.8
2011,Jun,58898,55020,3878,6.6
2011,Jul,58946,55124,3822,6.5
2011,Aug,58810,55144,3666,6.2
2011,Sep,59095,55473,3622,6.1
2011,Oct,59178,55767,3411,5.8
2011,Nov,59162,55929,3233,5.5
2011,Dec,58861,55740,3121,5.3
2012,Jan,58143,54851,3292,5.7
2012,Feb,58289,55090,3199,5.5
2012,Mar,58167,55036,3131,5.4
2012,Apr,58263,55371,2892,5.0
2012,May,58165,55132,3033,5.2
2012,Jun,58484,54973,3511,6.0
2012,Jul,58621,55102,3519,6.0
2012,Aug,57666,54380,3286,5.7
2012,Sep,58255,55327,2928,5.0
2012,Oct,58792,55904,2888,4.9
2012,Nov,58686,55836,2850,4.9
2012,Dec,58494,55615,2879,4.9
2013,Jan,57593,54413,3180,5.5
2013,Feb,57341,54371,2970,5.2
2013,Mar,57127,54169,2958,5.2
2013,Apr,57872,55139,2733,4.7
2013,May,57979,55053,2926,5.0
2013,Jun,57859,54603,3256,5.6
2013,Jul,57768,54564,3204,5.5
2013,Aug,57271,54283,2988,5.2
2013,Sep,57494,54644,2850,5.0
2013,Oct,57350,54620,2730,4.8
2013,Nov,57460,54907,2553,4.4
2013,Dec,57348,54961,2387,4.2
2014,Jan,56843,54378,2465,4.3
2014,Feb,57187,54720,2467,4.3
2014,Mar,57059,54634,2425,4.2
2014,Apr,57170,55145,2025,3.5
2014,May,57202,54985,2217,3.9
2014,Jun,57150,54704,2446,4.3
2014,Jul,57036,54466,2570,4.5
2014,Aug,56454,54059,2395,4.2
2014,Sep,56529,54341,2188,3.9
2014,Oct,56948,54915,2033,3.6
2014,Nov,56859,54867,1992,3.5
2014,Dec,56468,54679,1789,3.2
2015,Jan,56129,54125,2004,3.6
2015,Feb,56336,54454,1882,3.3
2015,Mar,56191,54428,1763,3.1
2015,Apr,56307,54680,1627,2.9
2015,May,56543,54700,1843,3.3
2015,Jun,56224,54215,2009,3.6
2015,Jul,56106,54029,2077,3.7
2015,Aug,55773,53863,1910,3.4
2015,Sep,56001,54118,1883,3.4
2015,Oct,56313,54428,1885,3.3
2015,Nov,56571,54737,1834,3.2
2015,Dec,56652,54925,1727,3.0
2016,Jan,55758,53967,1791,3.2
2016,Feb,56272,54501,1771,3.1
2016,Mar,56314,54549,1765,3.1
2016,Apr,56405,54775,1630,2.9
2016,May,56306,54655,1651,2.9
2016,Jun,56107,54139,1968,3.5
2016,Jul,56199,54105,2094,3.7
2016,Aug,55890,53911,1979,3.5
2016,Sep,55986,53903,2083,3.7
2016,Oct,56052,54072,1980,3.5
2016,Nov,56203,54289,1914,3.4
2016,Dec,56104,54222,1882,3.4
2017,Jan,55169,53161,2008,3.6
2017,Feb,55705,53731,1974,3.5
2017,Mar,55647,53741,1906,3.4
2017,Apr,55812,54157,1655,3.0
2017,May,55500,53793,1707,3.1
2017,Jun,55382,53467,1915,3.5
2017,Jul,55222,53272,1950,3.5
2017,Aug,55004,53140,1864,3.4
2017,Sep,55510,53836,1674,3.0
2017,Oct,55338,53791,1547,2.8
2017,Nov,55587,53965,1622,2.9
2017,Dec,55366,53815,1551,2.8
2018,Jan,54674,52982,1692,3.1
2018,Feb,55416,53721,1695,3.1
2018,Mar,55345,53609,1736,3.1
2018,Apr,55097,53627,1470,2.7
2018,May,55125,53694,1431,2.6
2018,Jun,54871,53084,1787,3.3
2018,Jul,54954,53211,1743,3.2
2018,Aug,54355,52737,1618,3.0
2018,Sep,54652,53126,1526,2.8
2018,Oct,54577,53117,1460,2.7
2018,Nov,54922,53443,1479,2.7
2018,Dec,54822,53312,1510,2.8
2019,Jan,54590,52882,1708,3.1
2019,Feb,55093,53520,1573,2.9
2019,Mar,55014,53435,1579,2.9
2019,Apr,55008,53788,1220,2.2
2019,May,55078,53794,1284,2.3
2019,Jun,55084,53440,1644,3.0
2019,Jul,55230,53495,1735,3.1
2019,Aug,55038,53432,1606,2.9
2019,Sep,55314,53821,1493,2.7
2019,Oct,55466,54003,1463,2.6
2019,Nov,55722,54246,1476,2.6
2019,Dec,55554,54161,1393,2.5
2020,Jan,55439,53866,1573,2.8
2020,Feb,55992,54492,1500,2.7
2020,Mar,54939,52857,2082,3.8
2020,Apr,49749,45166,4583,9.2
