Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483770000000003,LAUCN483770000000004,LAUCN483770000000005,LAUCN483770000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Presidio County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,3675,2959,716,19.5
2010,Feb,3655,2956,699,19.1
2010,Mar,3729,2999,730,19.6
2010,Apr,3724,3070,654,17.6
2010,May,3725,3050,675,18.1
2010,Jun,3823,3087,736,19.3
2010,Jul,3853,3138,715,18.6
2010,Aug,3806,3092,714,18.8
2010,Sep,3796,3075,721,19.0
2010,Oct,3685,3073,612,16.6
2010,Nov,3698,3051,647,17.5
2010,Dec,3754,3079,675,18.0
2011,Jan,3798,3119,679,17.9
2011,Feb,3729,3102,627,16.8
2011,Mar,3742,3159,583,15.6
2011,Apr,3710,3169,541,14.6
2011,May,3772,3194,578,15.3
2011,Jun,3846,3232,614,16.0
2011,Jul,3897,3243,654,16.8
2011,Aug,3884,3243,641,16.5
2011,Sep,3798,3262,536,14.1
2011,Oct,3650,3166,484,13.3
2011,Nov,3759,3290,469,12.5
2011,Dec,3785,3306,479,12.7
2012,Jan,3697,3196,501,13.6
2012,Feb,3723,3244,479,12.9
2012,Mar,3742,3313,429,11.5
2012,Apr,3798,3371,427,11.2
2012,May,3763,3302,461,12.3
2012,Jun,3978,3384,594,14.9
2012,Jul,3996,3392,604,15.1
2012,Aug,3934,3337,597,15.2
2012,Sep,3905,3342,563,14.4
2012,Oct,3816,3322,494,12.9
2012,Nov,3764,3315,449,11.9
2012,Dec,3812,3309,503,13.2
2013,Jan,3833,3292,541,14.1
2013,Feb,3802,3306,496,13.0
2013,Mar,3755,3301,454,12.1
2013,Apr,3723,3284,439,11.8
2013,May,3773,3310,463,12.3
2013,Jun,3895,3378,517,13.3
2013,Jul,3872,3351,521,13.5
2013,Aug,3758,3258,500,13.3
2013,Sep,3718,3230,488,13.1
2013,Oct,3724,3254,470,12.6
2013,Nov,3657,3199,458,12.5
2013,Dec,3568,3121,447,12.5
2014,Jan,3672,3195,477,13.0
2014,Feb,3663,3222,441,12.0
2014,Mar,3510,3068,442,12.6
2014,Apr,3459,3066,393,11.4
2014,May,3479,3065,414,11.9
2014,Jun,3468,3043,425,12.3
2014,Jul,3474,3045,429,12.3
2014,Aug,3375,2955,420,12.4
2014,Sep,3309,2928,381,11.5
2014,Oct,3223,2902,321,10.0
2014,Nov,3171,2855,316,10.0
2014,Dec,3192,2879,313,9.8
2015,Jan,3165,2818,347,11.0
2015,Feb,3201,2865,336,10.5
2015,Mar,3193,2876,317,9.9
2015,Apr,3067,2782,285,9.3
2015,May,3118,2811,307,9.8
2015,Jun,3213,2842,371,11.5
2015,Jul,3167,2787,380,12.0
2015,Aug,3062,2712,350,11.4
2015,Sep,3049,2713,336,11.0
2015,Oct,3064,2761,303,9.9
2015,Nov,3062,2752,310,10.1
2015,Dec,3024,2693,331,10.9
2016,Jan,2976,2639,337,11.3
2016,Feb,3043,2729,314,10.3
2016,Mar,3095,2787,308,10.0
2016,Apr,3085,2781,304,9.9
2016,May,3108,2810,298,9.6
2016,Jun,3122,2772,350,11.2
2016,Jul,3139,2801,338,10.8
2016,Aug,3124,2779,345,11.0
2016,Sep,3059,2730,329,10.8
2016,Oct,3078,2748,330,10.7
2016,Nov,3032,2716,316,10.4
2016,Dec,3068,2695,373,12.2
2017,Jan,3051,2641,410,13.4
2017,Feb,3121,2746,375,12.0
2017,Mar,3130,2811,319,10.2
2017,Apr,3108,2801,307,9.9
2017,May,3089,2822,267,8.6
2017,Jun,3108,2805,303,9.7
2017,Jul,2979,2700,279,9.4
2017,Aug,3006,2726,280,9.3
2017,Sep,3001,2755,246,8.2
2017,Oct,3000,2792,208,6.9
2017,Nov,2943,2728,215,7.3
2017,Dec,2960,2733,227,7.7
2018,Jan,3013,2749,264,8.8
2018,Feb,2990,2747,243,8.1
2018,Mar,2997,2774,223,7.4
2018,Apr,2964,2744,220,7.4
2018,May,3030,2838,192,6.3
2018,Jun,3082,2858,224,7.3
2018,Jul,3116,2900,216,6.9
2018,Aug,3130,2919,211,6.7
2018,Sep,3036,2842,194,6.4
2018,Oct,3057,2879,178,5.8
2018,Nov,3044,2874,170,5.6
2018,Dec,3026,2849,177,5.8
2019,Jan,3049,2836,213,7.0
2019,Feb,3058,2886,172,5.6
2019,Mar,3062,2897,165,5.4
2019,Apr,3060,2905,155,5.1
2019,May,3061,2883,178,5.8
2019,Jun,3132,2932,200,6.4
2019,Jul,3120,2907,213,6.8
2019,Aug,3146,2941,205,6.5
2019,Sep,3124,2915,209,6.7
2019,Oct,3141,2938,203,6.5
2019,Nov,3137,2889,248,7.9
2019,Dec,3158,2891,267,8.5
2020,Jan,3193,2895,298,9.3
2020,Feb,3195,2928,267,8.4
2020,Mar,3212,2863,349,10.9
2020,Apr,3025,2398,627,20.7
