Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483790000000003,LAUCN483790000000004,LAUCN483790000000005,LAUCN483790000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Rains County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,5156,4691,465,9.0
2010,Feb,5145,4686,459,8.9
2010,Mar,5193,4717,476,9.2
2010,Apr,5238,4789,449,8.6
2010,May,5155,4699,456,8.8
2010,Jun,5153,4683,470,9.1
2010,Jul,5126,4660,466,9.1
2010,Aug,5120,4664,456,8.9
2010,Sep,5201,4752,449,8.6
2010,Oct,5175,4736,439,8.5
2010,Nov,5171,4730,441,8.5
2010,Dec,5151,4731,420,8.2
2011,Jan,5120,4676,444,8.7
2011,Feb,5256,4833,423,8.0
2011,Mar,5267,4843,424,8.1
2011,Apr,5240,4836,404,7.7
2011,May,5149,4742,407,7.9
2011,Jun,5168,4713,455,8.8
2011,Jul,5121,4675,446,8.7
2011,Aug,5110,4677,433,8.5
2011,Sep,5169,4721,448,8.7
2011,Oct,5147,4723,424,8.2
2011,Nov,5133,4732,401,7.8
2011,Dec,5140,4761,379,7.4
2012,Jan,5284,4883,401,7.6
2012,Feb,5297,4905,392,7.4
2012,Mar,5275,4912,363,6.9
2012,Apr,5291,4940,351,6.6
2012,May,5186,4830,356,6.9
2012,Jun,5203,4818,385,7.4
2012,Jul,5204,4815,389,7.5
2012,Aug,5184,4807,377,7.3
2012,Sep,5240,4887,353,6.7
2012,Oct,5223,4875,348,6.7
2012,Nov,5170,4841,329,6.4
2012,Dec,5226,4880,346,6.6
2013,Jan,5374,5000,374,7.0
2013,Feb,5408,5066,342,6.3
2013,Mar,5357,5037,320,6.0
2013,Apr,5363,5053,310,5.8
2013,May,5371,5044,327,6.1
2013,Jun,5305,4945,360,6.8
2013,Jul,5278,4928,350,6.6
2013,Aug,5260,4924,336,6.4
2013,Sep,5339,5013,326,6.1
2013,Oct,5352,5034,318,5.9
2013,Nov,5354,5057,297,5.5
2013,Dec,5305,5028,277,5.2
2014,Jan,5385,5101,284,5.3
2014,Feb,5482,5200,282,5.1
2014,Mar,5464,5185,279,5.1
2014,Apr,5475,5237,238,4.3
2014,May,5474,5211,263,4.8
2014,Jun,5391,5122,269,5.0
2014,Jul,5371,5085,286,5.3
2014,Aug,5351,5072,279,5.2
2014,Sep,5434,5163,271,5.0
2014,Oct,5425,5174,251,4.6
2014,Nov,5364,5120,244,4.5
2014,Dec,5328,5077,251,4.7
2015,Jan,5439,5160,279,5.1
2015,Feb,5437,5178,259,4.8
2015,Mar,5406,5157,249,4.6
2015,Apr,5449,5212,237,4.3
2015,May,5482,5224,258,4.7
2015,Jun,5456,5198,258,4.7
2015,Jul,5369,5111,258,4.8
2015,Aug,5334,5091,243,4.6
2015,Sep,5378,5145,233,4.3
2015,Oct,5413,5174,239,4.4
2015,Nov,5390,5164,226,4.2
2015,Dec,5391,5176,215,4.0
2016,Jan,5583,5360,223,4.0
2016,Feb,5643,5427,216,3.8
2016,Mar,5629,5408,221,3.9
2016,Apr,5645,5444,201,3.6
2016,May,5580,5366,214,3.8
2016,Jun,5538,5295,243,4.4
2016,Jul,5448,5201,247,4.5
2016,Aug,5430,5195,235,4.3
2016,Sep,5489,5254,235,4.3
2016,Oct,5534,5315,219,4.0
2016,Nov,5533,5326,207,3.7
2016,Dec,5560,5355,205,3.7
2017,Jan,5712,5480,232,4.1
2017,Feb,5761,5539,222,3.9
2017,Mar,5739,5528,211,3.7
2017,Apr,5763,5582,181,3.1
2017,May,5635,5447,188,3.3
2017,Jun,5646,5439,207,3.7
2017,Jul,5636,5419,217,3.9
2017,Aug,5647,5420,227,4.0
2017,Sep,5704,5505,199,3.5
2017,Oct,5707,5518,189,3.3
2017,Nov,5705,5510,195,3.4
2017,Dec,5765,5576,189,3.3
2018,Jan,5923,5705,218,3.7
2018,Feb,5997,5782,215,3.6
2018,Mar,6003,5796,207,3.4
2018,Apr,5948,5759,189,3.2
2018,May,5855,5666,189,3.2
2018,Jun,5863,5645,218,3.7
2018,Jul,5820,5598,222,3.8
2018,Aug,5756,5543,213,3.7
2018,Sep,5845,5647,198,3.4
2018,Oct,5919,5731,188,3.2
2018,Nov,5943,5747,196,3.3
2018,Dec,6034,5834,200,3.3
2019,Jan,6045,5824,221,3.7
2019,Feb,6094,5891,203,3.3
2019,Mar,6077,5887,190,3.1
2019,Apr,6167,6012,155,2.5
2019,May,6034,5875,159,2.6
2019,Jun,6021,5833,188,3.1
2019,Jul,5988,5793,195,3.3
2019,Aug,5961,5766,195,3.3
2019,Sep,5996,5819,177,3.0
2019,Oct,6032,5864,168,2.8
2019,Nov,6027,5860,167,2.8
2019,Dec,6080,5916,164,2.7
2020,Jan,6166,5977,189,3.1
2020,Feb,6225,6043,182,2.9
2020,Mar,6108,5848,260,4.3
2020,Apr,5379,4971,408,7.6
