Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483810000000003,LAUCN483810000000004,LAUCN483810000000005,LAUCN483810000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Randall County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,65532,61924,3608,5.5
2010,Feb,65125,61686,3439,5.3
2010,Mar,65343,61954,3389,5.2
2010,Apr,66066,62691,3375,5.1
2010,May,66834,63548,3286,4.9
2010,Jun,66194,62585,3609,5.5
2010,Jul,66283,62720,3563,5.4
2010,Aug,66155,62688,3467,5.2
2010,Sep,66666,63294,3372,5.1
2010,Oct,66758,63441,3317,5.0
2010,Nov,67051,63598,3453,5.1
2010,Dec,66941,63704,3237,4.8
2011,Jan,67271,63740,3531,5.2
2011,Feb,67116,63742,3374,5.0
2011,Mar,67608,64339,3269,4.8
2011,Apr,68063,64896,3167,4.7
2011,May,68367,65096,3271,4.8
2011,Jun,68401,64604,3797,5.6
2011,Jul,68416,64690,3726,5.4
2011,Aug,68256,64732,3524,5.2
2011,Sep,68575,65057,3518,5.1
2011,Oct,68591,65324,3267,4.8
2011,Nov,68562,65491,3071,4.5
2011,Dec,68257,65276,2981,4.4
2012,Jan,67754,64595,3159,4.7
2012,Feb,68029,64930,3099,4.6
2012,Mar,67892,64918,2974,4.4
2012,Apr,68193,65375,2818,4.1
2012,May,68194,65207,2987,4.4
2012,Jun,68349,64952,3397,5.0
2012,Jul,68541,65099,3442,5.0
2012,Aug,67306,64146,3160,4.7
2012,Sep,68027,65174,2853,4.2
2012,Oct,68679,65868,2811,4.1
2012,Nov,68401,65666,2735,4.0
2012,Dec,68143,65419,2724,4.0
2013,Jan,68339,65195,3144,4.6
2013,Feb,68080,65167,2913,4.3
2013,Mar,67856,64985,2871,4.2
2013,Apr,68882,66123,2759,4.0
2013,May,69144,66163,2981,4.3
2013,Jun,69085,65667,3418,4.9
2013,Jul,68912,65602,3310,4.8
2013,Aug,68225,65194,3031,4.4
2013,Sep,68602,65625,2977,4.3
2013,Oct,68452,65606,2846,4.2
2013,Nov,68400,65731,2669,3.9
2013,Dec,68386,65896,2490,3.6
2014,Jan,68818,66205,2613,3.8
2014,Feb,69275,66632,2643,3.8
2014,Mar,69097,66557,2540,3.7
2014,Apr,69334,67223,2111,3.0
2014,May,69473,67093,2380,3.4
2014,Jun,69282,66715,2567,3.7
2014,Jul,69135,66412,2723,3.9
2014,Aug,68356,65866,2490,3.6
2014,Sep,68408,66097,2311,3.4
2014,Oct,68916,66739,2177,3.2
2014,Nov,68658,66567,2091,3.0
2014,Dec,68320,66452,1868,2.7
2015,Jan,68956,66812,2144,3.1
2015,Feb,69388,67405,1983,2.9
2015,Mar,69224,67317,1907,2.8
2015,Apr,69207,67451,1756,2.5
2015,May,69486,67467,2019,2.9
2015,Jun,69100,66909,2191,3.2
2015,Jul,68888,66623,2265,3.3
2015,Aug,68438,66403,2035,3.0
2015,Sep,68736,66727,2009,2.9
2015,Oct,69014,67066,1948,2.8
2015,Nov,69279,67360,1919,2.8
2015,Dec,69487,67702,1785,2.6
2016,Jan,70128,68169,1959,2.8
2016,Feb,70970,69023,1947,2.7
2016,Mar,71037,69044,1993,2.8
2016,Apr,71046,69247,1799,2.5
2016,May,71029,69157,1872,2.6
2016,Jun,70571,68347,2224,3.2
2016,Jul,70564,68237,2327,3.3
2016,Aug,70292,68079,2213,3.1
2016,Sep,70442,68156,2286,3.2
2016,Oct,70462,68263,2199,3.1
2016,Nov,70628,68533,2095,3.0
2016,Dec,70394,68327,2067,2.9
2017,Jan,70446,68198,2248,3.2
2017,Feb,71263,68963,2300,3.2
2017,Mar,71311,69161,2150,3.0
2017,Apr,71582,69702,1880,2.6
2017,May,71191,69225,1966,2.8
2017,Jun,70820,68675,2145,3.0
2017,Jul,70526,68379,2147,3.0
2017,Aug,70323,68277,2046,2.9
2017,Sep,70996,69150,1846,2.6
2017,Oct,70855,69131,1724,2.4
2017,Nov,71030,69221,1809,2.5
2017,Dec,70642,68928,1714,2.4
2018,Jan,71103,69196,1907,2.7
2018,Feb,72213,70279,1934,2.7
2018,Mar,72085,70173,1912,2.7
2018,Apr,71830,70124,1706,2.4
2018,May,72079,70371,1708,2.4
2018,Jun,71645,69559,2086,2.9
2018,Jul,71638,69650,1988,2.8
2018,Aug,71117,69187,1930,2.7
2018,Sep,71489,69662,1827,2.6
2018,Oct,71392,69633,1759,2.5
2018,Nov,71733,69998,1735,2.4
2018,Dec,71400,69637,1763,2.5
2019,Jan,71080,69046,2034,2.9
2019,Feb,71836,69998,1838,2.6
2019,Mar,71794,69982,1812,2.5
2019,Apr,71934,70480,1454,2.0
2019,May,72095,70567,1528,2.1
2019,Jun,71923,70043,1880,2.6
2019,Jul,72062,70111,1951,2.7
2019,Aug,71989,70096,1893,2.6
2019,Sep,72262,70541,1721,2.4
2019,Oct,72607,70934,1673,2.3
2019,Nov,72723,71054,1669,2.3
2019,Dec,72492,70933,1559,2.2
2020,Jan,72383,70536,1847,2.6
2020,Feb,73157,71364,1793,2.5
2020,Mar,71851,69324,2527,3.5
2020,Apr,65008,59438,5570,8.6
