Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483830000000003,LAUCN483830000000004,LAUCN483830000000005,LAUCN483830000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Reagan County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1815,1680,135,7.4
2010,Feb,1797,1674,123,6.8
2010,Mar,1827,1713,114,6.2
2010,Apr,1865,1758,107,5.7
2010,May,1852,1748,104,5.6
2010,Jun,1878,1771,107,5.7
2010,Jul,1995,1888,107,5.4
2010,Aug,1903,1805,98,5.1
2010,Sep,1942,1848,94,4.8
2010,Oct,2011,1922,89,4.4
2010,Nov,1996,1897,99,5.0
2010,Dec,2062,1966,96,4.7
2011,Jan,2001,1905,96,4.8
2011,Feb,1986,1894,92,4.6
2011,Mar,1988,1898,90,4.5
2011,Apr,2025,1940,85,4.2
2011,May,1989,1903,86,4.3
2011,Jun,1996,1893,103,5.2
2011,Jul,2147,2046,101,4.7
2011,Aug,2004,1915,89,4.4
2011,Sep,1993,1904,89,4.5
2011,Oct,2021,1939,82,4.1
2011,Nov,2007,1934,73,3.6
2011,Dec,2055,1984,71,3.5
2012,Jan,2077,2004,73,3.5
2012,Feb,2079,2011,68,3.3
2012,Mar,2075,2010,65,3.1
2012,Apr,2135,2071,64,3.0
2012,May,2120,2051,69,3.3
2012,Jun,2193,2114,79,3.6
2012,Jul,2164,2082,82,3.8
2012,Aug,2066,1995,71,3.4
2012,Sep,2053,1986,67,3.3
2012,Oct,2040,1970,70,3.4
2012,Nov,1955,1885,70,3.6
2012,Dec,1979,1906,73,3.7
2013,Jan,1965,1879,86,4.4
2013,Feb,1936,1856,80,4.1
2013,Mar,1905,1829,76,4.0
2013,Apr,1989,1915,74,3.7
2013,May,1943,1867,76,3.9
2013,Jun,1944,1854,90,4.6
2013,Jul,1957,1870,87,4.4
2013,Aug,1929,1849,80,4.1
2013,Sep,1920,1843,77,4.0
2013,Oct,2013,1940,73,3.6
2013,Nov,1994,1926,68,3.4
2013,Dec,2012,1943,69,3.4
2014,Jan,2033,1954,79,3.9
2014,Feb,2012,1941,71,3.5
2014,Mar,2005,1935,70,3.5
2014,Apr,2022,1963,59,2.9
2014,May,2060,1993,67,3.3
2014,Jun,2094,2018,76,3.6
2014,Jul,2121,2043,78,3.7
2014,Aug,2124,2056,68,3.2
2014,Sep,2138,2076,62,2.9
2014,Oct,2170,2113,57,2.6
2014,Nov,2101,2045,56,2.7
2014,Dec,2081,2028,53,2.5
2015,Jan,2102,2030,72,3.4
2015,Feb,2060,1991,69,3.3
2015,Mar,2060,1989,71,3.4
2015,Apr,2022,1945,77,3.8
2015,May,1955,1866,89,4.6
2015,Jun,1972,1879,93,4.7
2015,Jul,1923,1829,94,4.9
2015,Aug,1902,1809,93,4.9
2015,Sep,1855,1764,91,4.9
2015,Oct,1791,1695,96,5.4
2015,Nov,1758,1655,103,5.9
2015,Dec,1747,1646,101,5.8
2016,Jan,1696,1598,98,5.8
2016,Feb,1698,1588,110,6.5
2016,Mar,1698,1594,104,6.1
2016,Apr,1719,1610,109,6.3
2016,May,1731,1621,110,6.4
2016,Jun,1745,1629,116,6.6
2016,Jul,1719,1608,111,6.5
2016,Aug,1717,1595,122,7.1
2016,Sep,1682,1569,113,6.7
2016,Oct,1667,1572,95,5.7
2016,Nov,1665,1578,87,5.2
2016,Dec,1667,1585,82,4.9
2017,Jan,1721,1634,87,5.1
2017,Feb,1756,1667,89,5.1
2017,Mar,1799,1717,82,4.6
2017,Apr,1793,1717,76,4.2
2017,May,1796,1727,69,3.8
2017,Jun,1814,1743,71,3.9
2017,Jul,1790,1721,69,3.9
2017,Aug,1834,1770,64,3.5
2017,Sep,1801,1741,60,3.3
2017,Oct,1805,1753,52,2.9
2017,Nov,1802,1746,56,3.1
2017,Dec,1815,1761,54,3.0
2018,Jan,1815,1756,59,3.3
2018,Feb,1870,1816,54,2.9
2018,Mar,1896,1847,49,2.6
2018,Apr,1890,1844,46,2.4
2018,May,1880,1839,41,2.2
2018,Jun,1902,1851,51,2.7
2018,Jul,1926,1877,49,2.5
2018,Aug,1928,1881,47,2.4
2018,Sep,1889,1849,40,2.1
2018,Oct,1858,1817,41,2.2
2018,Nov,1835,1796,39,2.1
2018,Dec,1802,1762,40,2.2
2019,Jan,1817,1771,46,2.5
2019,Feb,1847,1805,42,2.3
2019,Mar,1857,1817,40,2.2
2019,Apr,1940,1904,36,1.9
2019,May,1935,1894,41,2.1
2019,Jun,1955,1903,52,2.7
2019,Jul,1936,1885,51,2.6
2019,Aug,1930,1879,51,2.6
2019,Sep,1915,1863,52,2.7
2019,Oct,1945,1891,54,2.8
2019,Nov,1907,1856,51,2.7
2019,Dec,1926,1865,61,3.2
2020,Jan,1944,1881,63,3.2
2020,Feb,1936,1882,54,2.8
2020,Mar,1913,1833,80,4.2
2020,Apr,1729,1540,189,10.9
