Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN483850000000003,LAUCN483850000000004,LAUCN483850000000005,LAUCN483850000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Real County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1101,987,114,10.4
2010,Feb,1097,994,103,9.4
2010,Mar,1133,1034,99,8.7
2010,Apr,1134,1037,97,8.6
2010,May,1116,1015,101,9.1
2010,Jun,1227,1117,110,9.0
2010,Jul,1224,1113,111,9.1
2010,Aug,1200,1096,104,8.7
2010,Sep,1133,1032,101,8.9
2010,Oct,1099,997,102,9.3
2010,Nov,1096,992,104,9.5
2010,Dec,1081,982,99,9.2
2011,Jan,1077,967,110,10.2
2011,Feb,1064,955,109,10.2
2011,Mar,1099,993,106,9.6
2011,Apr,1142,1039,103,9.0
2011,May,1132,1027,105,9.3
2011,Jun,1254,1129,125,10.0
2011,Jul,1255,1127,128,10.2
2011,Aug,1247,1127,120,9.6
2011,Sep,1157,1037,120,10.4
2011,Oct,1066,955,111,10.4
2011,Nov,1066,964,102,9.6
2011,Dec,1067,963,104,9.7
2012,Jan,1037,930,107,10.3
2012,Feb,1020,918,102,10.0
2012,Mar,1036,932,104,10.0
2012,Apr,1035,941,94,9.1
2012,May,1018,918,100,9.8
2012,Jun,1163,1050,113,9.7
2012,Jul,1193,1086,107,9.0
2012,Aug,1153,1051,102,8.8
2012,Sep,1061,966,95,9.0
2012,Oct,1035,944,91,8.8
2012,Nov,1029,939,90,8.7
2012,Dec,1022,931,91,8.9
2013,Jan,1020,923,97,9.5
2013,Feb,1022,933,89,8.7
2013,Mar,1018,935,83,8.2
2013,Apr,1042,963,79,7.6
2013,May,1064,982,82,7.7
2013,Jun,1189,1095,94,7.9
2013,Jul,1189,1096,93,7.8
2013,Aug,1131,1051,80,7.1
2013,Sep,1040,954,86,8.3
2013,Oct,1040,956,84,8.1
2013,Nov,981,902,79,8.1
2013,Dec,1015,941,74,7.3
2014,Jan,986,911,75,7.6
2014,Feb,1039,964,75,7.2
2014,Mar,1057,983,74,7.0
2014,Apr,1036,979,57,5.5
2014,May,1073,1006,67,6.2
2014,Jun,1179,1108,71,6.0
2014,Jul,1169,1095,74,6.3
2014,Aug,1136,1066,70,6.2
2014,Sep,1045,983,62,5.9
2014,Oct,1006,950,56,5.6
2014,Nov,1007,949,58,5.8
2014,Dec,982,932,50,5.1
2015,Jan,999,942,57,5.7
2015,Feb,1051,990,61,5.8
2015,Mar,1035,984,51,4.9
2015,Apr,1036,990,46,4.4
2015,May,1069,1012,57,5.3
2015,Jun,1190,1131,59,5.0
2015,Jul,1178,1120,58,4.9
2015,Aug,1079,1020,59,5.5
2015,Sep,1057,1004,53,5.0
2015,Oct,1044,992,52,5.0
2015,Nov,1020,966,54,5.3
2015,Dec,1008,958,50,5.0
2016,Jan,990,934,56,5.7
2016,Feb,1032,978,54,5.2
2016,Mar,1034,983,51,4.9
2016,Apr,1045,990,55,5.3
2016,May,1063,1010,53,5.0
2016,Jun,1202,1143,59,4.9
2016,Jul,1124,1061,63,5.6
2016,Aug,1008,947,61,6.1
2016,Sep,988,923,65,6.6
2016,Oct,998,933,65,6.5
2016,Nov,998,933,65,6.5
2016,Dec,1001,943,58,5.8
2017,Jan,1009,945,64,6.3
2017,Feb,1041,977,64,6.1
2017,Mar,1068,1008,60,5.6
2017,Apr,988,930,58,5.9
2017,May,993,938,55,5.5
2017,Jun,1150,1087,63,5.5
2017,Jul,1173,1103,70,6.0
2017,Aug,1135,1073,62,5.5
2017,Sep,1008,953,55,5.5
2017,Oct,1021,968,53,5.2
2017,Nov,1039,979,60,5.8
2017,Dec,1022,968,54,5.3
2018,Jan,1000,944,56,5.6
2018,Feb,1023,969,54,5.3
2018,Mar,1052,997,55,5.2
2018,Apr,1038,983,55,5.3
2018,May,1063,1013,50,4.7
2018,Jun,1169,1112,57,4.9
2018,Jul,1130,1076,54,4.8
2018,Aug,1146,1093,53,4.6
2018,Sep,1010,957,53,5.2
2018,Oct,996,949,47,4.7
2018,Nov,992,944,48,4.8
2018,Dec,972,928,44,4.5
2019,Jan,1031,978,53,5.1
2019,Feb,1016,972,44,4.3
2019,Mar,1044,1000,44,4.2
2019,Apr,1059,1024,35,3.3
2019,May,1068,1031,37,3.5
2019,Jun,1226,1174,52,4.2
2019,Jul,1171,1125,46,3.9
2019,Aug,1136,1094,42,3.7
2019,Sep,1003,962,41,4.1
2019,Oct,1008,970,38,3.8
2019,Nov,995,956,39,3.9
2019,Dec,991,956,35,3.5
2020,Jan,1009,965,44,4.4
2020,Feb,1023,974,49,4.8
2020,Mar,1030,958,72,7.0
2020,Apr,866,785,81,9.4
